Region,Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Mauritania,0,478,C R,1990.1,57569,Hombres
   Niger,0,562,B R,1990.1,55222,Hombres
   Nigeria,0,566,C R,1990.1,256166,Hombres
   Saint Helena*,4,654,C,1990.1,110,Hombres
   Senegal,0,686,B R,1990.1,138840,Hombres
   Sierra Leone,0,694,B R,1990.1,122898,Hombres
   Togo,0,768,C R,1990.1,42903,Hombres
 ASIA,0,935,0,1990.1,25669852,Hombres
  Central Asia,0,5500,0,1990.1,2972344,Hombres
   Kazakhstan,0,398,B R,1990.1,1666164,Hombres
   Kyrgyzstan,0,417,B R,1990.1,260416,Hombres
   Tajikistan,0,762,B R,1990.1,187972,Hombres
   Turkmenistan,0,795,B R,1990.1,134174,Hombres
   Uzbekistan,0,860,B R,1990.1,723618,Hombres
  Eastern Asia,0,906,0,1990.1,1996803,Hombres
   China*,0,156,C,1990.1,191954,Hombres
"   China, Hong Kong SAR*",0,344,B R,1990.1,1124544,Hombres
"   China, Macao SAR*",0,446,B,1990.1,96379,Hombres
"   China, Taiwan Province of China*",0,158,0,1990.1,0,Hombres
   Dem. People's Republic of Korea,0,408,I,1990.1,17393,Hombres
   Japan,0,392,C,1990.1,538765,Hombres
   Mongolia,0,496,C R,1990.1,3419,Hombres
   Republic of Korea,0,410,C R,1990.1,24349,Hombres
  South-Eastern Asia,0,920,0,1990.1,1511104,Hombres
   Brunei Darussalam,0,96,B,1990.1,41856,Hombres
   Cambodia,0,116,B R,1990.1,19084,Hombres
   Indonesia,0,360,B R,1990.1,229885,Hombres
   Lao People's Democratic Republic,0,418,C R,1990.1,11806,Hombres
   Malaysia*,0,458,C R,1990.1,405808,Hombres
   Myanmar,0,104,C,1990.1,72310,Hombres
   Philippines,0,608,C R,1990.1,81347,Hombres
   Singapore,0,702,B,1990.1,345842,Hombres
   Thailand,0,764,B R,1990.1,283486,Hombres
   Timor-Leste,0,626,B R,1990.1,4450,Hombres
   Viet Nam,0,704,C R,1990.1,15230,Hombres
  Southern Asia,0,5501,0,1990.1,10283173,Hombres
   Afghanistan,0,4,B R,1990.1,32558,Hombres
   Bangladesh,0,50,B R,1990.1,476097,Hombres
   Bhutan,0,64,B,1990.1,19409,Hombres
   India,0,356,B R,1990.1,3967470,Hombres
   Iran (Islamic Republic of),0,364,C R,1990.1,2369093,Hombres
   Maldives,0,462,C,1990.1,4777,Hombres
   Nepal,0,524,B R,1990.1,125966,Hombres
   Pakistan,0,586,B R,1990.1,3264380,Hombres
   Sri Lanka,0,144,B R,1990.1,23423,Hombres
  Western Asia,0,922,0,1990.1,8906428,Hombres
   Armenia,0,51,B R,1990.1,270535,Hombres
   Azerbaijan*,0,31,B R,1990.1,157856,Hombres
   Bahrain,0,48,C R,1990.1,122730,Hombres
   Cyprus*,0,196,B,1990.1,20463,Hombres
   Georgia*,0,268,B R,1990.1,133285,Hombres
   Iraq,0,368,C R,1990.1,55751,Hombres
   Israel,0,376,B R,1990.1,770777,Hombres
   Jordan,0,400,C R,1990.1,586473,Hombres
   Kuwait,0,414,C R,1990.1,654878,Hombres
   Lebanon,0,422,B R,1990.1,267922,Hombres
   Oman,0,512,C R,1990.1,242477,Hombres
   Qatar,0,634,C,1990.1,225932,Hombres
   Saudi Arabia,0,682,C R,1990.1,3324873,Hombres
   State of Palestine*,5,275,B,1990.1,132101,Hombres
   Syrian Arab Republic,0,760,C R,1990.1,364077,Hombres
   Turkey,0,792,B R,1990.1,577329,Hombres
   United Arab Emirates,0,784,C R,1990.1,931959,Hombres
   Yemen,0,887,C R,1990.1,67010,Hombres
 EUROPE,0,908,0,1990.1,24119388,Hombres
  Eastern Europe,0,923,0,1990.1,10199700,Hombres
   Belarus,0,112,B,1990.1,572021,Hombres
   Bulgaria,0,100,B,1990.1,9047,Hombres
   Czechia,0,203,C,1990.1,57405,Hombres
   Hungary,0,348,B,1990.1,156185,Hombres
   Poland,0,616,B,1990.1,482176,Hombres
   Republic of Moldova*,0,498,B,1990.1,238053,Hombres
   Romania,0,642,B,1990.1,57601,Hombres
   Russian Federation,0,643,B,1990.1,5655422,Hombres
   Slovakia,0,703,B,1990.1,18187,Hombres
   Ukraine*,0,804,B,1990.1,2953603,Hombres
  Northern Europe,0,924,0,1990.1,3176421,Hombres
   Channel Islands*,6,830,B,1990.1,29005,Hombres
   Denmark*,7,208,B,1990.1,114411,Hombres
   Estonia,0,233,B,1990.1,171691,Hombres
   Faroe Islands*,8,234,B,1990.1,2440,Hombres
   Finland*,0,246,B,1990.1,31682,Hombres
   Iceland,0,352,B,1990.1,4248,Hombres
   Ireland,0,372,B,1990.1,112093,Hombres
   Isle of Man*,9,833,B,1990.1,16371,Hombres
   Latvia,0,428,B,1990.1,290800,Hombres
   Lithuania,0,440,B,1990.1,164585,Hombres
   Norway*,0,578,B,1990.1,99562,Hombres
   Sweden,0,752,B,1990.1,383085,Hombres
   United Kingdom*,10,826,B,1990.1,1756448,Hombres
  Southern Europe,0,925,0,1990.1,2062991,Hombres
   Albania,0,8,B,1990.1,30579,Hombres
   Andorra,0,20,C,1990.1,20990,Hombres
   Bosnia and Herzegovina,0,70,I R,1990.1,26538,Hombres
   Croatia,0,191,B,1990.1,222531,Hombres
   Gibraltar*,11,292,B,1990.1,4528,Hombres
   Greece,0,300,B,1990.1,330038,Hombres
   Holy See*,0,336,I,1990.1,376,Hombres
   Italy,0,380,B,1990.1,642414,Hombres
   Malta,0,470,B,1990.1,7012,Hombres
   Montenegro,0,499,B,1990.1,0,Hombres
   North Macedonia,0,807,B,1990.1,39661,Hombres
   Portugal,0,620,B,1990.1,209922,Hombres
   San Marino,0,674,C,1990.1,1728,Hombres
   Serbia*,0,688,B,1990.1,46712,Hombres
   Slovenia,0,705,B,1990.1,89514,Hombres
   Spain*,0,724,B,1990.1,390448,Hombres
  Western Europe,0,926,0,1990.1,8680276,Hombres
   Austria,0,40,B,1990.1,368287,Hombres
   Belgium,0,56,B,1990.1,654543,Hombres
   France*,12,250,B,1990.1,2999376,Hombres
   Germany,0,276,B,1990.1,3293128,Hombres
   Liechtenstein,0,438,B,1990.1,5956,Hombres
   Luxembourg,0,442,B,1990.1,56062,Hombres
   Monaco,0,492,B,1990.1,9471,Hombres
   Netherlands*,13,528,B,1990.1,592343,Hombres
   Switzerland,0,756,B,1990.1,701110,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,1990.1,3582217,Hombres
  Caribbean,0,915,0,1990.1,538972,Hombres
   Anguilla*,14,660,B R,1990.1,1258,Hombres
   Antigua and Barbuda,0,28,B R,1990.1,5775,Hombres
   Aruba*,15,533,B R,1990.1,6429,Hombres
   Bahamas,0,44,B R,1990.1,13827,Hombres
   Barbados,0,52,B R,1990.1,10065,Hombres
"   Bonaire, Sint Eustatius and Saba*",16,535,B,1990.1,0,Hombres
   British Virgin Islands*,18,92,B R,1990.1,4126,Hombres
   Cayman Islands*,19,136,C R,1990.1,4587,Hombres
   Cuba,0,192,B,1990.1,17278,Hombres
   Curaçao*,20,531,B R,1990.1,0,Hombres
   Dominica,0,212,B,1990.1,1309,Hombres
   Dominican Republic,0,214,B R,1990.1,181677,Hombres
   Grenada,0,308,B,1990.1,2106,Hombres
   Guadeloupe*,21,312,B,1990.1,32718,Hombres
   Haiti,0,332,B R,1990.1,10606,Hombres
   Jamaica,0,388,B R,1990.1,9981,Hombres
   Martinique*,22,474,B R,1990.1,19091,Hombres
   Montserrat*,23,500,B,1990.1,1029,Hombres
   Puerto Rico*,24,630,B,1990.1,153354,Hombres
   Saint Barthélemy*,0,652,0,1990.1,0,Hombres
   Saint Kitts and Nevis,0,659,B R,1990.1,1642,Hombres
   Saint Lucia,0,662,B R,1990.1,2618,Hombres
   Saint Martin (French part)*,0,663,0,1990.1,0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,1990.1,1928,Hombres
   Sint Maarten (Dutch part)*,25,534,B R,1990.1,0,Hombres
   Trinidad and Tobago,0,780,B R,1990.1,23528,Hombres
   Turks and Caicos Islands*,26,796,B R,1990.1,2620,Hombres
   United States Virgin Islands*,27,850,B,1990.1,24824,Hombres
  Central America,0,916,0,1990.1,903333,Hombres
   Belize,0,84,B R ,1990.1,16393,Hombres
   Costa Rica,0,188,B R,1990.1,212173,Hombres
   El Salvador,0,222,B R,1990.1,22218,Hombres
   Guatemala,0,320,B R,1990.1,112615,Hombres
   Honduras,0,340,B R,1990.1,137573,Hombres
   Mexico,0,484,B R,1990.1,348353,Hombres
   Nicaragua,0,558,B R,1990.1,20860,Hombres
   Panama,0,591,B R,1990.1,33148,Hombres
  South America,0,931,0,1990.1,2139912,Hombres
   Argentina,0,32,B R,1990.1,788130,Hombres
   Bolivia (Plurinational State of),0,68,B R,1990.1,37549,Hombres
   Brazil,0,76,B R,1990.1,426147,Hombres
   Chile,0,152,B,1990.1,54547,Hombres
   Colombia,0,170,B,1990.1,53109,Hombres
   Ecuador,0,218,B R,1990.1,38531,Hombres
   Falkland Islands (Malvinas)*,28,238,B,1990.1,488,Hombres
   French Guiana*,29,254,B R,1990.1,34843,Hombres
   Guyana,0,328,B R,1990.1,2200,Hombres
   Paraguay,0,600,B R,1990.1,102816,Hombres
   Peru,0,604,B R,1990.1,28376,Hombres
   Suriname,0,740,C R,1990.1,9767,Hombres
   Uruguay,0,858,B R,1990.1,45830,Hombres
   Venezuela (Bolivarian Republic of),0,862,B R,1990.1,517579,Hombres
 NORTHERN AMERICA,0,905,0,1990.1,13497226,Hombres
   Bermuda*,30,60,B,1990.1,7557,Hombres
   Canada,0,124,B,1990.1,2109652,Hombres
   Greenland*,31,304,B,1990.1,6472,Hombres
   Saint Pierre and Miquelon*,32,666,B,1990.1,560,Hombres
   United States of America*,33,840,B,1990.1,11372985,Hombres
 OCEANIA ,0,909,0,1990.1,2415657,Hombres
  Australia and New Zealand,0,927,0,1990.1,2271419,Hombres
   Australia*,0,36,B,1990.1,2013196,Hombres
   New Zealand*,34,554,B,1990.1,258223,Hombres
  Melanesia,0,928,0,1990.1,50712,Hombres
   Fiji,0,242,B R,1990.1,6847,Hombres
   New Caledonia*,0,540,B,1990.1,20885,Hombres
   Papua New Guinea,0,598,C R,1990.1,19362,Hombres
   Solomon Islands,0,90,B R,1990.1,2349,Hombres
   Vanuatu,0,548,B R,1990.1,1269,Hombres
  Micronesia,0,954,0,1990.1,60858,Hombres
   Guam*,35,316,B,1990.1,39364,Hombres
   Kiribati,0,296,B,1990.1,1107,Hombres
   Marshall Islands,0,584,B,1990.1,721,Hombres
   Micronesia (Fed. States of),0,583,B,1990.1,2099,Hombres
   Nauru,0,520,C R,1990.1,1506,Hombres
   Northern Mariana Islands*,36,580,B,1990.1,14261,Hombres
   Palau,0,585,B,1990.1,1800,Hombres
  Polynesia*,0,957,0,1990.1,32668,Hombres
   American Samoa*,0,16,B,1990.1,11175,Hombres
   Cook Islands*,37,184,B R,1990.1,1443,Hombres
   French Polynesia*,38,258,B R,1990.1,15444,Hombres
   Niue*,39,570,B,1990.1,245,Hombres
   Samoa,0,882,B R,1990.1,1771,Hombres
   Tokelau*,40,772,B R,1990.1,196,Hombres
   Tonga,0,776,B R,1990.1,1488,Hombres
   Tuvalu,0,798,C,1990.1,180,Hombres
   Wallis and Futuna Islands*,41,876,B R,1990.1,726,Hombres
 AFRICA,0,903,0,1995.1,8619901,Hombres
  Eastern Africa,0,910,0,1995.1,2563827,Hombres
   Burundi,0,108,B R,1995.1,124165,Hombres
   Comoros,0,174,B,1995.1,6614,Hombres
   Djibouti,0,262,B R,1995.1,52476,Hombres
   Eritrea,0,232,I R,1995.1,6542,Hombres
   Ethiopia,0,231,B R,1995.1,424117,Hombres
   Kenya,0,404,B R,1995.1,322189,Hombres
   Madagascar,0,450,C R,1995.1,11901,Hombres
   Malawi,0,454,B R,1995.1,116198,Hombres
   Mauritius*,0,480,C,1995.1,3228,Hombres
   Mayotte*,1,175,B R,1995.1,14679,Hombres
   Mozambique,0,508,B R,1995.1,91210,Hombres
   Réunion*,2,638,B,1995.1,40710,Hombres
   Rwanda,0,646,B R,1995.1,109783,Hombres
   Seychelles,0,690,B,1995.1,3021,Hombres
   Somalia,0,706,I R,1995.1,10282,Hombres
   South Sudan,0,728,B R,1995.1,0,Hombres
   Uganda,0,800,B R,1995.1,308281,Hombres
   United Republic of Tanzania*,0,834,B R,1995.1,547089,Hombres
   Zambia,0,894,B R,1995.1,125329,Hombres
   Zimbabwe,0,716,B R,1995.1,246013,Hombres
  Middle Africa,0,911,0,1995.1,1355452,Hombres
   Angola,0,24,B R,1995.1,20755,Hombres
   Cameroon,0,120,B R,1995.1,133945,Hombres
   Central African Republic,0,140,C R,1995.1,52975,Hombres
   Chad,0,148,B R,1995.1,48298,Hombres
   Congo,0,178,B R,1995.1,95822,Hombres
   Democratic Republic of the Congo,0,180,B R,1995.1,901379,Hombres
   Equatorial Guinea,0,226,C,1995.1,1930,Hombres
   Gabon,0,266,C R,1995.1,97800,Hombres
   Sao Tome and Principe,0,678,C,1995.1,2548,Hombres
  Northern Africa,0,912,0,1995.1,1105808,Hombres
   Algeria,0,12,B R,1995.1,143696,Hombres
   Egypt,0,818,B R,1995.1,88545,Hombres
   Libya,0,434,C R,1995.1,300906,Hombres
   Morocco,0,504,C R,1995.1,26264,Hombres
   Sudan,3,729,B R,1995.1,525701,Hombres
   Tunisia,0,788,C R,1995.1,19045,Hombres
   Western Sahara,0,732,I,1995.1,1651,Hombres
  Southern Africa,0,913,0,1995.1,718438,Hombres
   Botswana,0,72,B R,1995.1,23517,Hombres
   Eswatini,0,748,B R,1995.1,18701,Hombres
   Lesotho,0,426,C R,1995.1,3827,Hombres
   Namibia,0,516,B R,1995.1,61310,Hombres
   South Africa,0,710,B R,1995.1,611083,Hombres
  Western Africa,0,914,0,1995.1,2876376,Hombres
   Benin,0,204,C B R,1995.1,56304,Hombres
   Burkina Faso,0,854,B R,1995.1,223156,Hombres
   Cabo Verde,0,132,B R,1995.1,5091,Hombres
   Côte d'Ivoire,0,384,C B R,1995.1,1150710,Hombres
   Gambia,0,270,B R,1995.1,82048,Hombres
   Ghana,0,288,B R,1995.1,127423,Hombres
   Guinea,0,324,C B R,1995.1,386537,Hombres
   Guinea-Bissau,0,624,B R,1995.1,13833,Hombres
   Liberia,0,430,B R,1995.1,111647,Hombres
   Mali,0,466,B R,1995.1,90871,Hombres
   Mauritania,0,478,C R,1995.1,47015,Hombres
   Niger,0,562,B R,1995.1,69751,Hombres
   Nigeria,0,566,C R,1995.1,258091,Hombres
   Saint Helena*,4,654,C,1995.1,70,Hombres
   Senegal,0,686,B R,1995.1,147165,Hombres
   Sierra Leone,0,694,B R,1995.1,55937,Hombres
   Togo,0,768,C R,1995.1,50727,Hombres
 ASIA,0,935,0,1995.1,24775923,Hombres
  Central Asia,0,5500,0,1995.1,2655599,Hombres
   Kazakhstan,0,398,B R,1995.1,1497455,Hombres
   Kyrgyzstan,0,417,B R,1995.1,216638,Hombres
   Tajikistan,0,762,B R,1995.1,151894,Hombres
   Turkmenistan,0,795,B R,1995.1,132122,Hombres
   Uzbekistan,0,860,B R,1995.1,657490,Hombres
  Eastern Asia,0,906,0,1995.1,2274256,Hombres
   China*,0,156,C,1995.1,223018,Hombres
"   China, Hong Kong SAR*",0,344,B R,1995.1,1175087,Hombres
"   China, Macao SAR*",0,446,B,1995.1,103660,Hombres
"   China, Taiwan Province of China*",0,158,0,1995.1,0,Hombres
   Dem. People's Republic of Korea,0,408,I,1995.1,17562,Hombres
   Japan,0,392,C,1995.1,680212,Hombres
   Mongolia,0,496,C R,1995.1,3959,Hombres
   Republic of Korea,0,410,C R,1995.1,70758,Hombres
  South-Eastern Asia,0,920,0,1995.1,1916620,Hombres
   Brunei Darussalam,0,96,B,1995.1,47832,Hombres
   Cambodia,0,116,B R,1995.1,45361,Hombres
   Indonesia,0,360,B R,1995.1,191600,Hombres
   Lao People's Democratic Republic,0,418,C R,1995.1,12199,Hombres
   Malaysia*,0,458,C R,1995.1,534964,Hombres
   Myanmar,0,104,C,1995.1,61489,Hombres
   Philippines,0,608,C R,1995.1,107524,Hombres
   Singapore,0,702,B,1995.1,456411,Hombres
   Thailand,0,764,B R,1995.1,426290,Hombres
   Timor-Leste,0,626,B R,1995.1,4763,Hombres
   Viet Nam,0,704,C R,1995.1,28187,Hombres
  Southern Asia,0,5501,0,1995.1,7987547,Hombres
   Afghanistan,0,4,B R,1995.1,39105,Hombres
   Bangladesh,0,50,B R,1995.1,503989,Hombres
   Bhutan,0,64,B,1995.1,22804,Hombres
   India,0,356,B R,1995.1,3608978,Hombres
   Iran (Islamic Republic of),0,364,C R,1995.1,1612428,Hombres
   Maldives,0,462,C,1995.1,9243,Hombres
   Nepal,0,524,B R,1995.1,217088,Hombres
   Pakistan,0,586,B R,1995.1,1951223,Hombres
   Sri Lanka,0,144,B R,1995.1,22689,Hombres
  Western Asia,0,922,0,1995.1,9941901,Hombres
   Armenia,0,51,B R,1995.1,284995,Hombres
   Azerbaijan*,0,31,B R,1995.1,149509,Hombres
   Bahrain,0,48,C R,1995.1,144227,Hombres
   Cyprus*,0,196,B,1995.1,27604,Hombres
   Georgia*,0,268,B R,1995.1,66643,Hombres
   Iraq,0,368,C R,1995.1,114821,Hombres
   Israel,0,376,B R,1995.1,830330,Hombres
   Jordan,0,400,C R,1995.1,784725,Hombres
   Kuwait,0,414,C R,1995.1,591452,Hombres
   Lebanon,0,422,B R,1995.1,310613,Hombres
   Oman,0,512,C R,1995.1,417444,Hombres
   Qatar,0,634,C,1995.1,269972,Hombres
   Saudi Arabia,0,682,C R,1995.1,3416485,Hombres
   State of Palestine*,5,275,B,1995.1,128328,Hombres
   Syrian Arab Republic,0,760,C R,1995.1,423115,Hombres
   Turkey,0,792,B R,1995.1,593938,Hombres
   United Arab Emirates,0,784,C R,1995.1,1309868,Hombres
   Yemen,0,887,C R,1995.1,77832,Hombres
 EUROPE,0,908,0,1995.1,25913001,Hombres
  Eastern Europe,0,923,0,1995.1,10013084,Hombres
   Belarus,0,112,B,1995.1,543307,Hombres
   Bulgaria,0,100,B,1995.1,13642,Hombres
   Czechia,0,203,C,1995.1,88316,Hombres
   Hungary,0,348,B,1995.1,147202,Hombres
   Poland,0,616,B,1995.1,404049,Hombres
   Republic of Moldova*,0,498,B,1995.1,155297,Hombres
   Romania,0,642,B,1995.1,60443,Hombres
   Russian Federation,0,643,B,1995.1,5925452,Hombres
   Slovakia,0,703,B,1995.1,30531,Hombres
   Ukraine*,0,804,B,1995.1,2644845,Hombres
  Northern Europe,0,924,0,1995.1,3404174,Hombres
   Channel Islands*,6,830,B,1995.1,28468,Hombres
   Denmark*,7,208,B,1995.1,147194,Hombres
   Estonia,0,233,B,1995.1,136268,Hombres
   Faroe Islands*,8,234,B,1995.1,1575,Hombres
   Finland*,0,246,B,1995.1,49575,Hombres
   Iceland,0,352,B,1995.1,5727,Hombres
   Ireland,0,372,B,1995.1,108084,Hombres
   Isle of Man*,9,833,B,1995.1,17548,Hombres
   Latvia,0,428,B,1995.1,234216,Hombres
   Lithuania,0,440,B,1995.1,128641,Hombres
   Norway*,0,578,B,1995.1,117222,Hombres
   Sweden,0,752,B,1995.1,450945,Hombres
   United Kingdom*,10,826,B,1995.1,1978711,Hombres
  Southern Europe,0,925,0,1995.1,2959579,Hombres
   Albania,0,8,B,1995.1,33284,Hombres
   Andorra,0,20,C,1995.1,23588,Hombres
   Bosnia and Herzegovina,0,70,I R,1995.1,33115,Hombres
   Croatia,0,191,B,1995.1,315733,Hombres
   Gibraltar*,11,292,B,1995.1,4196,Hombres
   Greece,0,300,B,1995.1,445004,Hombres
   Holy See*,0,336,I,1995.1,379,Hombres
   Italy,0,380,B,1995.1,809553,Hombres
   Malta,0,470,B,1995.1,8366,Hombres
   Montenegro,0,499,B,1995.1,0,Hombres
   North Macedonia,0,807,B,1995.1,45581,Hombres
   Portugal,0,620,B,1995.1,259337,Hombres
   San Marino,0,674,C,1995.1,1940,Hombres
   Serbia*,0,688,B,1995.1,390134,Hombres
   Slovenia,0,705,B,1995.1,90255,Hombres
   Spain*,0,724,B,1995.1,499114,Hombres
  Western Europe,0,926,0,1995.1,9536164,Hombres
   Austria,0,40,B,1995.1,423302,Hombres
   Belgium,0,56,B,1995.1,651788,Hombres
   France*,12,250,B,1995.1,3046083,Hombres
   Germany,0,276,B,1995.1,3898397,Hombres
   Liechtenstein,0,438,B,1995.1,7068,Hombres
   Luxembourg,0,442,B,1995.1,62292,Hombres
   Monaco,0,492,B,1995.1,9955,Hombres
   Netherlands*,13,528,B,1995.1,668236,Hombres
   Switzerland,0,756,B,1995.1,769043,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,1995.1,3335229,Hombres
  Caribbean,0,915,0,1995.1,582117,Hombres
   Anguilla*,14,660,B R,1995.1,1584,Hombres
   Antigua and Barbuda,0,28,B R,1995.1,8046,Hombres
   Aruba*,15,533,B R,1995.1,9974,Hombres
   Bahamas,0,44,B R,1995.1,16620,Hombres
   Barbados,0,52,B R,1995.1,11235,Hombres
"   Bonaire, Sint Eustatius and Saba*",16,535,B,1995.1,0,Hombres
   British Virgin Islands*,18,92,B R,1995.1,5034,Hombres
   Cayman Islands*,19,136,C R,1995.1,6339,Hombres
   Cuba,0,192,B,1995.1,12559,Hombres
   Curaçao*,20,531,B R,1995.1,0,Hombres
   Dominica,0,212,B,1995.1,1623,Hombres
   Dominican Republic,0,214,B R,1995.1,198842,Hombres
   Grenada,0,308,B,1995.1,2746,Hombres
   Guadeloupe*,21,312,B,1995.1,36248,Hombres
   Haiti,0,332,B R,1995.1,10076,Hombres
   Jamaica,0,388,B R,1995.1,11242,Hombres
   Martinique*,22,474,B R,1995.1,22271,Hombres
   Montserrat*,23,500,B,1995.1,825,Hombres
   Puerto Rico*,24,630,B,1995.1,160739,Hombres
   Saint Barthélemy*,0,652,0,1995.1,0,Hombres
   Saint Kitts and Nevis,0,659,B R,1995.1,2196,Hombres
   Saint Lucia,0,662,B R,1995.1,3563,Hombres
   Saint Martin (French part)*,0,663,0,1995.1,0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,1995.1,2011,Hombres
   Sint Maarten (Dutch part)*,25,534,B R,1995.1,0,Hombres
   Trinidad and Tobago,0,780,B R,1995.1,21303,Hombres
   Turks and Caicos Islands*,26,796,B R,1995.1,3643,Hombres
   United States Virgin Islands*,27,850,B,1995.1,25760,Hombres
  Central America,0,916,0,1995.1,643244,Hombres
   Belize,0,84,B R ,1995.1,17512,Hombres
   Costa Rica,0,188,B R,1995.1,184485,Hombres
   El Salvador,0,222,B R,1995.1,18564,Hombres
   Guatemala,0,320,B R,1995.1,66913,Hombres
   Honduras,0,340,B R,1995.1,76077,Hombres
   Mexico,0,484,B R,1995.1,229589,Hombres
   Nicaragua,0,558,B R,1995.1,13364,Hombres
   Panama,0,591,B R,1995.1,36740,Hombres
  South America,0,931,0,1995.1,2109868,Hombres
   Argentina,0,32,B R,1995.1,753027,Hombres
   Bolivia (Plurinational State of),0,68,B R,1995.1,42806,Hombres
   Brazil,0,76,B R,1995.1,396152,Hombres
   Chile,0,152,B,1995.1,69632,Hombres
   Colombia,0,170,B,1995.1,54666,Hombres
   Ecuador,0,218,B R,1995.1,57879,Hombres
   Falkland Islands (Malvinas)*,28,238,B,1995.1,510,Hombres
   French Guiana*,29,254,B R,1995.1,36869,Hombres
   Guyana,0,328,B R,1995.1,3405,Hombres
   Paraguay,0,600,B R,1995.1,97869,Hombres
   Peru,0,604,B R,1995.1,28062,Hombres
   Suriname,0,740,C R,1995.1,12091,Hombres
   Uruguay,0,858,B R,1995.1,43427,Hombres
   Venezuela (Bolivarian Republic of),0,862,B R,1995.1,513473,Hombres
 NORTHERN AMERICA,0,905,0,1995.1,16401865,Hombres
   Bermuda*,30,60,B,1995.1,8044,Hombres
   Canada,0,124,B,1995.1,2356105,Hombres
   Greenland*,31,304,B,1995.1,4875,Hombres
   Saint Pierre and Miquelon*,32,666,B,1995.1,682,Hombres
   United States of America*,33,840,B,1995.1,14032159,Hombres
 OCEANIA ,0,909,0,1995.1,2535582,Hombres
  Australia and New Zealand,0,927,0,1995.1,2382510,Hombres
   Australia*,0,36,B,1995.1,2093280,Hombres
   New Zealand*,34,554,B,1995.1,289230,Hombres
  Melanesia,0,928,0,1995.1,54089,Hombres
   Fiji,0,242,B R,1995.1,6726,Hombres
   New Caledonia*,0,540,B,1995.1,23908,Hombres
   Papua New Guinea,0,598,C R,1995.1,19832,Hombres
   Solomon Islands,0,90,B R,1995.1,2328,Hombres
