País,Código de ubicación,Año,Numero de Migrantes
   British Virgin Islands*,92,2000,50.7
   Cayman Islands*,136,2000,49.6
   Cuba,192,2000,55.7
   Curaçao*,531,2000,0.0
   Dominica,212,2000,47.5
   Dominican Republic,214,2000,39.3
   Grenada,308,2000,50.4
   Guadeloupe*,312,2000,52.2
   Haiti,332,2000,44.4
   Jamaica,388,2000,49.9
   Martinique*,474,2000,53.3
   Montserrat*,500,2000,48.6
   Puerto Rico*,630,2000,52.5
   Saint Barthélemy*,652,2000,0.0
   Saint Kitts and Nevis,659,2000,47.7
   Saint Lucia,662,2000,49.8
   Saint Martin (French part)*,663,2000,0.0
   Saint Vincent and the Grenadines,670,2000,51.3
   Sint Maarten (Dutch part)*,534,2000,0.0
   Trinidad and Tobago,780,2000,53.8
   Turks and Caicos Islands*,796,2000,48.3
   United States Virgin Islands*,850,2000,52.8
   Belize,84,2000,48.9
   Costa Rica,188,2000,49.6
   El Salvador,222,2000,53.0
   Guatemala,320,2000,55.9
   Honduras,340,2000,48.8
   Mexico,484,2000,49.7
   Nicaragua,558,2000,49.2
   Panama,591,2000,49.1
   Argentina,32,2000,53.4
   Bolivia (Plurinational State of),68,2000,48.6
   Brazil,76,2000,46.5
   Chile,152,2000,52.2
   Colombia,170,2000,48.7
   Ecuador,218,2000,49.0
   Falkland Islands (Malvinas)*,238,2000,40.4
   French Guiana*,254,2000,49.3
   Guyana,328,2000,46.4
   Paraguay,600,2000,47.9
   Peru,604,2000,50.5
   Suriname,740,2000,45.7
   Uruguay,858,2000,53.8
   Venezuela (Bolivarian Republic of),862,2000,49.8
   Bermuda*,60,2000,51.7
   Canada,124,2000,51.8
   Greenland*,304,2000,30.1
   Saint Pierre and Miquelon*,666,2000,48.1
   United States of America*,840,2000,50.3
   Australia*,36,2000,50.1
   New Zealand*,554,2000,51.4
   Fiji,242,2000,48.1
   New Caledonia*,540,2000,45.8
   Papua New Guinea,598,2000,39.7
   Solomon Islands,90,2000,44.1
   Vanuatu,548,2000,49.7
   Guam*,316,2000,48.3
   Kiribati,296,2000,48.0
   Marshall Islands,584,2000,38.4
   Micronesia (Fed. States of),583,2000,44.8
   Nauru,520,2000,46.4
   Northern Mariana Islands*,580,2000,56.7
   Palau,585,2000,38.1
   American Samoa*,16,2000,48.2
   Cook Islands*,184,2000,44.3
   French Polynesia*,258,2000,42.0
   Niue*,570,2000,46.2
   Samoa,882,2000,48.3
   Tokelau*,772,2000,48.6
   Tonga,776,2000,46.2
   Tuvalu,798,2000,44.5
   Wallis and Futuna Islands*,876,2000,49.5
   Burundi,108,2005,51.0
   Comoros,174,2005,52.4
   Djibouti,262,2005,44.3
   Eritrea,232,2005,45.9
   Ethiopia,231,2005,47.5
   Kenya,404,2005,48.2
   Madagascar,450,2005,43.4
   Malawi,454,2005,52.2
   Mauritius*,480,2005,54.5
   Mayotte*,175,2005,50.4
   Mozambique,508,2005,51.5
   Réunion*,638,2005,48.6
   Rwanda,646,2005,49.6
   Seychelles,690,2005,35.3
   Somalia,706,2005,46.6
   South Sudan,728,2005,0.0
   Uganda,800,2005,50.8
   United Republic of Tanzania*,834,2005,36.9
   Zambia,894,2005,49.1
   Zimbabwe,716,2005,43.0
   Angola,24,2005,50.7
   Cameroon,120,2005,45.0
   Central African Republic,140,2005,46.8
   Chad,148,2005,54.6
   Congo,178,2005,45.6
   Democratic Republic of the Congo,180,2005,51.5
   Equatorial Guinea,226,2005,45.9
   Gabon,266,2005,42.2
   Sao Tome and Principe,678,2005,49.7
   Algeria,12,2005,45.2
   Egypt,818,2005,42.0
   Libya,434,2005,28.7
   Morocco,504,2005,49.3
   Sudan,729,2005,49.1
   Tunisia,788,2005,48.6
   Western Sahara,732,2005,42.8
   Botswana,72,2005,41.9
   Eswatini,748,2005,48.0
   Lesotho,426,2005,45.9
   Namibia,516,2005,46.3
   South Africa,710,2005,42.1
   Benin,204,2005,50.7
   Burkina Faso,854,2005,52.2
   Cabo Verde,132,2005,48.6
   Côte d'Ivoire,384,2005,44.6
   Gambia,270,2005,47.1
   Ghana,288,2005,48.5
   Guinea,324,2005,51.4
   Guinea-Bissau,624,2005,50.3
   Liberia,430,2005,41.3
   Mali,466,2005,48.4
   Mauritania,478,2005,43.9
   Niger,562,2005,52.5
   Nigeria,566,2005,41.8
   Saint Helena*,654,2005,47.9
   Senegal,686,2005,47.6
   Sierra Leone,694,2005,47.5
   Togo,768,2005,49.4
   Kazakhstan,398,2005,52.5
   Kyrgyzstan,417,2005,58.6
   Tajikistan,762,2005,56.7
   Turkmenistan,795,2005,52.5
   Uzbekistan,860,2005,55.7
   China*,156,2005,44.0
"   China, Hong Kong SAR*",344,2005,56.4
"   China, Macao SAR*",446,2005,53.3
"   China, Taiwan Province of China*",158,2005,0.0
   Dem. People's Republic of Korea,408,2005,50.7
   Japan,392,2005,53.7
   Mongolia,496,2005,34.0
   Republic of Korea,410,2005,41.5
   Brunei Darussalam,96,2005,43.9
   Cambodia,116,2005,49.6
   Indonesia,360,2005,42.9
   Lao People's Democratic Republic,418,2005,46.3
   Malaysia*,458,2005,40.9
   Myanmar,104,2005,46.4
   Philippines,608,2005,48.3
   Singapore,702,2005,55.6
   Thailand,764,2005,49.8
   Timor-Leste,626,2005,50.6
   Viet Nam,704,2005,39.9
   Afghanistan,4,2005,43.6
   Bangladesh,50,2005,46.1
   Bhutan,64,2005,18.7
   India,356,2005,50.6
   Iran (Islamic Republic of),364,2005,45.1
   Maldives,462,2005,39.9
   Nepal,524,2005,65.4
   Pakistan,586,2005,46.1
   Sri Lanka,144,2005,46.1
   Armenia,51,2005,59.2
   Azerbaijan*,31,2005,55.2
   Bahrain,48,2005,28.6
   Cyprus*,196,2005,56.4
   Georgia*,268,2005,56.2
   Iraq,368,2005,39.3
   Israel,376,2005,54.1
   Jordan,400,2005,49.1
   Kuwait,414,2005,31.1
   Lebanon,422,2005,48.4
   Oman,512,2005,20.8
   Qatar,634,2005,22.8
   Saudi Arabia,682,2005,31.3
   State of Palestine*,275,2005,54.6
   Syrian Arab Republic,760,2005,48.7
   Turkey,792,2005,53.0
   United Arab Emirates,784,2005,27.2
   Yemen,887,2005,42.5
   Belarus,112,2005,54.2
   Bulgaria,100,2005,56.5
   Czechia,203,2005,43.7
   Hungary,348,2005,52.5
   Poland,616,2005,58.9
   Republic of Moldova*,498,2005,60.3
   Romania,642,2005,51.7
   Russian Federation,643,2005,50.2
   Slovakia,703,2005,55.0
   Ukraine*,804,2005,57.1
   Channel Islands*,830,2005,52.6
   Denmark*,208,2005,51.6
   Estonia,233,2005,59.7
   Faroe Islands*,234,2005,46.5
   Finland*,246,2005,49.8
   Iceland,352,2005,51.3
   Ireland,372,2005,47.4
   Isle of Man*,833,2005,51.3
   Latvia,428,2005,58.9
   Lithuania,440,2005,53.2
   Norway*,578,2005,51.1
   Sweden,752,2005,52.2
   United Kingdom*,826,2005,52.4
   Albania,8,2005,49.0
   Andorra,20,2005,47.4
   Bosnia and Herzegovina,70,2005,52.5
   Croatia,191,2005,53.1
   Gibraltar*,292,2005,50.9
   Greece,300,2005,50.6
   Holy See*,336,2005,52.3
   Italy,380,2005,54.0
   Malta,470,2005,51.6
   Montenegro,499,2005,0.0
   North Macedonia,807,2005,58.3
   Portugal,620,2005,51.1
   San Marino,674,2005,45.4
   Serbia*,688,2005,55.2
   Slovenia,705,2005,46.3
   Spain*,724,2005,47.9
   Austria,40,2005,52.2
   Belgium,56,2005,50.3
   France*,250,2005,51.0
   Germany,276,2005,50.3
   Liechtenstein,438,2005,50.1
   Luxembourg,442,2005,50.2
   Monaco,492,2005,51.6
   Netherlands*,528,2005,51.4
   Switzerland,756,2005,48.9
   Anguilla*,660,2005,52.8
   Antigua and Barbuda,28,2005,55.3
   Aruba*,533,2005,55.3
   Bahamas,44,2005,48.1
   Barbados,52,2005,55.7
"   Bonaire, Sint Eustatius and Saba*",535,2005,0.0
   British Virgin Islands*,92,2005,50.7
   Cayman Islands*,136,2005,49.2
   Cuba,192,2005,55.9
   Curaçao*,531,2005,0.0
   Dominica,212,2005,47.5
   Dominican Republic,214,2005,39.3
   Grenada,308,2005,50.4
   Guadeloupe*,312,2005,53.7
   Haiti,332,2005,44.4
   Jamaica,388,2005,49.6
   Martinique*,474,2005,54.6
   Montserrat*,500,2005,48.6
   Puerto Rico*,630,2005,52.6
   Saint Barthélemy*,652,2005,0.0
   Saint Kitts and Nevis,659,2005,47.6
   Saint Lucia,662,2005,50.8
   Saint Martin (French part)*,663,2005,0.0
   Saint Vincent and the Grenadines,670,2005,50.5
   Sint Maarten (Dutch part)*,534,2005,52.0
   Trinidad and Tobago,780,2005,53.9
   Turks and Caicos Islands*,796,2005,48.3
   United States Virgin Islands*,850,2005,52.8
   Belize,84,2005,49.2
   Costa Rica,188,2005,50.8
   El Salvador,222,2005,52.7
   Guatemala,320,2005,54.5
   Honduras,340,2005,48.2
   Mexico,484,2005,49.5
   Nicaragua,558,2005,49.1
   Panama,591,2005,49.2
   Argentina,32,2005,53.7
   Bolivia (Plurinational State of),68,2005,48.0
   Brazil,76,2005,46.3
   Chile,152,2005,52.4
   Colombia,170,2005,48.4
   Ecuador,218,2005,48.7
   Falkland Islands (Malvinas)*,238,2005,42.1
   French Guiana*,254,2005,50.6
   Guyana,328,2005,46.5
   Paraguay,600,2005,47.9
   Peru,604,2005,50.0
   Suriname,740,2005,45.5
   Uruguay,858,2005,54.3
   Venezuela (Bolivarian Republic of),862,2005,50.0
   Bermuda*,60,2005,51.5
   Canada,124,2005,52.0
   Greenland*,304,2005,32.0
   Saint Pierre and Miquelon*,666,2005,48.0
   United States of America*,840,2005,50.0
   Australia*,36,2005,50.4
   New Zealand*,554,2005,51.5
   Fiji,242,2005,47.2
   New Caledonia*,540,2005,46.0
   Papua New Guinea,598,2005,40.4
   Solomon Islands,90,2005,44.1
   Vanuatu,548,2005,50.1
   Guam*,316,2005,48.4
   Kiribati,296,2005,47.2
   Marshall Islands,584,2005,38.6
   Micronesia (Fed. States of),583,2005,46.1
   Nauru,520,2005,46.4
   Northern Mariana Islands*,580,2005,57.4
   Palau,585,2005,40.1
   American Samoa*,16,2005,48.4
   Cook Islands*,184,2005,47.4
   French Polynesia*,258,2005,43.0
   Niue*,570,2005,46.0
   Samoa,882,2005,48.8
   Tokelau*,772,2005,50.1
   Tonga,776,2005,46.0
   Tuvalu,798,2005,45.0
   Wallis and Futuna Islands*,876,2005,49.5
   Burundi,108,2010,50.8
   Comoros,174,2010,52.0
   Djibouti,262,2010,47.5
   Eritrea,232,2010,45.1
   Ethiopia,231,2010,47.6
   Kenya,404,2010,50.5
   Madagascar,450,2010,43.2
   Malawi,454,2010,52.3
   Mauritius*,480,2010,46.9
   Mayotte*,175,2010,52.6
   Mozambique,508,2010,51.7
   Réunion*,638,2010,49.0
   Rwanda,646,2010,49.9
   Seychelles,690,2010,31.7
   Somalia,706,2010,47.6
   South Sudan,728,2010,48.4
   Uganda,800,2010,50.9
   United Republic of Tanzania*,834,2010,50.1
   Zambia,894,2010,49.4
   Zimbabwe,716,2010,43.0
   Angola,24,2010,51.7
   Cameroon,120,2010,44.6
   Central African Republic,140,2010,46.8
   Chad,148,2010,55.2
   Congo,178,2010,45.6
   Democratic Republic of the Congo,180,2010,51.7
   Equatorial Guinea,226,2010,45.3
   Gabon,266,2010,41.4
   Sao Tome and Principe,678,2010,49.9
   Algeria,12,2010,47.1
   Egypt,818,2010,43.8
   Libya,434,2010,28.5
   Morocco,504,2010,49.6
   Sudan,729,2010,49.2
   Tunisia,788,2010,48.5
   Western Sahara,732,2010,41.9
   Botswana,72,2010,43.1
   Eswatini,748,2010,48.6
   Lesotho,426,2010,45.9
   Namibia,516,2010,46.3
   South Africa,710,2010,42.2
   Benin,204,2010,53.6
   Burkina Faso,854,2010,52.4
   Cabo Verde,132,2010,49.3
   Côte d'Ivoire,384,2010,44.6
   Gambia,270,2010,47.2
   Ghana,288,2010,46.7
   Guinea,324,2010,47.8
   Guinea-Bissau,624,2010,51.1
   Liberia,430,2010,42.6
   Mali,466,2010,49.3
   Mauritania,478,2010,42.6
   Niger,562,2010,52.5
   Nigeria,566,2010,41.8
   Saint Helena*,654,2010,45.2
   Senegal,686,2010,46.9
   Sierra Leone,694,2010,45.0
   Togo,768,2010,49.4
   Kazakhstan,398,2010,51.3
   Kyrgyzstan,417,2010,59.2
   Tajikistan,762,2010,56.5
   Turkmenistan,795,2010,54.2
   Uzbekistan,860,2010,54.2
   China*,156,2010,40.5
"   China, Hong Kong SAR*",344,2010,58.7
"   China, Macao SAR*",446,2010,54.0
"   China, Taiwan Province of China*",158,2010,0.0
   Dem. People's Republic of Korea,408,2010,50.5
   Japan,392,2010,54.4
   Mongolia,496,2010,26.0
   Republic of Korea,410,2010,44.0
   Brunei Darussalam,96,2010,43.6
   Cambodia,116,2010,47.1
   Indonesia,360,2010,42.6
   Lao People's Democratic Republic,418,2010,38.9
   Malaysia*,458,2010,39.2
   Myanmar,104,2010,45.6
   Philippines,608,2010,48.3
   Singapore,702,2010,55.8
   Thailand,764,2010,49.6
   Timor-Leste,626,2010,49.4
   Viet Nam,704,2010,41.8
   Afghanistan,4,2010,43.6
   Bangladesh,50,2010,47.2
   Bhutan,64,2010,18.9
   India,356,2010,51.6
   Iran (Islamic Republic of),364,2010,45.3
   Maldives,462,2010,23.7
   Nepal,524,2010,67.1
   Pakistan,586,2010,47.4
   Sri Lanka,144,2010,46.9
   Armenia,51,2010,59.4
   Azerbaijan*,31,2010,53.2
   Bahrain,48,2010,27.8
   Cyprus*,196,2010,56.2
   Georgia*,268,2010,56.2
   Iraq,368,2010,38.1
   Israel,376,2010,54.4
   Jordan,400,2010,49.2
   Kuwait,414,2010,30.0
   Lebanon,422,2010,47.9
   Oman,512,2010,19.3
   Qatar,634,2010,17.2
   Saudi Arabia,682,2010,29.6
   State of Palestine*,275,2010,54.5
   Syrian Arab Republic,760,2010,48.9
   Turkey,792,2010,54.1
   United Arab Emirates,784,2010,25.3
   Yemen,887,2010,45.9
   Belarus,112,2010,54.2
   Bulgaria,100,2010,55.6
   Czechia,203,2010,40.7
   Hungary,348,2010,51.9
   Poland,616,2010,59.2
   Republic of Moldova*,498,2010,59.7
   Romania,642,2010,50.5
   Russian Federation,643,2010,50.7
   Slovakia,703,2010,54.3
   Ukraine*,804,2010,57.0
   Channel Islands*,830,2010,52.3
   Denmark*,208,2010,51.7
   Estonia,233,2010,59.8
   Faroe Islands*,234,2010,47.0
   Finland*,246,2010,49.6
   Iceland,352,2010,49.8
   Ireland,372,2010,50.7
   Isle of Man*,833,2010,50.8
   Latvia,428,2010,60.3
   Lithuania,440,2010,56.7
   Norway*,578,2010,49.1
   Sweden,752,2010,51.5
   United Kingdom*,826,2010,51.5
   Albania,8,2010,49.0
   Andorra,20,2010,47.6
   Bosnia and Herzegovina,70,2010,52.3
   Croatia,191,2010,53.2
   Gibraltar*,292,2010,50.1
   Greece,300,2010,51.5
   Holy See*,336,2010,52.1
   Italy,380,2010,54.0
   Malta,470,2010,48.1
   Montenegro,499,2010,59.7
   North Macedonia,807,2010,58.3
   Portugal,620,2010,51.3
   San Marino,674,2010,43.4
   Serbia*,688,2010,55.9
   Slovenia,705,2010,42.8
   Spain*,724,2010,48.4
   Austria,40,2010,52.4
   Belgium,56,2010,51.7
   France*,250,2010,51.4
   Germany,276,2010,50.6
   Liechtenstein,438,2010,51.4
   Luxembourg,442,2010,50.1
   Monaco,492,2010,51.1
   Netherlands*,528,2010,51.9
   Switzerland,756,2010,51.6
   Anguilla*,660,2010,52.7
   Antigua and Barbuda,28,2010,55.4
   Aruba*,533,2010,55.4
   Bahamas,44,2010,49.1
   Barbados,52,2010,55.1
"   Bonaire, Sint Eustatius and Saba*",535,2010,0.0
   British Virgin Islands*,92,2010,51.4
   Cayman Islands*,136,2010,48.8
   Cuba,192,2010,56.2
   Curaçao*,531,2010,59.0
   Dominica,212,2010,48.2
   Dominican Republic,214,2010,39.4
   Grenada,308,2010,50.4
   Guadeloupe*,312,2010,55.0
   Haiti,332,2010,44.4
   Jamaica,388,2010,49.2
   Martinique*,474,2010,55.8
   Montserrat*,500,2010,48.6
   Puerto Rico*,630,2010,53.1
   Saint Barthélemy*,652,2010,0.0
   Saint Kitts and Nevis,659,2010,47.5
   Saint Lucia,662,2010,51.6
   Saint Martin (French part)*,663,2010,0.0
   Saint Vincent and the Grenadines,670,2010,49.6
   Sint Maarten (Dutch part)*,534,2010,52.0
   Trinidad and Tobago,780,2010,52.0
   Turks and Caicos Islands*,796,2010,48.3
   United States Virgin Islands*,850,2010,52.9
   Belize,84,2010,49.4
   Costa Rica,188,2010,51.7
   El Salvador,222,2010,52.5
   Guatemala,320,2010,53.4
   Honduras,340,2010,47.6
   Mexico,484,2010,49.4
   Nicaragua,558,2010,48.8
   Panama,591,2010,48.5
   Argentina,32,2010,53.9
   Bolivia (Plurinational State of),68,2010,47.6
   Brazil,76,2010,46.0
   Chile,152,2010,52.6
   Colombia,170,2010,47.5
   Ecuador,218,2010,48.4
   Falkland Islands (Malvinas)*,238,2010,43.8
   French Guiana*,254,2010,51.6
   Guyana,328,2010,44.6
   Paraguay,600,2010,48.0
   Peru,604,2010,46.4
   Suriname,740,2010,45.5
   Uruguay,858,2010,54.7
   Venezuela (Bolivarian Republic of),862,2010,49.8
   Bermuda*,60,2010,51.3
   Canada,124,2010,52.1
   Greenland*,304,2010,32.4
   Saint Pierre and Miquelon*,666,2010,47.8
   United States of America*,840,2010,50.9
   Australia*,36,2010,50.3
   New Zealand*,554,2010,51.5
   Fiji,242,2010,46.5
   New Caledonia*,540,2010,46.2
   Papua New Guinea,598,2010,39.3
   Solomon Islands,90,2010,44.0
   Vanuatu,548,2010,50.3
   Guam*,316,2010,48.4
   Kiribati,296,2010,47.3
   Marshall Islands,584,2010,38.7
   Micronesia (Fed. States of),583,2010,46.4
   Nauru,520,2010,46.4
   Northern Mariana Islands*,580,2010,57.7
   Palau,585,2010,41.5
   American Samoa*,16,2010,48.6
   Cook Islands*,184,2010,49.7
   French Polynesia*,258,2010,43.0
   Niue*,570,2010,45.8
   Samoa,882,2010,49.4
   Tokelau*,772,2010,51.9
   Tonga,776,2010,45.7
   Tuvalu,798,2010,45.0
   Wallis and Futuna Islands*,876,2010,49.5
   Burundi,108,2015,50.7
   Comoros,174,2015,51.6
   Djibouti,262,2015,47.4
   Eritrea,232,2015,44.6
   Ethiopia,231,2015,49.1
   Kenya,404,2015,50.0
   Madagascar,450,2015,43.0
   Malawi,454,2015,52.5
   Mauritius*,480,2015,44.6
   Mayotte*,175,2015,53.7
   Mozambique,508,2015,51.7
   Réunion*,638,2015,49.3
   Rwanda,646,2015,50.2
   Seychelles,690,2015,30.0
   Somalia,706,2015,47.3
   South Sudan,728,2015,48.9
   Uganda,800,2015,51.1
   United Republic of Tanzania*,834,2015,50.4
   Zambia,894,2015,49.5
   Zimbabwe,716,2015,43.7
   Angola,24,2015,51.8
   Cameroon,120,2015,50.6
   Central African Republic,140,2015,47.1
   Chad,148,2015,53.8
   Congo,178,2015,45.2
   Democratic Republic of the Congo,180,2015,51.4
   Equatorial Guinea,226,2015,22.9
   Gabon,266,2015,35.6
   Sao Tome and Principe,678,2015,50.0
   Algeria,12,2015,47.2
   Egypt,818,2015,41.3
   Libya,434,2015,28.8
   Morocco,504,2015,49.8
   Sudan,729,2015,49.7
   Tunisia,788,2015,48.3
   Western Sahara,732,2015,40.9
   Botswana,72,2015,43.1
   Eswatini,748,2015,48.6
   Lesotho,426,2015,45.0
   Namibia,516,2015,46.1
   South Africa,710,2015,45.2
   Benin,204,2015,53.0
   Burkina Faso,854,2015,52.4
   Cabo Verde,132,2015,49.4
   Côte d'Ivoire,384,2015,44.6
   Gambia,270,2015,47.3
   Ghana,288,2015,46.7
   Guinea,324,2015,41.4
   Guinea-Bissau,624,2015,51.5
   Liberia,430,2015,42.8
   Mali,466,2015,49.3
   Mauritania,478,2015,43.5
   Niger,562,2015,52.6
   Nigeria,566,2015,45.1
   Saint Helena*,654,2015,33.4
   Senegal,686,2015,46.9
   Sierra Leone,694,2015,43.8
   Togo,768,2015,49.7
   Kazakhstan,398,2015,50.4
   Kyrgyzstan,417,2015,59.6
   Tajikistan,762,2015,56.9
   Turkmenistan,795,2015,53.4
   Uzbekistan,860,2015,53.4
   China*,156,2015,38.6
"   China, Hong Kong SAR*",344,2015,60.5
"   China, Macao SAR*",446,2015,53.6
"   China, Taiwan Province of China*",158,2015,0.0
   Dem. People's Republic of Korea,408,2015,50.2
   Japan,392,2015,53.0
   Mongolia,496,2015,33.2
   Republic of Korea,410,2015,44.5
   Brunei Darussalam,96,2015,43.4
   Cambodia,116,2015,46.1
   Indonesia,360,2015,41.8
   Lao People's Democratic Republic,418,2015,35.6
   Malaysia*,458,2015,39.2
   Myanmar,104,2015,45.2
   Philippines,608,2015,48.2
   Singapore,702,2015,55.9
   Thailand,764,2015,49.8
   Timor-Leste,626,2015,39.6
   Viet Nam,704,2015,42.1
   Afghanistan,4,2015,49.5
   Bangladesh,50,2015,47.1
   Bhutan,64,2015,15.1
   India,356,2015,52.5
   Iran (Islamic Republic of),364,2015,45.5
   Maldives,462,2015,12.3
   Nepal,524,2015,69.3
   Pakistan,586,2015,47.4
   Sri Lanka,144,2015,47.8
   Armenia,51,2015,59.5
   Azerbaijan*,31,2015,52.1
   Bahrain,48,2015,26.7
   Cyprus*,196,2015,56.2
   Georgia*,268,2015,56.2
   Iraq,368,2015,41.8
   Israel,376,2015,54.6
   Jordan,400,2015,49.6
   Kuwait,414,2015,33.6
   Lebanon,422,2015,51.9
   Oman,512,2015,16.4
   Qatar,634,2015,16.1
   Saudi Arabia,682,2015,30.7
   State of Palestine*,275,2015,54.3
   Syrian Arab Republic,760,2015,48.9
   Turkey,792,2015,45.0
   United Arab Emirates,784,2015,26.3
   Yemen,887,2015,47.5
   Belarus,112,2015,54.2
   Bulgaria,100,2015,51.5
   Czechia,203,2015,42.6
   Hungary,348,2015,50.4
   Poland,616,2015,58.1
   Republic of Moldova*,498,2015,59.1
   Romania,642,2015,47.8
   Russian Federation,643,2015,50.9
   Slovakia,703,2015,49.9
   Ukraine*,804,2015,57.0
   Channel Islands*,830,2015,52.2
   Denmark*,208,2015,51.1
   Estonia,233,2015,58.9
   Faroe Islands*,234,2015,49.3
