,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,International Migrant Stock 2020: Origin,,,,,,,,,,,,,,,,,,,,,
62,  Southern Africa,,913,, 576 752, 604 456, 732 312, 904 614,1 199 813,1 129 951,1 278 435, 350 233, 333 229, 373 117, 456 787, 610 233, 545 606, 628 886, 226 519, 271 227, 359 195, 447 827, 589 580, 584 345, 649 549
63,   Botswana,,72,, 26 048, 23 315, 26 683, 33 281, 44 249, 55 294, 63 561, 19 233, 15 684, 16 140, 19 815, 26 110, 32 477, 39 730, 6 815, 7 631, 10 543, 13 466, 18 139, 22 817, 23 831
64,   Eswatini,,748,, 35 179, 30 340, 34 116, 44 861, 69 030, 46 236, 50 039, 25 589, 19 847, 19 127, 24 643, 37 802, 22 566, 24 339, 9 590, 10 493, 14 989, 20 218, 31 228, 23 670, 25 700
65,   Lesotho,,426,, 191 328, 136 593, 120 565, 159 071, 243 128, 191 457, 202 164, 145 910, 94 102, 67 211, 85 462, 129 955, 86 078, 89 567, 45 418, 42 491, 53 354, 73 609, 113 173, 105 379, 112 597
66,   Namibia,,516,, 16 077, 28 220, 49 348, 65 598, 99 599, 50 410, 47 770, 9 360, 14 974, 24 829, 32 195, 48 854, 25 042, 23 612, 6 717, 13 246, 24 519, 33 403, 50 745, 25 368, 24 158
67,   South Africa,,710,, 308 120, 385 988, 501 600, 601 803, 743 807, 786 554, 914 901, 150 141, 188 622, 245 810, 294 672, 367 512, 379 443, 451 638, 157 979, 197 366, 255 790, 307 131, 376 295, 407 111, 463 263
68,  Western Africa,,914,,5 051 069,6 292 141,6 386 350,7 451 068,8 211 176,9 425 980,10 558 152,2 770 898,3 408 627,3 481 307,4 063 093,4 492 453,5 100 035,5 743 910,2 280 171,2 883 514,2 905 043,3 387 975,3 718 723,4 325 945,4 814 242
69,   Benin,,204,, 234 314, 275 696, 328 046, 504 165, 541 152, 634 923, 681 827, 127 252, 148 769, 174 755, 280 680, 298 194, 341 137, 365 338, 107 062, 126 927, 153 291, 223 485, 242 958, 293 786, 316 489
70,   Burkina Faso,,854,,1 021 331,1 215 665,1 279 414,1 352 292,1 434 528,1 518 568,1 599 347, 573 295, 681 370, 715 933, 757 585, 801 969, 848 841, 894 339, 448 036, 534 295, 563 481, 594 707, 632 559, 669 727, 705 008
71,   Cabo Verde,,132,, 91 363, 106 954, 124 823, 141 984, 152 863, 171 429, 187 558, 42 681, 50 377, 59 328, 66 615, 70 174, 76 690, 85 032, 48 682, 56 577, 65 495, 75 369, 82 689, 94 739, 102 526
72,   Côte d'Ivoire,,384,, 366 336, 449 498, 539 234, 731 962, 939 795,1 056 380,1 149 298, 185 629, 228 580, 271 361, 361 279, 463 697, 520 911, 571 219, 180 707, 220 918, 267 873, 370 683, 476 098, 535 469, 578 079
73,   Gambia,,270,, 36 280, 38 384, 45 427, 61 209, 77 440, 96 963, 139 210, 20 808, 22 147, 26 237, 36 960, 47 865, 60 472, 93 414, 15 472, 16 237, 19 190, 24 249, 29 575, 36 491, 45 796
74,   Ghana,,288,, 371 157, 428 051, 495 887, 665 731, 762 002, 892 253,1 004 324, 187 375, 215 795, 251 580, 355 105, 404 723, 466 166, 529 432, 183 782, 212 256, 244 307, 310 626, 357 279, 426 087, 474 892
75,   Guinea,,324,, 352 763, 365 862, 377 019, 404 677, 455 866, 493 411, 550 790, 201 530, 207 743, 211 832, 228 829, 256 473, 273 042, 312 062, 151 233, 158 119, 165 187, 175 848, 199 393, 220 369, 238 728
76,   Guinea-Bissau,,624,, 55 406, 67 149, 77 664, 82 846, 91 546, 98 151, 111 790, 27 429, 34 138, 42 477, 45 328, 49 210, 51 546, 60 632, 27 977, 33 011, 35 187, 37 518, 42 336, 46 605, 51 158
77,   Liberia,,430,, 516 878, 542 295, 248 412, 354 792, 219 139, 205 741, 233 564, 260 639, 267 590, 123 295, 174 000, 109 053, 102 946, 116 235, 256 239, 274 705, 125 117, 180 792, 110 086, 102 795, 117 329
78,   Mali,,466,, 647 426, 820 564, 772 866, 895 360, 994 832,1 228 544,1 303 511, 360 541, 451 780, 430 246, 504 937, 563 350, 696 316, 742 057, 286 885, 368 784, 342 620, 390 423, 431 482, 532 228, 561 454
79,   Mauritania,,478,, 134 478, 151 710, 107 607, 103 107, 114 192, 114 630, 130 226, 75 167, 85 261, 65 705, 63 798, 71 784, 71 355, 80 059, 59 311, 66 449, 41 902, 39 309, 42 408, 43 275, 50 167
80,   Niger,,562,, 149 777, 177 067, 205 236, 304 086, 335 897, 374 993, 399 707, 94 786, 111 377, 126 966, 183 773, 201 800, 221 615, 236 316, 54 991, 65 690, 78 270, 120 313, 134 097, 153 378, 163 391
81,   Nigeria,,566,, 446 753, 524 535, 610 130, 817 392, 996 914,1 306 526,1 670 455, 255 357, 302 154, 352 560, 440 569, 535 088, 682 707, 877 687, 191 396, 222 381, 257 570, 376 823, 461 826, 623 819, 792 768
82,   Saint Helena*,,654,,  884, 2 207, 3 715, 3 268, 3 607, 4 285, 4 885,  386,  887, 1 468, 1 319, 1 510, 1 731, 1 981,  498, 1 320, 2 247, 1 949, 2 097, 2 554, 2 904
83,   Senegal,,686,, 370 243, 359 061, 394 608, 470 508, 547 495, 594 507, 693 765, 230 817, 221 538, 241 858, 286 672, 344 435, 368 123, 430 442, 139 426, 137 523, 152 750, 183 836, 203 060, 226 384, 263 323
84,   Sierra Leone,,694,, 61 853, 457 827, 509 098, 151 886, 126 730, 139 296, 152 486, 31 967, 230 241, 254 796, 76 684, 62 967, 69 275, 76 143, 29 886, 227 586, 254 302, 75 202, 63 763, 70 021, 76 343
85,   Togo,,768,, 193 827, 309 616, 267 164, 405 803, 417 178, 495 380, 545 409, 95 239, 148 880, 130 910, 198 960, 210 161, 247 162, 271 522, 98 588, 160 736, 136 254, 206 843, 207 017, 248 218, 273 887
86, ASIA,,935,,56 957 000,59 147 922,65 333 613,72 806 043,88 122 177,103 378 019,114 911 484,30 220 434,31 337 811,34 677 458,38 928 847,48 356 859,57 068 023,63 957 509,26 736 566,27 810 111,30 656 155,33 877 196,39 765 318,46 309 996,50 953 975
87,  Central Asia,,5500,,5 719 892,6 159 859,6 462 345,6 918 899,7 232 295,7 428 032,7 835 504,2 757 747,2 978 669,3 122 316,3 372 771,3 558 067,3 640 447,3 807 379,2 962 145,3 181 190,3 340 029,3 546 128,3 674 228,3 787 585,4 028 125
88,   Kazakhstan,,398,,2 971 634,3 295 157,3 554 484,3 717 649,3 797 527,3 885 576,4 203 899,1 427 481,1 557 194,1 652 929,1 736 321,1 778 295,1 810 038,1 934 708,1 544 153,1 737 963,1 901 555,1 981 328,2 019 232,2 075 538,2 269 191
89,   Kyrgyzstan,,417,, 522 574, 550 022, 566 315, 652 852, 726 544, 742 841, 774 377, 252 637, 266 043, 273 034, 315 925, 352 824, 358 754, 368 266, 269 937, 283 979, 293 281, 336 927, 373 720, 384 087, 406 111
90,   Tajikistan,,762,, 537 699, 555 426, 541 183, 586 235, 584 647, 585 060, 586 851, 264 425, 289 709, 299 119, 327 743, 336 574, 334 196, 337 393, 273 274, 265 717, 242 064, 258 492, 248 073, 250 864, 249 458
91,   Turkmenistan,,795,, 260 005, 243 523, 224 398, 231 939, 234 635, 238 531, 242 554, 127 429, 119 518, 109 999, 112 625, 112 615, 113 826, 115 596, 132 576, 124 005, 114 399, 119 314, 122 020, 124 705, 126 958
92,   Uzbekistan,,860,,1 427 980,1 515 731,1 575 965,1 730 224,1 888 942,1 976 024,2 027 823, 685 775, 746 205, 787 235, 880 157, 977 759,1 023 633,1 051 416, 742 205, 769 526, 788 730, 850 067, 911 183, 952 391, 976 407
93,  Eastern Asia,,906,,7 049 024,8 166 675,9 352 688,11 019 974,12 863 294,14 417 725,14 820 004,3 588 473,4 108 628,4 618 538,5 350 635,6 119 053,6 820 704,6 898 164,3 460 551,4 058 047,4 734 150,5 669 339,6 744 241,7 597 021,7 921 840
94,   China*,,156,,4 231 625,5 030 321,5 884 919,7 337 211,8 714 648,10 240 817,10 461 170,2 197 565,2 555 203,2 924 744,3 547 044,4 094 711,4 769 179,4 768 512,2 034 060,2 475 118,2 960 175,3 790 167,4 619 937,5 471 638,5 692 658
95,"   China, Hong Kong SAR*",,344,, 549 125, 617 237, 685 913, 752 476, 862 070, 957 289,1 007 788, 270 896, 303 535, 337 228, 377 171, 439 136, 490 995, 516 106, 278 229, 313 702, 348 685, 375 305, 422 934, 466 294, 491 682
96,"   China, Macao SAR*",,446,, 86 460, 90 097, 94 517, 108 191, 123 599, 133 296, 145 192, 43 362, 45 155, 47 194, 51 712, 56 893, 60 363, 64 597, 43 098, 44 942, 47 323, 56 479, 66 706, 72 933, 80 595
97,"   China, Taiwan Province of China*",,158,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
98,   Dem. People's Republic of Korea,,408,, 39 383, 53 797, 72 350, 86 763, 96 459, 103 898, 110 377, 19 056, 26 480, 35 986, 44 079, 50 274, 54 930, 58 162, 20 327, 27 317, 36 364, 42 684, 46 185, 48 968, 52 215
99,   Japan,,392,, 604 803, 653 293, 708 933, 718 466, 756 792, 764 408, 808 825, 299 099, 319 455, 340 803, 340 784, 352 600, 351 281, 362 930, 305 704, 333 838, 368 130, 377 682, 404 192, 413 127, 445 895
100,   Mongolia,,496,, 24 466, 27 694, 30 648, 42 354, 57 405, 65 485, 82 098, 11 762, 12 872, 13 870, 19 757, 27 393, 30 999, 39 366, 12 704, 14 822, 16 778, 22 597, 30 012, 34 486, 42 732
101,   Republic of Korea,,410,,1 513 162,1 694 236,1 875 408,1 974 513,2 252 321,2 152 532,2 204 554, 746 733, 845 928, 918 713, 970 088,1 098 046,1 062 957,1 088 491, 766 429, 848 308, 956 695,1 004 425,1 154 275,1 089 575,1 116 063
102,  South-Eastern Asia,,920,,7 725 395,9 694 248,12 088 166,14 537 009,18 113 912,20 787 865,23 580 736,3 826 278,4 753 131,5 881 894,7 136 416,9 011 911,10 329 729,11 903 748,3 899 117,4 941 117,6 206 272,7 400 593,9 102 001,10 458 136,11 676 988
103,   Brunei Darussalam,,96,, 26 323, 35 052, 45 242, 45 314, 44 541, 45 110, 45 340, 15 605, 21 035, 27 186, 26 586, 26 048, 26 000, 25 825, 10 718, 14 017, 18 056, 18 728, 18 493, 19 110, 19 515
104,   Cambodia,,116,, 355 428, 418 213, 459 621, 674 436, 953 059,1 074 572,1 104 819, 174 749, 205 878, 223 794, 319 678, 450 385, 505 718, 513 004, 180 679, 212 335, 235 827, 354 758, 502 674, 568 854, 591 815
105,   Indonesia,,360,,1 622 259,1 937 233,2 415 077,2 781 287,3 415 963,4 065 095,4 601 369, 948 258,1 103 287,1 344 276,1 544 224,1 903 542,2 272 231,2 560 770, 674 001, 833 946,1 070 801,1 237 063,1 512 421,1 792 864,2 040 599
