Año,Country Name,Country Code,Crecimiento del PIB (anual %),Tasa de desempleo (%),"Inflación, deflactor PIB (anual %)","Homicidios intencionales (por 100,000 personas)",Muertes por conflicto (nro personas),Control de Corrupción (rango percentil),Emisiones de CO2 (kt),Esperanza de vida al nacer (años),Migración neta,Población total
2000,Saudi Arabia,SAU,5.63%,4.57%,10.95%,0.80,0,50.53,"249,654.8",72.47,"17,241.0","21,547,390.0"
2000,Spain,ESP,5.25%,13.79%,3.33%,1.36,0,89.36,"293,314.3",78.97,"175,213.0","40,567,864.0"
2000,Switzerland,CHE,3.96%,2.66%,1.37%,0.96,0,94.68,"43,708.8",79.68,"24,066.0","7,184,250.0"
2000,Turkiye,TUR,6.93%,6.50%,49.36%,0.00,153,46.81,"216,396.5",71.86,"-77,647.0","64,113,547.0"
2000,United Kingdom,GBR,4.09%,5.56%,1.31%,1.55,0,95.74,"530,888.2",77.74,"161,157.0","58,892,514.0"
2000,United States,USA,4.08%,3.99%,2.27%,5.52,0,92.02,"5,775,807.2",76.64,"1,479,676.0","282,162,411.0"
2000,Afghanistan,AFG,0.00%,8.05%,0.00%,0.00,"5,235",4.79,"1,078.12",55.30,"-1,007,135.0","19,542,982.0"
2000,Albania,ALB,6.95%,19.03%,5.65%,4.12,0,23.94,"3,186.54",75.40,"-63,610.0","3,089,027.0"
2000,Algeria,DZA,3.80%,29.77%,22.68%,0.00,947,16.49,"80,046.8",70.48,"-18,994.0","30,774,621.0"
2000,American Samoa,ASM,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,0.00,"-1,158.0","58,230.0"
2000,Andorra,AND,3.53%,0.00%,28.74%,0.00,0,88.30,523.952,0.00,146.0,"66,097.0"
2000,Angola,AGO,3.05%,4.16%,418.02%,0.00,943,8.51,"16,204.16",46.02,"53,527.0","16,394,062.0"
2000,Antigua and Barbuda,ATG,6.20%,0.00%,1.55%,6.66,0,81.38,312.5,74.61,271.0,"75,055.0"
2000,Armenia,ARM,5.90%,11.05%,-1.37%,2.87,0,25.00,"3,561.0",70.62,"-51,873.0","3,168,523.0"
2000,Aruba,ABW,7.62%,0.00%,1.03%,0.00,0,0.00,0.0,73.57,"1,235.0","89,101.0"
2000,Austria,AUT,3.38%,4.69%,1.36%,1.02,0,92.55,"63,538.6",78.13,"17,531.0","8,011,566.0"
2000,Azerbaijan,AZE,11.10%,11.78%,12.49%,2.76,0,4.26,"27,687.2",64.89,"15,938.0","8,048,600.0"
2000,"Bahamas, The",BHS,4.15%,7.20%,0.92%,22.77,0,86.17,"2,115.3",72.04,843.0,"325,014.0"
2000,Bahrain,BHR,5.30%,1.12%,29.99%,0.00,0,66.49,"15,876.5",75.50,"6,264.0","711,442.0"
2000,Bangladesh,BGD,5.29%,3.27%,3.45%,2.59,0,6.91,"20,686.7",65.78,"-424,718.0","129,193,327.0"
2000,Barbados,BRB,4.45%,9.35%,-1.32%,7.56,0,90.96,"1,188.1",74.09,-833.0,"264,657.0"
2000,Belarus,BLR,5.80%,12.25%,185.29%,9.88,0,38.83,"52,967.5",68.91,"-10,419.0","9,979,610.0"
2000,Belgium,BEL,3.72%,6.59%,2.01%,2.07,0,90.43,"117,274.6",77.72,"32,262.0","10,251,250.0"
2000,Belize,BLZ,13.01%,10.87%,1.29%,17.05,0,56.38,425.2,68.56,"1,678.0","240,406.0"
2000,Benin,BEN,5.86%,0.84%,4.34%,0.00,0,31.38,"1,424.5",56.58,"3,337.0","6,998,023.0"
2000,Bermuda,BMU,9.32%,0.00%,-4.24%,0.00,0,88.30,0.0,78.86,-67.0,"61,833.0"
2000,Bhutan,BTN,3.36%,1.62%,7.35%,3.07,0,71.28,388.84,62.01,"6,069.0","587,207.0"
2000,Bolivia,BOL,2.51%,2.37%,5.20%,0.00,0,40.43,"8,108.1",62.35,"-17,675.0","8,592,656.0"
2000,Bosnia and Herzegovina,BIH,12.77%,26.19%,21.84%,2.37,0,35.11,"13,955.1",74.50,"8,141.0","4,179,350.0"
2000,Botswana,BWA,1.99%,15.88%,14.17%,0.00,0,78.19,"4,033.8",51.01,"7,970.0","1,726,985.0"
2000,British Virgin Islands,VGB,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,73.97,326.0,"20,104.0"
2000,Brunei Darussalam,BRN,2.85%,5.60%,29.02%,1.20,0,65.43,"4,717.9",74.08,"1,660.0","333,926.0"
2000,Bulgaria,BGR,4.59%,16.22%,7.38%,4.10,0,51.06,"43,421.1",71.66,"-11,295.0","8,170,172.0"
2000,Burkina Faso,BFA,1.89%,2.63%,-0.82%,0.00,0,60.11,"1,048.93",50.85,"3,880.0","11,882,888.0"
2000,Burundi,BDI,-0.86%,3.00%,38.94%,0.00,"1,348",26.06,262.6,47.51,"-40,114.0","6,307,659.0"
2000,Cabo Verde,CPV,14.28%,11.11%,-7.90%,0.00,0,84.04,305.8,68.62,"-2,722.0","458,251.0"
2000,Cambodia,KHM,9.99%,0.97%,-4.28%,4.71,0,18.09,"1,963.0",58.62,"-4,248.0","12,118,841.0"
2000,Cameroon,CMR,3.83%,7.59%,1.53%,3.04,0,2.13,"5,209.1",52.93,"-21,221.0","15,091,594.0"
2000,Canada,CAN,5.18%,6.83%,4.34%,1.78,0,95.21,"514,215.1",79.17,"201,617.0","30,685,730.0"
2000,Cayman Islands,CYM,0.00%,0.00%,0.00%,10.09,0,88.30,0.0,0.00,"1,020.0","39,658.0"
2000,Central African Republic,CAF,-2.49%,5.30%,8.51%,0.00,0,7.98,243.2,45.41,"8,082.0","3,759,170.0"
2000,Chad,TCD,-0.88%,0.81%,5.29%,0.00,989,2.66,507.4,47.44,"-3,839.0","8,259,137.0"
2000,Channel Islands,CHI,0.00%,5.90%,0.00%,0.00,0,0.00,0.0,79.16,60.0,"145,306.0"
2000,Chile,CHL,4.97%,10.49%,4.56%,0.00,0,91.49,"50,424.5",76.87,"5,790.0","15,351,799.0"
2000,Colombia,COL,2.92%,20.52%,33.68%,67.68,"1,870",42.55,"58,995.5",71.32,"-31,116.0","39,215,135.0"
2000,Comoros,COM,10.85%,4.66%,-4.46%,0.00,0,18.62,104.9,58.76,"-2,971.0","536,758.0"
2000,"Congo, Dem. Rep.",COD,-6.91%,2.96%,2630.12%,0.00,"1,473",0.53,"1,634.93",51.78,"-48,028.0","48,616,317.0"
2000,"Congo, Rep.",COG,7.58%,19.98%,47.04%,0.00,0,19.68,"4,346.986",53.68,"79,780.0","3,134,030.0"
2000,Costa Rica,CRI,3.87%,5.08%,9.39%,6.26,0,74.47,"4,946.8",77.59,"13,590.0","3,979,193.0"
2000,Cote d'Ivoire,CIV,-0.27%,4.60%,1.60%,0.00,0,28.72,"6,489.4",50.84,"-63,877.0","16,799,670.0"
2000,Croatia,HRV,2.96%,16.06%,4.34%,2.22,0,57.45,"18,034.4",72.81,"-50,791.0","4,468,302.0"
2000,Cuba,CUB,5.91%,5.45%,1.74%,5.29,0,65.96,"28,353.1",76.18,"-24,942.0","11,105,791.0"
2000,Curacao,CUW,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,73.03,"-2,632.0","133,860.0"
2000,Cyprus,CYP,5.97%,4.97%,2.74%,0.84,0,83.51,"7,127.7",76.57,"11,577.0","948,237.0"
2000,Czechia,CZE,4.00%,8.76%,1.84%,1.87,0,60.64,"124,716.7",74.97,"4,195.0","10,255,063.0"
2000,Denmark,DNK,3.75%,4.48%,3.02%,1.09,0,99.47,"52,602.0",76.59,"12,536.0","5,339,616.0"
2000,Djibouti,DJI,0.00%,28.68%,0.00%,0.00,0,34.04,373.4,56.57,"5,627.0","742,033.0"
2000,Dominica,DMA,2.34%,0.00%,-1.78%,2.93,0,81.38,125.3,72.69,-994.0,"68,346.0"
2000,Dominican Republic,DOM,4.66%,6.43%,7.21%,14.17,0,32.45,"18,670.6",69.42,"-30,231.0","8,540,791.0"
2000,Ecuador,ECU,1.09%,4.80%,-7.71%,14.52,0,27.66,"22,051.5",72.84,"-41,899.0","12,626,507.0"
2000,"Egypt, Arab Rep.",EGY,6.37%,8.98%,3.94%,0.00,0,39.36,"114,614.4",68.01,"-2,815.0","71,371,371.0"
2000,El Salvador,SLV,1.13%,6.96%,3.27%,59.60,0,29.79,"5,631.6",69.86,"-97,219.0","5,958,482.0"
2000,Equatorial Guinea,GNQ,18.21%,8.00%,64.74%,0.00,0,6.38,"1,982.3",53.23,"15,352.0","684,977.0"
2000,Eritrea,ERI,-3.14%,5.62%,24.98%,0.00,"1,793",69.15,633.19,56.11,"-33,196.0","2,392,880.0"
2000,Estonia,EST,10.09%,13.36%,3.68%,10.24,0,77.66,"14,932.5",70.42,"-3,230.0","1,396,985.0"
2000,Eswatini,SWZ,1.76%,24.27%,25.34%,12.42,0,55.32,"1,090.6",47.26,"-6,689.0","1,030,496.0"
2000,Ethiopia,ETH,6.07%,3.51%,9.46%,0.00,"48,257",22.34,"3,557.0",50.54,"-49,892.0","67,031,867.0"
2000,Faroe Islands,FRO,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,78.44,332.0,"45,660.0"
2000,Fiji,FJI,-1.70%,4.91%,-4.72%,0.00,0,72.34,836.58,66.31,"-6,081.0","832,509.0"
2000,Finland,FIN,5.77%,11.13%,1.64%,2.86,0,100.00,"55,097.5",77.47,"2,428.0","5,176,209.0"
2000,French Polynesia,PYF,3.25%,11.68%,2.86%,0.00,0,0.00,0.0,79.54,-460.0,"250,927.0"
2000,Gabon,GAB,-1.88%,17.39%,28.09%,0.00,0,35.64,"6,080.0",61.07,"3,086.0","1,272,935.0"
2000,"Gambia, The",GMB,5.50%,8.47%,2.22%,0.00,0,45.21,244.8,56.94,"-3,676.0","1,437,539.0"
2000,Georgia,GEO,1.84%,10.82%,4.68%,5.60,0,13.83,"4,772.8",69.58,"-135,044.0","4,077,131.0"
2000,Ghana,GHA,3.70%,10.46%,27.23%,0.00,0,53.19,"4,949.5",58.20,"-4,208.0","19,665,502.0"
2000,Gibraltar,GIB,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,81.37,-147.0,"27,741.0"
2000,Greece,GRC,3.92%,11.24%,1.59%,0.00,0,72.87,"94,460.6",77.89,"35,798.0","10,805,808.0"
2000,Greenland,GRL,7.10%,0.00%,2.11%,23.14,0,0.00,0.0,66.10,-264.0,"56,200.0"
2000,Grenada,GRD,4.89%,0.00%,2.86%,13.96,0,81.38,198.6,72.78,-586.0,"107,432.0"
2000,Guam,GUM,0.00%,15.32%,0.00%,1.25,0,0.00,0.0,74.42,"-1,566.0","160,188.0"
2000,Guatemala,GTM,3.61%,2.75%,6.83%,24.74,0,25.53,"9,443.3",67.45,"-66,153.0","11,589,761.0"
2000,Guinea,GIN,2.50%,4.59%,6.30%,0.00,217,13.30,"1,494.9",52.48,"-77,558.0","8,336,967.0"
2000,Guinea-Bissau,GNB,5.43%,3.02%,80.90%,0.00,0,21.28,147.0,50.12,"-6,971.0","1,230,849.0"
2000,Guyana,GUY,-1.36%,11.89%,6.59%,10.01,0,42.02,"1,660.3",64.48,"-13,176.0","759,051.0"
2000,Haiti,HTI,0.87%,8.41%,91.38%,0.00,0,7.45,"1,473.3",58.37,"-27,098.0","8,360,225.0"
2000,Honduras,HND,7.29%,3.85%,7.99%,47.71,0,17.55,"4,987.2",68.66,"-10,762.0","6,656,725.0"
2000,"Hong Kong SAR, China",HKG,7.66%,4.92%,-3.39%,0.64,0,85.64,0.0,80.88,"60,719.0","6,665,000.0"
2000,Hungary,HUN,4.48%,6.56%,9.58%,2.01,0,75.53,"54,633.3",71.25,"15,478.0","10,210,971.0"
2000,Iceland,ISL,4.99%,1.94%,4.02%,1.78,0,98.40,"2,225.44",79.65,"1,874.0","281,205.0"
2000,"Iran, Islamic Rep.",IRN,5.85%,11.58%,24.93%,0.00,40,44.15,"340,456.2",69.69,"394,594.0","65,544,383.0"
2000,Iraq,IRQ,16.92%,8.75%,24.61%,0.00,53,0.00,"87,630.5",66.82,"87,624.0","24,628,858.0"
2000,Ireland,IRL,9.40%,4.32%,6.87%,0.98,0,89.89,"42,533.5",76.54,"31,230.0","3,805,174.0"
2000,Isle of Man,IMN,5.30%,0.00%,3.30%,0.00,0,0.00,0.0,74.72,978.0,"75,562.0"
2000,Israel,ISR,8.67%,11.10%,1.96%,2.52,77,82.98,"56,997.3",78.95,"27,257.0","6,289,000.0"
2000,Jamaica,JAM,0.88%,6.96%,10.59%,33.96,0,59.04,"10,071.4",70.94,"-18,500.0","2,612,205.0"
2000,Jordan,JOR,4.25%,13.70%,-0.41%,0.00,0,58.51,"16,268.1",71.92,"-26,074.0","5,056,174.0"
2000,Kazakhstan,KAZ,9.80%,12.75%,17.43%,15.26,0,9.57,"120,151.999",65.45,"-43,423.0","14,883,626.0"
2000,Kenya,KEN,0.60%,3.13%,6.08%,0.00,0,10.11,"8,630.2",54.41,"5,407.0","30,851,606.0"
2000,Kiribati,KIR,6.25%,0.00%,2.03%,3.38,0,0.00,35.5,64.41,-513.0,"88,826.0"
2000,"Korea, Dem. People's Rep.",PRK,0.00%,3.01%,0.00%,0.00,0,3.72,"71,822.9",60.76,"-3,139.0","23,367,059.0"
2000,Kosovo,XKX,0.00%,0.00%,0.00%,0.00,0,67.55,0.0,74.07,"-9,176.0","1,700,000.0"
2000,Kuwait,KWT,4.69%,0.80%,20.52%,0.00,0,70.74,"49,838.2",76.72,"19,193.0","1,934,901.0"
2000,Kyrgyz Republic,KGZ,5.44%,1.98%,27.16%,8.74,174,15.96,"4,643.3",68.56,"-21,139.0","4,898,400.0"
2000,Lao PDR,LAO,5.80%,2.04%,24.80%,0.00,0,31.91,903.07,58.38,"-34,009.0","5,430,853.0"
2000,Latvia,LVA,5.68%,14.21%,3.62%,9.95,0,56.91,"6,929.57",70.31,"-20,514.0","2,367,550.0"
2000,Lebanon,LBN,1.34%,8.32%,-2.09%,0.00,0,41.49,"15,672.8",73.93,455.0,"4,320,642.0"
2000,Lesotho,LSO,3.88%,17.00%,6.30%,0.00,0,52.66,"1,747.5",48.43,"-23,572.0","1,998,630.0"
2000,Liberia,LBR,0.00%,2.12%,0.00%,0.00,57,11.70,425.81,51.36,"-2,060.0","2,895,224.0"
2000,Libya,LBY,3.68%,19.81%,13.31%,0.00,0,24.47,"44,724.9",70.68,"31,970.0","5,154,790.0"
2000,Liechtenstein,LIE,3.22%,0.00%,1.55%,0.00,0,88.30,216.859998,76.83,208.0,"33,026.0"
2000,Lithuania,LTU,3.70%,15.93%,1.30%,10.28,0,67.02,"10,515.9",72.02,"-31,240.0","3,499,536.0"
2000,Luxembourg,LUX,6.94%,2.35%,4.61%,0.92,0,94.15,"8,556.7",77.87,"4,407.0","436,300.0"
2000,"Macao SAR, China",MAC,5.75%,6.87%,-1.75%,2.32,0,68.09,0.0,80.96,"4,134.0","431,896.0"
2000,Madagascar,MDG,4.46%,5.80%,11.57%,0.00,0,40.96,"1,654.02",57.94,485.0,"16,216,431.0"
2000,Malawi,MWI,1.58%,4.92%,30.53%,6.23,0,48.94,875.23,44.52,"-29,032.0","11,229,387.0"
2000,Malaysia,MYS,8.86%,3.00%,8.86%,2.40,0,63.83,"124,355.9",72.78,"174,011.0","22,945,150.0"
2000,Maldives,MDV,3.85%,1.97%,2.03%,0.00,0,47.34,462.2,70.88,133.0,"282,507.0"
2000,Mali,MLI,-0.06%,1.31%,-0.62%,0.00,0,23.40,"1,093.8",50.54,"-17,423.0","11,239,101.0"
2000,Malta,MLT,19.68%,6.32%,-4.51%,1.00,0,81.91,"2,129.2",78.35,"1,799.0","390,087.0"
2000,Marshall Islands,MHL,1.35%,0.00%,-0.45%,0.00,0,0.00,102.8,63.27,"-1,323.0","54,224.0"
2000,Mauritania,MRT,-3.92%,10.05%,6.35%,0.00,0,39.89,"1,118.7",61.03,"-2,997.0","2,695,003.0"
2000,Mauritius,MUS,8.20%,9.14%,3.41%,2.14,0,61.70,"2,431.9",71.66,"-2,522.0","1,186,873.0"
2000,"Micronesia, Fed. Sts.",FSM,4.83%,0.00%,1.08%,0.00,0,0.00,187.3,69.77,"-2,688.0","111,709.0"
2000,Moldova,MDA,2.11%,8.46%,27.33%,10.18,0,34.57,"6,709.6",66.42,"-44,421.0","2,924,668.0"
2000,Monaco,MCO,3.91%,0.00%,1.40%,0.00,0,0.00,0.0,0.00,16.0,"32,465.0"
2000,Mongolia,MNG,1.15%,6.09%,12.00%,0.00,0,46.28,"8,996.67",62.88,"-10,833.0","2,450,979.0"
2000,Montenegro,MNE,3.10%,28.80%,0.00%,0.00,0,51.60,"1,520.843393",73.82,"-4,423.0","604,950.0"
2000,Morocco,MAR,2.58%,13.58%,-1.77%,1.61,0,47.87,"32,876.5",66.79,"-90,376.0","28,554,415.0"
2000,Mozambique,MOZ,1.18%,2.89%,11.50%,0.00,0,37.23,"1,426.9",49.49,"-58,468.0","17,768,505.0"
2000,Myanmar,MMR,12.42%,0.65%,11.03%,2.29,215,1.60,"9,440.5",60.16,"-106,816.0","45,538,332.0"
2000,Namibia,NAM,3.49%,20.30%,11.28%,20.89,57,76.60,"1,942.3",51.99,"5,709.0","1,819,141.0"
2000,Nauru,NRU,0.00%,0.00%,0.00%,0.00,0,0.00,88.0,58.73,-223.0,"10,377.0"
2000,Nepal,NPL,6.20%,10.60%,4.47%,2.59,268,36.70,"3,221.0",62.61,"-147,403.0","24,559,500.0"
2000,New Caledonia,NCL,2.10%,17.48%,5.96%,0.00,0,0.00,0.0,75.16,969.0,"213,230.0"
2000,New Zealand,NZL,2.87%,6.13%,2.88%,1.35,0,97.87,"29,455.0",78.64,"-6,080.0","3,857,700.0"
2000,Nicaragua,NIC,4.10%,7.39%,8.57%,9.29,0,20.74,"3,768.0",67.23,"-42,092.0","5,123,222.0"
2000,Niger,NER,-1.21%,1.52%,3.18%,0.00,0,19.15,660.227,49.32,"-8,533.0","11,622,665.0"
2000,Nigeria,NGA,5.02%,3.85%,22.67%,0.00,0,3.19,"97,215.1",47.19,"34,146.0","122,851,984.0"
2000,North Macedonia,MKD,4.55%,32.20%,8.18%,2.31,0,33.51,"8,522.1",72.95,"5,516.0","2,026,350.0"
2000,Northern Mariana Islands,MNP,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,0.00,"-1,149.0","80,338.0"
2000,Norway,NOR,3.32%,3.46%,15.33%,1.07,0,96.28,"34,283.1",78.63,"9,789.0","4,490,967.0"
2000,Oman,OMN,6.55%,4.07%,17.41%,0.00,0,76.06,"25,115.0",73.47,"-19,889.0","2,344,253.0"
2000,Pakistan,PAK,4.26%,0.61%,38.51%,5.77,59,22.87,"98,374.1",62.10,"940,739.0","154,369,924.0"
2000,Palau,PLW,0.00%,0.00%,0.00%,0.00,0,0.00,211.5,70.49,79.0,"19,726.0"
2000,Panama,PAN,2.72%,6.05%,-1.25%,9.96,0,45.74,"5,282.7",74.00,"2,602.0","3,001,731.0"
2000,Papua New Guinea,PNG,-2.49%,2.92%,13.10%,8.44,0,28.19,"2,825.2",61.72,"41,857.0","5,508,297.0"
2000,Paraguay,PRY,-2.31%,7.61%,14.66%,19.42,0,1.06,"3,524.3",69.75,"-15,880.0","5,123,819.0"
2000,Peru,PER,2.69%,4.90%,3.52%,0.00,0,43.09,"28,634.2",70.42,"-94,554.0","26,654,439.0"
2000,Philippines,PHL,4.38%,3.65%,5.82%,7.36,"1,567",37.77,"71,942.8",69.41,"-122,971.0","77,958,223.0"
2000,Poland,POL,4.56%,16.31%,6.12%,2.22,0,73.40,"295,774.4",73.75,"315,602.0","38,258,629.0"
2000,Portugal,PRT,3.82%,3.81%,3.42%,1.13,0,84.57,"61,661.2",76.31,"63,195.0","10,289,898.0"
2000,Puerto Rico,PRI,3.27%,10.08%,3.30%,19.18,0,81.38,0.0,75.98,"-22,489.0","3,810,605.0"
2000,Qatar,QAT,0.00%,0.84%,0.00%,0.15,0,69.68,"28,666.2",74.83,"22,039.0","645,937.0"
2000,Romania,ROU,2.46%,6.97%,43.18%,2.54,0,38.30,"89,003.1",71.16,"-91,807.0","22,442,971.0"
2000,Rwanda,RWA,8.37%,11.94%,3.28%,0.00,0,30.85,660.52,47.13,"-99,860.0","8,109,989.0"
2000,Samoa,WSM,5.09%,4.66%,2.07%,0.00,0,56.38,148.6,70.75,"-3,020.0","184,008.0"
2000,San Marino,SMR,2.18%,0.00%,2.57%,0.00,0,0.00,0.0,0.00,386.0,"26,823.0"
2000,Sao Tome and Principe,STP,0.00%,14.40%,0.00%,0.00,0,64.89,53.5,61.66,"-2,512.0","143,714.0"
2000,Senegal,SEN,3.89%,5.58%,1.31%,0.00,47,53.72,"4,063.7",56.94,"-42,952.0","9,704,287.0"
2000,Serbia,SRB,6.13%,12.60%,80.99%,2.87,0,9.04,"43,985.4",71.58,"2,082.0","7,516,346.0"
2000,Seychelles,SYC,4.25%,0.00%,1.25%,0.00,0,71.81,293.7,72.78,376.0,"81,131.0"
2000,Sierra Leone,SLE,6.65%,3.42%,3.28%,0.00,382,30.32,333.3,45.05,"83,013.0","4,584,067.0"
2000,Singapore,SGP,9.04%,3.70%,3.86%,1.01,0,97.34,"42,117.5",77.95,"39,387.0","4,027,887.0"
2000,Sint Maarten (Dutch part),SXM,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,74.51,-594.0,"30,519.0"
2000,Slovak Republic,SVK,1.17%,19.06%,9.49%,2.40,0,62.23,"38,072.2",73.05,"-1,135.0","5,388,720.0"
2000,Slovenia,SVN,3.67%,6.92%,5.57%,1.81,0,77.13,"14,541.7",75.41,"-1,562.0","1,988,925.0"
2000,Solomon Islands,SLB,-14.28%,2.11%,5.56%,0.00,0,61.17,235.4,67.22,"-2,137.0","429,978.0"
2000,Somalia,SOM,0.00%,19.40%,0.00%,0.00,0,5.85,486.6,50.66,"53,580.0","8,721,465.0"
2000,South Africa,ZAF,4.20%,20.27%,9.18%,46.48,0,70.21,"284,463.3",58.47,"-80,388.0","46,813,266.0"
2000,South Sudan,SSD,0.00%,12.13%,0.00%,0.00,0,0.00,459.820652,46.03,"74,224.0","6,114,440.0"
2000,Sri Lanka,LKA,6.00%,7.74%,7.28%,0.00,"2,525",50.00,"10,928.9",70.36,"-91,900.0","18,776,371.0"
2000,St. Kitts and Nevis,KNA,10.04%,0.00%,-5.75%,6.60,0,0.00,181.2,69.78,248.0,"45,461.0"
2000,St. Lucia,LCA,0.05%,16.49%,1.12%,14.42,0,0.00,366.8,70.77,-773.0,"159,500.0"
2000,St. Martin (French part),MAF,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,76.66,159.0,"29,610.0"
2000,St. Vincent and the Grenadines,VCT,1.64%,20.96%,7.76%,17.57,0,0.00,155.6,71.38,"-1,618.0","113,813.0"
2000,Sudan,SDN,6.35%,15.28%,9.85%,0.00,"2,841",14.89,"5,690.74",58.32,"-80,698.0","26,298,773.0"
2000,Suriname,SUR,2.10%,12.74%,60.74%,14.20,0,68.62,"1,480.42",65.51,613.0,"478,998.0"
2000,Sweden,SWE,4.77%,5.47%,1.51%,1.08,0,98.94,"53,277.5",79.64,"27,734.0","8,872,109.0"
2000,Syrian Arab Republic,SYR,0.68%,9.60%,9.70%,2.19,0,15.43,"44,401.1",70.76,"-18,458.0","16,307,654.0"
2000,Tajikistan,TJK,8.32%,15.13%,22.63%,4.51,46,5.32,"2,200.97",63.26,"-13,870.0","6,272,998.0"
2000,Tanzania,TZA,4.52%,3.07%,8.20%,0.00,0,27.13,"2,946.4",52.36,"-12,539.0","34,463,704.0"
2000,Thailand,THA,4.46%,2.39%,1.33%,8.15,8,48.40,"168,941.4",72.32,"119,074.0","63,066,603.0"
2000,Timor-Leste,TLS,0.00%,3.45%,0.00%,0.00,0,0.00,0.0,58.57,"-12,665.0","878,360.0"
2000,Togo,TGO,-0.78%,4.06%,10.05%,0.00,0,29.26,"1,269.0",54.74,"4,710.0","5,008,035.0"
2000,Tonga,TON,0.88%,4.10%,5.57%,0.97,0,0.00,102.9,68.98,"-1,617.0","102,603.0"
2000,Trinidad and Tobago,TTO,6.90%,12.10%,12.04%,9.01,0,64.36,"10,204.5",69.10,"-5,185.0","1,332,203.0"
2000,Tunisia,TUN,4.71%,14.94%,3.28%,0.00,0,44.68,"21,068.8",73.69,"-17,475.0","9,893,316.0"
2000,Turkmenistan,TKM,5.47%,11.51%,23.46%,5.84,0,12.77,"38,507.5",65.03,"-9,473.0","4,569,132.0"
2000,Turks and Caicos Islands,TCA,0.00%,0.00%,0.00%,0.00,0,0.00,0.0,73.58,418.0,"18,744.0"
2000,Tuvalu,TUV,-0.97%,0.00%,23.76%,0.00,0,0.00,7.9,63.50,-161.0,"9,638.0"
2000,Uganda,UGA,3.14%,3.55%,11.12%,0.00,364,14.36,"1,297.6",48.34,"-52,834.0","24,020,697.0"
2000,Ukraine,UKR,5.90%,11.71%,27.50%,9.04,0,11.17,"297,376.8",67.68,"-77,752.0","49,176,500.0"
2000,United Arab Emirates,ARE,10.85%,2.25%,11.46%,0.00,0,59.57,"84,729.1",74.38,"131,735.0","3,275,333.0"
2000,Uruguay,URY,-1.93%,12.63%,3.54%,6.50,0,82.45,"5,458.5",75.03,"-11,074.0","3,292,224.0"
2000,Uzbekistan,UZB,3.83%,12.21%,47.29%,4.28,297,12.23,"123,804.5",65.72,"-66,569.0","24,650,400.0"
2000,Vanuatu,VUT,5.92%,1.71%,2.18%,0.00,0,62.77,89.3,68.97,-458.0,"192,074.0"
2000,"Venezuela, RB",VEN,3.69%,13.99%,29.45%,32.84,0,32.98,"131,516.7",72.48,"-2,004.0","24,427,729.0"
2000,Vietnam,VNM,6.79%,2.26%,3.41%,0.00,0,36.17,"51,207.7",72.46,"-150,955.0","79,001,142.0"
