indicator,country,countryiso3code,date,value
Net migration,East Asia & Pacific (excluding high income),EAP,2001,-741424.0
Net migration,East Asia & Pacific (excluding high income),EAP,2000,-721102.0
Net migration,East Asia & Pacific (excluding high income),EAP,1999,-471008.0
Net migration,East Asia & Pacific (excluding high income),EAP,1998,-240276.0
Net migration,East Asia & Pacific (excluding high income),EAP,1997,-331741.0
Net migration,East Asia & Pacific (excluding high income),EAP,1996,-379517.0
Net migration,East Asia & Pacific (excluding high income),EAP,1995,-632961.0
Net migration,East Asia & Pacific (excluding high income),EAP,1994,-496819.0
Net migration,East Asia & Pacific (excluding high income),EAP,1993,-670961.0
Net migration,East Asia & Pacific (excluding high income),EAP,1992,-718315.0
Net migration,East Asia & Pacific (excluding high income),EAP,1991,-858144.0
Net migration,East Asia & Pacific (excluding high income),EAP,1990,-229630.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2020,-113166.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2019,-467301.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2018,-453509.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2017,-217660.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2016,-74506.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2015,-231779.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2014,-469522.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2013,-335553.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2012,-257131.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2011,-265974.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2010,-484312.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2009,-641987.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2008,-798914.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2007,-751099.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2006,-819674.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2005,-879764.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2004,-736557.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2003,-850135.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2002,-741027.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2001,-738769.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,2000,-718186.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1999,-467789.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1998,-236783.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1997,-328211.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1996,-376215.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1995,-630069.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1994,-496492.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1993,-671154.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1992,-718425.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1991,-858079.0
Net migration,East Asia & Pacific (IDA & IBRD countries),TEA,1990,-229559.0
Net migration,Euro area,EMU,2020,790465.0
Net migration,Euro area,EMU,2019,1102506.0
Net migration,Euro area,EMU,2018,1027086.0
Net migration,Euro area,EMU,2017,883333.0
Net migration,Euro area,EMU,2016,781283.0
Net migration,Euro area,EMU,2015,676097.0
Net migration,Euro area,EMU,2014,485170.0
Net migration,Euro area,EMU,2013,367397.0
Net migration,Euro area,EMU,2012,529516.0
Net migration,Euro area,EMU,2011,656121.0
Net migration,Euro area,EMU,2010,731809.0
Net migration,Euro area,EMU,2009,829639.0
Net migration,Euro area,EMU,2008,1287426.0
Net migration,Euro area,EMU,2007,1745258.0
Net migration,Euro area,EMU,2006,1335318.0
Net migration,Euro area,EMU,2005,1305525.0
Net migration,Euro area,EMU,2004,1459457.0
Net migration,Euro area,EMU,2003,1487711.0
Net migration,Euro area,EMU,2002,1305491.0
Net migration,Euro area,EMU,2001,581604.0
Net migration,Euro area,EMU,2000,552337.0
Net migration,Euro area,EMU,1999,541019.0
Net migration,Euro area,EMU,1998,539711.0
Net migration,Euro area,EMU,1997,579964.0
Net migration,Euro area,EMU,1996,623648.0
Net migration,Euro area,EMU,1995,667986.0
Net migration,Euro area,EMU,1994,696092.0
Net migration,Euro area,EMU,1993,763987.0
Net migration,Euro area,EMU,1992,796855.0
Net migration,Euro area,EMU,1991,785488.0
Net migration,Euro area,EMU,1990,592953.0
Net migration,Europe & Central Asia,ECS,2020,1259036.0
Net migration,Europe & Central Asia,ECS,2019,1314636.0
Net migration,Europe & Central Asia,ECS,2018,1142576.0
Net migration,Europe & Central Asia,ECS,2017,1026421.0
Net migration,Europe & Central Asia,ECS,2016,1586627.0
Net migration,Europe & Central Asia,ECS,2015,1514027.0
Net migration,Europe & Central Asia,ECS,2014,1504844.0
Net migration,Europe & Central Asia,ECS,2013,1196323.0
Net migration,Europe & Central Asia,ECS,2012,1315534.0
Net migration,Europe & Central Asia,ECS,2011,1121738.0
Net migration,Europe & Central Asia,ECS,2010,1084683.0
Net migration,Europe & Central Asia,ECS,2009,1275263.0
Net migration,Europe & Central Asia,ECS,2008,1607078.0
Net migration,Europe & Central Asia,ECS,2007,2002467.0
Net migration,Europe & Central Asia,ECS,2006,1518429.0
Net migration,Europe & Central Asia,ECS,2005,1466088.0
Net migration,Europe & Central Asia,ECS,2004,1622028.0
Net migration,Europe & Central Asia,ECS,2003,1644364.0
Net migration,Europe & Central Asia,ECS,2002,1312672.0
Net migration,Europe & Central Asia,ECS,2001,487394.0
Net migration,Europe & Central Asia,ECS,2000,778557.0
Net migration,Europe & Central Asia,ECS,1999,131492.0
Net migration,Europe & Central Asia,ECS,1998,-454077.0
Net migration,Europe & Central Asia,ECS,1997,-87120.0
Net migration,Europe & Central Asia,ECS,1996,113260.0
Net migration,Europe & Central Asia,ECS,1995,253274.0
Net migration,Europe & Central Asia,ECS,1994,-65762.0
Net migration,Europe & Central Asia,ECS,1993,387534.0
Net migration,Europe & Central Asia,ECS,1992,50409.0
Net migration,Europe & Central Asia,ECS,1991,413431.0
Net migration,Europe & Central Asia,ECS,1990,353755.0
Net migration,Europe & Central Asia (excluding high income),ECA,2020,105919.0
Net migration,Europe & Central Asia (excluding high income),ECA,2019,-177605.0
Net migration,Europe & Central Asia (excluding high income),ECA,2018,-234824.0
Net migration,Europe & Central Asia (excluding high income),ECA,2017,-214294.0
Net migration,Europe & Central Asia (excluding high income),ECA,2016,442175.0
Net migration,Europe & Central Asia (excluding high income),ECA,2015,455986.0
Net migration,Europe & Central Asia (excluding high income),ECA,2014,592084.0
Net migration,Europe & Central Asia (excluding high income),ECA,2013,396828.0
Net migration,Europe & Central Asia (excluding high income),ECA,2012,331662.0
Net migration,Europe & Central Asia (excluding high income),ECA,2011,45241.0
Net migration,Europe & Central Asia (excluding high income),ECA,2010,-39193.0
Net migration,Europe & Central Asia (excluding high income),ECA,2009,56929.0
Net migration,Europe & Central Asia (excluding high income),ECA,2008,-50803.0
Net migration,Europe & Central Asia (excluding high income),ECA,2007,-80104.0
Net migration,Europe & Central Asia (excluding high income),ECA,2006,-81288.0
Net migration,Europe & Central Asia (excluding high income),ECA,2005,-96327.0
Net migration,Europe & Central Asia (excluding high income),ECA,2004,-102569.0
Net migration,Europe & Central Asia (excluding high income),ECA,2003,-86606.0
Net migration,Europe & Central Asia (excluding high income),ECA,2002,-208464.0
Net migration,Europe & Central Asia (excluding high income),ECA,2001,-273951.0
Net migration,Europe & Central Asia (excluding high income),ECA,2000,-203529.0
Net migration,Europe & Central Asia (excluding high income),ECA,1999,-489418.0
Net migration,Europe & Central Asia (excluding high income),ECA,1998,-1010553.0
Net migration,Europe & Central Asia (excluding high income),ECA,1997,-642112.0
Net migration,Europe & Central Asia (excluding high income),ECA,1996,-483138.0
Net migration,Europe & Central Asia (excluding high income),ECA,1995,-377596.0
Net migration,Europe & Central Asia (excluding high income),ECA,1994,-799278.0
Net migration,Europe & Central Asia (excluding high income),ECA,1993,-420933.0
Net migration,Europe & Central Asia (excluding high income),ECA,1992,-708012.0
Net migration,Europe & Central Asia (excluding high income),ECA,1991,-380575.0
Net migration,Europe & Central Asia (excluding high income),ECA,1990,-252265.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2020,80824.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2019,-218512.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2018,-314596.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2017,-288666.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2016,362637.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2015,367540.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2014,534556.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2013,343508.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2012,287660.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2011,-23055.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2010,-165825.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2009,-61918.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2008,-212689.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2007,-239236.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2006,-256271.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2005,-251418.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2004,-231899.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2003,-215465.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2002,-343997.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2001,-400386.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,2000,-30525.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1999,-647949.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1998,-1188006.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1997,-821617.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1996,-641143.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1995,-553730.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1994,-889756.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1993,-506483.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1992,-862365.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1991,-505894.0
Net migration,Europe & Central Asia (IDA & IBRD countries),TEC,1990,-339957.0
Net migration,European Union,EUU,2020,872273.0
Net migration,European Union,EUU,2019,1192639.0
Net migration,European Union,EUU,2018,1075197.0
Net migration,European Union,EUU,2017,920207.0
Net migration,European Union,EUU,2016,788042.0
Net migration,European Union,EUU,2015,692113.0
Net migration,European Union,EUU,2014,526035.0
Net migration,European Union,EUU,2013,396229.0
Net migration,European Union,EUU,2012,587283.0
Net migration,European Union,EUU,2011,677777.0
Net migration,European Union,EUU,2010,720366.0
Net migration,European Union,EUU,2009,825168.0
Net migration,European Union,EUU,2008,1231121.0
Net migration,European Union,EUU,2007,1682488.0
Net migration,European Union,EUU,2006,1257909.0
Net migration,European Union,EUU,2005,1238908.0
Net migration,European Union,EUU,2004,1416131.0
Net migration,European Union,EUU,2003,1438983.0
Net migration,European Union,EUU,2002,1235010.0
Net migration,European Union,EUU,2001,519142.0
Net migration,European Union,EUU,2000,773989.0
Net migration,European Union,EUU,1999,428379.0
Net migration,European Union,EUU,1998,406258.0
Net migration,European Union,EUU,1997,442574.0
Net migration,European Union,EUU,1996,504922.0
Net migration,European Union,EUU,1995,529074.0
Net migration,European Union,EUU,1994,640169.0
Net migration,European Union,EUU,1993,709747.0
Net migration,European Union,EUU,1992,670047.0
Net migration,European Union,EUU,1991,683995.0
Net migration,European Union,EUU,1990,516313.0
Net migration,Fragile and conflict affected situations,FCS,2020,-499628.0
Net migration,Fragile and conflict affected situations,FCS,2019,-1468098.0
Net migration,Fragile and conflict affected situations,FCS,2018,-1880351.0
Net migration,Fragile and conflict affected situations,FCS,2017,-2320673.0
Net migration,Fragile and conflict affected situations,FCS,2016,-1474058.0
Net migration,Fragile and conflict affected situations,FCS,2015,-2267617.0
Net migration,Fragile and conflict affected situations,FCS,2014,-1760926.0
Net migration,Fragile and conflict affected situations,FCS,2013,-1094722.0
Net migration,Fragile and conflict affected situations,FCS,2012,-476685.0
Net migration,Fragile and conflict affected situations,FCS,2011,-1207009.0
Net migration,Fragile and conflict affected situations,FCS,2010,-646810.0
Net migration,Fragile and conflict affected situations,FCS,2009,-437243.0
Net migration,Fragile and conflict affected situations,FCS,2008,-314753.0
Net migration,Fragile and conflict affected situations,FCS,2007,-1353998.0
Net migration,Fragile and conflict affected situations,FCS,2006,-862159.0
Net migration,Fragile and conflict affected situations,FCS,2005,-127235.0
Net migration,Fragile and conflict affected situations,FCS,2004,-504508.0
Net migration,Fragile and conflict affected situations,FCS,2003,-56296.0
Net migration,Fragile and conflict affected situations,FCS,2002,819370.0
Net migration,Fragile and conflict affected situations,FCS,2001,-711502.0
Net migration,Fragile and conflict affected situations,FCS,2000,-1459744.0
Net migration,Fragile and conflict affected situations,FCS,1999,-430566.0
Net migration,Fragile and conflict affected situations,FCS,1998,-571381.0
Net migration,Fragile and conflict affected situations,FCS,1997,-1019651.0
Net migration,Fragile and conflict affected situations,FCS,1996,-1428231.0
Net migration,Fragile and conflict affected situations,FCS,1995,-166078.0
Net migration,Fragile and conflict affected situations,FCS,1994,2511170.0
Net migration,Fragile and conflict affected situations,FCS,1993,1332480.0
Net migration,Fragile and conflict affected situations,FCS,1992,1527280.0
Net migration,Fragile and conflict affected situations,FCS,1991,-401812.0
Net migration,Fragile and conflict affected situations,FCS,1990,-1526038.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2020,60641.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2019,-472979.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2018,-243350.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2017,50447.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2016,370860.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2015,-589781.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2014,-34392.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2013,-625153.0
Net migration,Heavily indebted poor countries (HIPC),HPC,2012,-927382.0
