Region,Location code,Year,Numero de Migrantes,Género
   Ukraine*,804,1990,2634670,Hombres
  Northern Europe,924,1990,2959183,Hombres
   Channel Islands*,830,1990,8755,Hombres
   Denmark*,208,1990,91508,Hombres
   Estonia,233,1990,54294,Hombres
   Faroe Islands*,234,1990,2989,Hombres
   Finland*,246,1990,101833,Hombres
   Iceland,352,1990,8613,Hombres
   Ireland,372,1990,413123,Hombres
   Isle of Man*,833,1990,5098,Hombres
   Latvia,428,1990,99917,Hombres
   Lithuania,440,1990,152568,Hombres
   Norway*,578,1990,59772,Hombres
   Sweden,752,1990,87405,Hombres
   United Kingdom*,826,1990,1873308,Hombres
  Southern Europe,925,1990,5425783,Hombres
   Albania,8,1990,109414,Hombres
   Andorra,20,1990,1737,Hombres
   Bosnia and Herzegovina,70,1990,427367,Hombres
   Croatia,191,1990,214109,Hombres
   Gibraltar*,292,1990,5670,Hombres
   Greece,300,1990,533413,Hombres
   Holy See*,336,1990,5,Hombres
   Italy,380,1990,1739388,Hombres
   Malta,470,1990,56490,Hombres
   Montenegro,499,1990,38819,Hombres
   North Macedonia,807,1990,216997,Hombres
   Portugal,620,1990,964178,Hombres
   San Marino,674,1990,568,Hombres
   Serbia*,688,1990,393867,Hombres
   Slovenia,705,1990,39956,Hombres
   Spain*,724,1990,683805,Hombres
  Western Europe,926,1990,2825202,Hombres
   Austria,40,1990,234319,Hombres
   Belgium,56,1990,156482,Hombres
   France*,250,1990,572481,Hombres
   Germany,276,1990,1341083,Hombres
   Liechtenstein,438,1990,1446,Hombres
   Luxembourg,442,1990,18542,Hombres
   Monaco,492,1990,2255,Hombres
   Netherlands*,528,1990,353394,Hombres
   Switzerland,756,1990,145200,Hombres
 LATIN AMERICA AND THE CARIBBEAN,904,1990,7544689,Hombres
  Caribbean,915,1990,1973524,Hombres
   Anguilla*,660,1990,953,Hombres
   Antigua and Barbuda,28,1990,9656,Hombres
   Aruba*,533,1990,2606,Hombres
   Bahamas,44,1990,10606,Hombres
   Barbados,52,1990,40100,Hombres
"   Bonaire, Sint Eustatius and Saba*",535,1990,226,Hombres
   British Virgin Islands*,92,1990,1340,Hombres
   Cayman Islands*,136,1990,187,Hombres
   Cuba,192,1990,399033,Hombres
   Curaçao*,531,1990,1025,Hombres
   Dominica,212,1990,18576,Hombres
   Dominican Republic,214,1990,196168,Hombres
   Grenada,308,1990,19599,Hombres
   Guadeloupe*,312,1990,2558,Hombres
   Haiti,332,1990,292687,Hombres
   Jamaica,388,1990,267945,Hombres
   Martinique*,474,1990,5607,Hombres
   Montserrat*,500,1990,3363,Hombres
   Puerto Rico*,630,1990,574579,Hombres
   Saint Barthélemy*,652,1990,0,Hombres
   Saint Kitts and Nevis,659,1990,8702,Hombres
   Saint Lucia,662,1990,10050,Hombres
   Saint Martin (French part)*,663,1990,0,Hombres
   Saint Vincent and the Grenadines,670,1990,17889,Hombres
   Sint Maarten (Dutch part)*,534,1990,344,Hombres
   Trinidad and Tobago,780,1990,87571,Hombres
   Turks and Caicos Islands*,796,1990,1004,Hombres
   United States Virgin Islands*,850,1990,1150,Hombres
  Central America,916,1990,3539221,Hombres
   Belize,84,1990,15084,Hombres
   Costa Rica,188,1990,29052,Hombres
   El Salvador,222,1990,608473,Hombres
   Guatemala,320,1990,175814,Hombres
   Honduras,340,1990,66801,Hombres
   Mexico,484,1990,2358111,Hombres
   Nicaragua,558,1990,219504,Hombres
   Panama,591,1990,66382,Hombres
  South America,931,1990,2031944,Hombres
   Argentina,32,1990,203580,Hombres
   Bolivia (Plurinational State of),68,1990,115446,Hombres
   Brazil,76,1990,221394,Hombres
   Chile,152,1990,248431,Hombres
   Colombia,170,1990,458639,Hombres
   Ecuador,218,1990,105646,Hombres
   Falkland Islands (Malvinas)*,238,1990,139,Hombres
   French Guiana*,254,1990,1250,Hombres
   Guyana,328,1990,110591,Hombres
   Paraguay,600,1990,131474,Hombres
   Peru,604,1990,149436,Hombres
   Suriname,740,1990,86610,Hombres
   Uruguay,858,1990,116499,Hombres
   Venezuela (Bolivarian Republic of),862,1990,82809,Hombres
 NORTHERN AMERICA,905,1990,1265636,Hombres
   Bermuda*,60,1990,34691,Hombres
   Canada,124,1990,364830,Hombres
   Greenland*,304,1990,3771,Hombres
   Saint Pierre and Miquelon*,666,1990,238,Hombres
   United States of America*,840,1990,862106,Hombres
 OCEANIA ,909,1990,468974,Hombres
  Australia and New Zealand,927,1990,335351,Hombres
   Australia*,36,1990,139236,Hombres
   New Zealand*,554,1990,196115,Hombres
  Melanesia,928,1990,50814,Hombres
   Fiji,242,1990,43626,Hombres
   New Caledonia*,540,1990,1927,Hombres
   Papua New Guinea,598,1990,1570,Hombres
   Solomon Islands,90,1990,1134,Hombres
   Vanuatu,548,1990,2557,Hombres
  Micronesia,954,1990,10467,Hombres
   Guam*,316,1990,693,Hombres
   Kiribati,296,1990,1937,Hombres
   Marshall Islands,584,1990,707,Hombres
   Micronesia (Fed. States of),583,1990,3935,Hombres
   Nauru,520,1990,627,Hombres
   Northern Mariana Islands*,580,1990,1199,Hombres
   Palau,585,1990,1369,Hombres
  Polynesia*,957,1990,72342,Hombres
   American Samoa*,16,1990,1049,Hombres
   Cook Islands*,184,1990,8377,Hombres
   French Polynesia*,258,1990,1583,Hombres
   Niue*,570,1990,2832,Hombres
   Samoa,882,1990,36602,Hombres
   Tokelau*,772,1990,836,Hombres
   Tonga,776,1990,16196,Hombres
   Tuvalu,798,1990,1203,Hombres
   Wallis and Futuna Islands*,876,1990,3664,Hombres
OTHER,2003,1990,4408990,Hombres
WORLD,900,1995,81581501,Hombres
  Sub-Saharan Africa,947,1995,8677806,Hombres
  Northern Africa and Western Asia,1833,1995,9829261,Hombres
  Central and Southern Asia,921,1995,16042463,Hombres
  Eastern and South-Eastern Asia,1832,1995,8861759,Hombres
  Latin America and the Caribbean,1830,1995,9726163,Hombres
  Oceania (excluding Australia and New Zealand),1835,1995,152358,Hombres
  Australia and New Zealand,927,1995,366709,Hombres
  Europe and Northern America,1829,1995,24148758,Hombres
  Developed regions,901,1995,24834922,Hombres
  Less developed regions,902,1995,52970355,Hombres
" Less developed regions, excluding least developed countries",934,1995,37664396,Hombres
" Less developed regions, excluding China",948,1995,50066462,Hombres
  Least developed countries,941,1995,15305959,Hombres
  Land-locked Developing Countries (LLDC),1636,1995,12222604,Hombres
  Small island developing States (SIDS),1637,1995,3085104,Hombres
  High-income countries,1503,1995,17139953,Hombres
  Middle-income countries,1517,1995,50350945,Hombres
 Upper-middle-income countries,1502,1995,25869947,Hombres
 Lower-middle-income countries,1501,1995,24480998,Hombres
  Low-income countries,1500,1995,10185505,Hombres
 AFRICA,903,1995,12073478,Hombres
  Eastern Africa,910,1995,4002246,Hombres
   Burundi,108,1995,277424,Hombres
   Comoros,174,1995,27869,Hombres
   Djibouti,262,1995,3904,Hombres
   Eritrea,232,1995,197413,Hombres
   Ethiopia,231,1995,413014,Hombres
   Kenya,404,1995,135350,Hombres
   Madagascar,450,1995,28611,Hombres
   Malawi,454,1995,88872,Hombres
   Mauritius*,480,1995,51947,Hombres
   Mayotte*,175,1995,1948,Hombres
   Mozambique,508,1995,485263,Hombres
   Réunion*,638,1995,1257,Hombres
   Rwanda,646,1995,1021474,Hombres
   Seychelles,690,1995,13271,Hombres
   Somalia,706,1995,507818,Hombres
   South Sudan,728,1995,233701,Hombres
   Uganda,800,1995,177878,Hombres
   United Republic of Tanzania*,834,1995,119442,Hombres
   Zambia,894,1995,67736,Hombres
   Zimbabwe,716,1995,148054,Hombres
  Middle Africa,911,1995,933704,Hombres
   Angola,24,1995,344763,Hombres
   Cameroon,120,1995,71875,Hombres
   Central African Republic,140,1995,25035,Hombres
   Chad,148,1995,112966,Hombres
   Congo,178,1995,60811,Hombres
   Democratic Republic of the Congo,180,1995,278309,Hombres
   Equatorial Guinea,226,1995,22471,Hombres
   Gabon,266,1995,8323,Hombres
   Sao Tome and Principe,678,1995,9151,Hombres
  Northern Africa,912,1995,3395672,Hombres
   Algeria,12,1995,550210,Hombres
   Egypt,818,1995,950652,Hombres
   Libya,434,1995,40775,Hombres
   Morocco,504,1995,1040375,Hombres
   Sudan,729,1995,439826,Hombres
   Tunisia,788,1995,281972,Hombres
   Western Sahara,732,1995,91862,Hombres
  Southern Africa,913,1995,333229,Hombres
   Botswana,72,1995,15684,Hombres
   Eswatini,748,1995,19847,Hombres
   Lesotho,426,1995,94102,Hombres
   Namibia,516,1995,14974,Hombres
   South Africa,710,1995,188622,Hombres
  Western Africa,914,1995,3408627,Hombres
   Benin,204,1995,148769,Hombres
   Burkina Faso,854,1995,681370,Hombres
   Cabo Verde,132,1995,50377,Hombres
   Côte d'Ivoire,384,1995,228580,Hombres
   Gambia,270,1995,22147,Hombres
   Ghana,288,1995,215795,Hombres
   Guinea,324,1995,207743,Hombres
   Guinea-Bissau,624,1995,34138,Hombres
   Liberia,430,1995,267590,Hombres
   Mali,466,1995,451780,Hombres
   Mauritania,478,1995,85261,Hombres
   Niger,562,1995,111377,Hombres
   Nigeria,566,1995,302154,Hombres
   Saint Helena*,654,1995,887,Hombres
   Senegal,686,1995,221538,Hombres
   Sierra Leone,694,1995,230241,Hombres
   Togo,768,1995,148880,Hombres
 ASIA,935,1995,31337811,Hombres
  Central Asia,5500,1995,2978669,Hombres
   Kazakhstan,398,1995,1557194,Hombres
   Kyrgyzstan,417,1995,266043,Hombres
   Tajikistan,762,1995,289709,Hombres
   Turkmenistan,795,1995,119518,Hombres
   Uzbekistan,860,1995,746205,Hombres
  Eastern Asia,906,1995,4108628,Hombres
   China*,156,1995,2555203,Hombres
"   China, Hong Kong SAR*",344,1995,303535,Hombres
"   China, Macao SAR*",446,1995,45155,Hombres
"   China, Taiwan Province of China*",158,1995,0,Hombres
   Dem. People's Republic of Korea,408,1995,26480,Hombres
   Japan,392,1995,319455,Hombres
   Mongolia,496,1995,12872,Hombres
   Republic of Korea,410,1995,845928,Hombres
  South-Eastern Asia,920,1995,4753131,Hombres
   Brunei Darussalam,96,1995,21035,Hombres
   Cambodia,116,1995,205878,Hombres
   Indonesia,360,1995,1103287,Hombres
   Lao People's Democratic Republic,418,1995,270215,Hombres
   Malaysia*,458,1995,401165,Hombres
   Myanmar,104,1995,494608,Hombres
   Philippines,608,1995,1041934,Hombres
   Singapore,702,1995,79794,Hombres
   Thailand,764,1995,155785,Hombres
   Timor-Leste,626,1995,39834,Hombres
   Viet Nam,704,1995,939596,Hombres
  Southern Asia,5501,1995,13063794,Hombres
   Afghanistan,4,1995,2372554,Hombres
   Bangladesh,50,1995,3161768,Hombres
   Bhutan,64,1995,59851,Hombres
   India,356,1995,4113683,Hombres
   Iran (Islamic Republic of),364,1995,419763,Hombres
   Maldives,462,1995,1215,Hombres
   Nepal,524,1995,453518,Hombres
   Pakistan,586,1995,1993435,Hombres
   Sri Lanka,144,1995,488007,Hombres
  Western Asia,922,1995,6433589,Hombres
   Armenia,51,1995,456359,Hombres
   Azerbaijan*,31,1995,843058,Hombres
   Bahrain,48,1995,13253,Hombres
   Cyprus*,196,1995,83474,Hombres
   Georgia*,268,1995,480830,Hombres
   Iraq,368,1995,411368,Hombres
   Israel,376,1995,144213,Hombres
   Jordan,400,1995,205575,Hombres
   Kuwait,414,1995,55486,Hombres
   Lebanon,422,1995,302457,Hombres
   Oman,512,1995,7228,Hombres
   Qatar,634,1995,6690,Hombres
   Saudi Arabia,682,1995,74204,Hombres
   State of Palestine*,275,1995,1129279,Hombres
   Syrian Arab Republic,760,1995,379174,Hombres
   Turkey,792,1995,1470656,Hombres
   United Arab Emirates,784,1995,57415,Hombres
   Yemen,887,1995,312870,Hombres
 EUROPE,908,1995,22816174,Hombres
  Eastern Europe,923,1995,10857238,Hombres
   Belarus,112,1995,780219,Hombres
   Bulgaria,100,1995,312957,Hombres
   Czechia,203,1995,289839,Hombres
   Hungary,348,1995,201396,Hombres
   Poland,616,1995,792359,Hombres
   Republic of Moldova*,498,1995,297868,Hombres
   Romania,642,1995,459487,Hombres
   Russian Federation,643,1995,4984699,Hombres
   Slovakia,703,1995,95196,Hombres
   Ukraine*,804,1995,2643218,Hombres
  Northern Europe,924,1995,2945625,Hombres
   Channel Islands*,830,1995,7477,Hombres
   Denmark*,208,1995,94661,Hombres
   Estonia,233,1995,60521,Hombres
   Faroe Islands*,234,1995,4113,Hombres
   Finland*,246,1995,116149,Hombres
   Iceland,352,1995,10434,Hombres
   Ireland,372,1995,385333,Hombres
   Isle of Man*,833,1995,4363,Hombres
   Latvia,428,1995,105380,Hombres
   Lithuania,440,1995,150762,Hombres
   Norway*,578,1995,65270,Hombres
   Sweden,752,1995,97040,Hombres
   United Kingdom*,826,1995,1844122,Hombres
  Southern Europe,925,1995,6028232,Hombres
   Albania,8,1995,281966,Hombres
   Andorra,20,1995,1939,Hombres
   Bosnia and Herzegovina,70,1995,668720,Hombres
   Croatia,191,1995,362947,Hombres
   Gibraltar*,292,1995,4889,Hombres
   Greece,300,1995,520579,Hombres
   Holy See*,336,1995,17,Hombres
   Italy,380,1995,1663871,Hombres
   Malta,470,1995,55524,Hombres
   Montenegro,499,1995,70517,Hombres
   North Macedonia,807,1995,245834,Hombres
   Portugal,620,1995,986469,Hombres
   San Marino,674,1995,1132,Hombres
   Serbia*,688,1995,480918,Hombres
   Slovenia,705,1995,47496,Hombres
   Spain*,724,1995,635414,Hombres
  Western Europe,926,1995,2985079,Hombres
   Austria,40,1995,227962,Hombres
   Belgium,56,1995,161376,Hombres
   France*,250,1995,645393,Hombres
   Germany,276,1995,1413344,Hombres
   Liechtenstein,438,1995,1304,Hombres
   Luxembourg,442,1995,19240,Hombres
   Monaco,492,1995,2388,Hombres
   Netherlands*,528,1995,361252,Hombres
   Switzerland,756,1995,152820,Hombres
 LATIN AMERICA AND THE CARIBBEAN,904,1995,9726163,Hombres
  Caribbean,915,1995,2347284,Hombres
   Anguilla*,660,1995,1116,Hombres
   Antigua and Barbuda,28,1995,12194,Hombres
   Aruba*,533,1995,2966,Hombres
   Bahamas,44,1995,12598,Hombres
   Barbados,52,1995,42423,Hombres
"   Bonaire, Sint Eustatius and Saba*",535,1995,274,Hombres
   British Virgin Islands*,92,1995,1462,Hombres
   Cayman Islands*,136,1995,363,Hombres
   Cuba,192,1995,445646,Hombres
   Curaçao*,531,1995,1410,Hombres
   Dominica,212,1995,20399,Hombres
   Dominican Republic,214,1995,283859,Hombres
   Grenada,308,1995,24526,Hombres
   Guadeloupe*,312,1995,2893,Hombres
   Haiti,332,1995,361848,Hombres
   Jamaica,388,1995,324401,Hombres
   Martinique*,474,1995,6043,Hombres
   Montserrat*,500,1995,5193,Hombres
   Puerto Rico*,630,1995,637593,Hombres
   Saint Barthélemy*,652,1995,0,Hombres
   Saint Kitts and Nevis,659,1995,11466,Hombres
   Saint Lucia,662,1995,13822,Hombres
   Saint Martin (French part)*,663,1995,0,Hombres
   Saint Vincent and the Grenadines,670,1995,22245,Hombres
   Sint Maarten (Dutch part)*,534,1995,446,Hombres
   Trinidad and Tobago,780,1995,109768,Hombres
   Turks and Caicos Islands*,796,1995,679,Hombres
   United States Virgin Islands*,850,1995,1651,Hombres
  Central America,916,1995,4886482,Hombres
   Belize,84,1995,17640,Hombres
   Costa Rica,188,1995,35626,Hombres
   El Salvador,222,1995,463004,Hombres
   Guatemala,320,1995,234806,Hombres
   Honduras,340,1995,106313,Hombres
   Mexico,484,1995,3746874,Hombres
   Nicaragua,558,1995,216401,Hombres
   Panama,591,1995,65818,Hombres
  South America,931,1995,2492397,Hombres
   Argentina,32,1995,230267,Hombres
   Bolivia (Plurinational State of),68,1995,144466,Hombres
   Brazil,76,1995,323017,Hombres
   Chile,152,1995,245982,Hombres
   Colombia,170,1995,556126,Hombres
   Ecuador,218,1995,159665,Hombres
   Falkland Islands (Malvinas)*,238,1995,336,Hombres
   French Guiana*,254,1995,1390,Hombres
   Guyana,328,1995,139840,Hombres
   Paraguay,600,1995,147026,Hombres
   Peru,604,1995,231433,Hombres
   Suriname,740,1995,91317,Hombres
   Uruguay,858,1995,114568,Hombres
   Venezuela (Bolivarian Republic of),862,1995,106964,Hombres
 NORTHERN AMERICA,905,1995,1332584,Hombres
   Bermuda*,60,1995,20705,Hombres
   Canada,124,1995,393811,Hombres
   Greenland*,304,1995,4552,Hombres
   Saint Pierre and Miquelon*,666,1995,246,Hombres
   United States of America*,840,1995,913270,Hombres
 OCEANIA ,909,1995,519067,Hombres
  Australia and New Zealand,927,1995,366709,Hombres
   Australia*,36,1995,157264,Hombres
   New Zealand*,554,1995,209445,Hombres
  Melanesia,928,1995,59221,Hombres
   Fiji,242,1995,50855,Hombres
   New Caledonia*,540,1995,2134,Hombres
   Papua New Guinea,598,1995,2035,Hombres
   Solomon Islands,90,1995,1281,Hombres
   Vanuatu,548,1995,2916,Hombres
  Micronesia,954,1995,14456,Hombres
   Guam*,316,1995,851,Hombres
   Kiribati,296,1995,2033,Hombres
   Marshall Islands,584,1995,2080,Hombres
   Micronesia (Fed. States of),583,1995,6150,Hombres
   Nauru,520,1995,698,Hombres
   Northern Mariana Islands*,580,1995,1274,Hombres
   Palau,585,1995,1370,Hombres
  Polynesia*,957,1995,78681,Hombres
   American Samoa*,16,1995,1365,Hombres
   Cook Islands*,184,1995,8149,Hombres
   French Polynesia*,258,1995,1868,Hombres
   Niue*,570,1995,2648,Hombres
   Samoa,882,1995,39841,Hombres
   Tokelau*,772,1995,900,Hombres
   Tonga,776,1995,18815,Hombres
   Tuvalu,798,1995,1380,Hombres
   Wallis and Futuna Islands*,876,1995,3715,Hombres
OTHER,2003,1995,3776224,Hombres
WORLD,900,2000,87719833,Hombres
  Sub-Saharan Africa,947,2000,8246575,Hombres
  Northern Africa and Western Asia,1833,2000,10736407,Hombres
  Central and Southern Asia,921,2000,17179372,Hombres
  Eastern and South-Eastern Asia,1832,2000,10500432,Hombres
  Latin America and the Caribbean,1830,2000,12182539,Hombres
  Oceania (excluding Australia and New Zealand),1835,2000,183319,Hombres
  Australia and New Zealand,927,2000,421127,Hombres
  Europe and Northern America,1829,2000,24676104,Hombres
  Developed regions,901,2000,25438034,Hombres
  Less developed regions,902,2000,58687841,Hombres
" Less developed regions, excluding least developed countries",934,2000,43328634,Hombres
" Less developed regions, excluding China",948,2000,55378675,Hombres
  Least developed countries,941,2000,15359207,Hombres
  Land-locked Developing Countries (LLDC),1636,2000,11981487,Hombres
  Small island developing States (SIDS),1637,2000,3608507,Hombres
  High-income countries,1503,2000,18150941,Hombres
  Middle-income countries,1517,2000,56045764,Hombres
 Upper-middle-income countries,1502,2000,29121527,Hombres
 Lower-middle-income countries,1501,2000,26924237,Hombres
  Low-income countries,1500,2000,9794758,Hombres
 AFRICA,903,2000,11985328,Hombres
  Eastern Africa,910,2000,3167304,Hombres
   Burundi,108,2000,388445,Hombres
   Comoros,174,2000,36958,Hombres
   Djibouti,262,2000,5201,Hombres
   Eritrea,232,2000,255453,Hombres
   Ethiopia,231,2000,239365,Hombres
   Kenya,404,2000,154208,Hombres
   Madagascar,450,2000,32318,Hombres
   Malawi,454,2000,110217,Hombres
   Mauritius*,480,2000,53306,Hombres
   Mayotte*,175,2000,2976,Hombres
   Mozambique,508,2000,391190,Hombres
   Réunion*,638,2000,1057,Hombres
   Rwanda,646,2000,157926,Hombres
   Seychelles,690,2000,8747,Hombres
   Somalia,706,2000,517690,Hombres
   South Sudan,728,2000,190326,Hombres
   Uganda,800,2000,254464,Hombres
   United Republic of Tanzania*,834,2000,108653,Hombres
   Zambia,894,2000,77129,Hombres
   Zimbabwe,716,2000,181675,Hombres
  Middle Africa,911,2000,1224847,Hombres
   Angola,24,2000,457876,Hombres
   Cameroon,120,2000,85099,Hombres
   Central African Republic,140,2000,27493,Hombres
   Chad,148,2000,107494,Hombres
   Congo,178,2000,70562,Hombres
   Democratic Republic of the Congo,180,2000,426558,Hombres
   Equatorial Guinea,226,2000,28899,Hombres
   Gabon,266,2000,8985,Hombres
   Sao Tome and Principe,678,2000,11881,Hombres
  Northern Africa,912,2000,3738753,Hombres
   Algeria,12,2000,580303,Hombres
   Egypt,818,2000,1105517,Hombres
   Libya,434,2000,42647,Hombres
   Morocco,504,2000,1134308,Hombres
   Sudan,729,2000,502757,Hombres
   Tunisia,788,2000,282149,Hombres
   Western Sahara,732,2000,91072,Hombres
  Southern Africa,913,2000,373117,Hombres
   Botswana,72,2000,16140,Hombres
   Eswatini,748,2000,19127,Hombres
   Lesotho,426,2000,67211,Hombres
   Namibia,516,2000,24829,Hombres
   South Africa,710,2000,245810,Hombres
  Western Africa,914,2000,3481307,Hombres
   Benin,204,2000,174755,Hombres
   Burkina Faso,854,2000,715933,Hombres
   Cabo Verde,132,2000,59328,Hombres
   Côte d'Ivoire,384,2000,271361,Hombres
   Gambia,270,2000,26237,Hombres
   Ghana,288,2000,251580,Hombres
   Guinea,324,2000,211832,Hombres
   Guinea-Bissau,624,2000,42477,Hombres
   Liberia,430,2000,123295,Hombres
   Mali,466,2000,430246,Hombres
   Mauritania,478,2000,65705,Hombres
   Niger,562,2000,126966,Hombres
   Nigeria,566,2000,352560,Hombres
   Saint Helena*,654,2000,1468,Hombres
