Region,Notes,Location code,Type of data,Year,Tasa de Cambio Anual,Género
   Benin,0,204,C B R,1990-1995,6.4,Combinado
   Burkina Faso,0,854,B R,1990-1995,5.7,Combinado
   Cabo Verde,0,132,B R,1990-1995,2.2,Combinado
   Côte d'Ivoire,0,384,C B R,1990-1995,2.7,Combinado
   Gambia,0,270,B R,1990-1995,4.9,Combinado
   Ghana,0,288,B R,1990-1995,8.6,Combinado
   Guinea,0,324,C B R,1990-1995,13.0,Combinado
   Guinea-Bissau,0,624,B R,1990-1995,12.0,Combinado
   Liberia,0,430,B R,1990-1995,15.7,Combinado
   Mali,0,466,B R,1990-1995,1.8,Combinado
   Mauritania,0,478,C R,1990-1995,-4.4,Combinado
   Niger,0,562,B R,1990-1995,4.7,Combinado
   Nigeria,0,566,C R,1990-1995,0.3,Combinado
   Saint Helena*,4.0,654,C,1990-1995,-8.4,Combinado
   Senegal,0,686,B R,1990-1995,1.2,Combinado
   Sierra Leone,0,694,B R,1990-1995,-16.3,Combinado
   Togo,0,768,C R,1990-1995,3.6,Combinado
   Kazakhstan,0,398,B R,1990-1995,-2.1,Combinado
   Kyrgyzstan,0,417,B R,1990-1995,-3.7,Combinado
   Tajikistan,0,762,B R,1990-1995,-4.2,Combinado
   Turkmenistan,0,795,B R,1990-1995,-2.3,Combinado
   Uzbekistan,0,860,B R,1990-1995,-1.8,Combinado
   China*,0,156,C,1990-1995,3.2,Combinado
"   China, Hong Kong SAR*",0,344,B R,1990-1995,1.9,Combinado
"   China, Macao SAR*",0,446,B,1990-1995,1.9,Combinado
"   China, Taiwan Province of China*",0,158,0,1990-1995,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,1990-1995,0.6,Combinado
   Japan,0,392,C,1990-1995,4.7,Combinado
   Mongolia,0,496,C R,1990-1995,2.0,Combinado
   Republic of Korea,0,410,C R,1990-1995,21.0,Combinado
   Brunei Darussalam,0,96,B,1990-1995,2.9,Combinado
   Cambodia,0,116,B R,1990-1995,17.5,Combinado
   Indonesia,0,360,B R,1990-1995,-4.1,Combinado
   Lao People's Democratic Republic,0,418,C R,1990-1995,0.6,Combinado
   Malaysia*,0,458,C R,1990-1995,6.0,Combinado
   Myanmar,0,104,C,1990-1995,-3.2,Combinado
   Philippines,0,608,C R,1990-1995,5.9,Combinado
   Singapore,0,702,B,1990-1995,6.2,Combinado
   Thailand,0,764,B R,1990-1995,8.5,Combinado
   Timor-Leste,0,626,B R,1990-1995,1.7,Combinado
   Viet Nam,0,704,C R,1990-1995,12.0,Combinado
   Afghanistan,0,4,B R,1990-1995,4.3,Combinado
   Bangladesh,0,50,B R,1990-1995,1.2,Combinado
   Bhutan,0,64,B,1990-1995,3.2,Combinado
   India,0,356,B R,1990-1995,-1.8,Combinado
   Iran (Islamic Republic of),0,364,C R,1990-1995,-7.6,Combinado
   Maldives,0,462,C,1990-1995,15.1,Combinado
   Nepal,0,524,B R,1990-1995,9.5,Combinado
   Pakistan,0,586,B R,1990-1995,-10.5,Combinado
   Sri Lanka,0,144,B R,1990-1995,-0.3,Combinado
   Armenia,0,51,B R,1990-1995,1.0,Combinado
   Azerbaijan*,0,31,B R,1990-1995,-0.9,Combinado
   Bahrain,0,48,C R,1990-1995,3.5,Combinado
   Cyprus*,0,196,B,1990-1995,6.9,Combinado
   Georgia*,0,268,B R,1990-1995,-13.9,Combinado
   Iraq,0,368,C R,1990-1995,17.4,Combinado
   Israel,0,376,B R,1990-1995,1.9,Combinado
   Jordan,0,400,C R,1990-1995,5.9,Combinado
   Kuwait,0,414,C R,1990-1995,-3.1,Combinado
   Lebanon,0,422,B R,1990-1995,3.0,Combinado
   Oman,0,512,C R,1990-1995,11.5,Combinado
   Qatar,0,634,C,1990-1995,3.1,Combinado
   Saudi Arabia,0,682,C R,1990-1995,0.5,Combinado
   State of Palestine*,5.0,275,B,1990-1995,-0.5,Combinado
   Syrian Arab Republic,0,760,C R,1990-1995,3.0,Combinado
   Turkey,0,792,B R,1990-1995,0.9,Combinado
   United Arab Emirates,0,784,C R,1990-1995,6.7,Combinado
   Yemen,0,887,C R,1990-1995,2.8,Combinado
   Belarus,0,112,B,1990-1995,-1.0,Combinado
   Bulgaria,0,100,B,1990-1995,8.2,Combinado
   Czechia,0,203,C,1990-1995,8.1,Combinado
   Hungary,0,348,B,1990-1995,-1.5,Combinado
   Poland,0,616,B,1990-1995,-3.1,Combinado
   Republic of Moldova*,0,498,B,1990-1995,-7.9,Combinado
   Romania,0,642,B,1990-1995,-0.1,Combinado
   Russian Federation,0,643,B,1990-1995,0.7,Combinado
   Slovakia,0,703,B,1990-1995,10.4,Combinado
   Ukraine*,0,804,B,1990-1995,-2.2,Combinado
   Channel Islands*,6.0,830,B,1990-1995,-0.4,Combinado
   Denmark*,7.0,208,B,1990-1995,5.1,Combinado
   Estonia,0,233,B,1990-1995,-3.8,Combinado
   Faroe Islands*,8.0,234,B,1990-1995,-7.8,Combinado
   Finland*,0,246,B,1990-1995,9.1,Combinado
   Iceland,0,352,B,1990-1995,5.7,Combinado
   Ireland,0,372,B,1990-1995,-0.1,Combinado
   Isle of Man*,9.0,833,B,1990-1995,1.2,Combinado
   Latvia,0,428,B,1990-1995,-3.7,Combinado
   Lithuania,0,440,B,1990-1995,-4.9,Combinado
   Norway*,0,578,B,1990-1995,3.8,Combinado
   Sweden,0,752,B,1990-1995,3.4,Combinado
   United Kingdom*,10.0,826,B,1990-1995,2.6,Combinado
   Albania,0,8,B,1990-1995,1.6,Combinado
   Andorra,0,20,C,1990-1995,2.6,Combinado
   Bosnia and Herzegovina,0,70,I R,1990-1995,4.3,Combinado
   Croatia,0,191,B,1990-1995,7.0,Combinado
   Gibraltar*,11.0,292,B,1990-1995,-0.8,Combinado
   Greece,0,300,B,1990-1995,6.6,Combinado
   Holy See*,0,336,I,1990-1995,0.4,Combinado
   Italy,0,380,B,1990-1995,4.3,Combinado
   Malta,0,470,B,1990-1995,3.3,Combinado
   Montenegro,0,499,B,1990-1995,0.0,Combinado
   North Macedonia,0,807,B,1990-1995,2.8,Combinado
   Portugal,0,620,B,1990-1995,4.0,Combinado
   San Marino,0,674,C,1990-1995,2.0,Combinado
   Serbia*,0,688,B,1990-1995,43.4,Combinado
   Slovenia,0,705,B,1990-1995,-0.4,Combinado
   Spain*,0,724,B,1990-1995,4.3,Combinado
   Austria,0,40,B,1990-1995,2.4,Combinado
   Belgium,0,56,B,1990-1995,0.1,Combinado
   France*,12.0,250,B,1990-1995,0.6,Combinado
   Germany,0,276,B,1990-1995,4.6,Combinado
   Liechtenstein,0,438,B,1990-1995,4.0,Combinado
   Luxembourg,0,442,B,1990-1995,2.1,Combinado
   Monaco,0,492,B,1990-1995,0.7,Combinado
   Netherlands*,13.0,528,B,1990-1995,2.6,Combinado
   Switzerland,0,756,B,1990-1995,1.2,Combinado
   Anguilla*,14.0,660,B R,1990-1995,5.1,Combinado
   Antigua and Barbuda,0,28,B R,1990-1995,7.6,Combinado
   Aruba*,15.0,533,B R,1990-1995,8.7,Combinado
   Bahamas,0,44,B R,1990-1995,3.3,Combinado
   Barbados,0,52,B R,1990-1995,1.8,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,1990-1995,3.0,Combinado
   British Virgin Islands*,18.0,92,B R,1990-1995,4.5,Combinado
   Cayman Islands*,19.0,136,C R,1990-1995,6.1,Combinado
   Cuba,0,192,B,1990-1995,-5.5,Combinado
   Curaçao*,20.0,531,B R,1990-1995,0.0,Combinado
   Dominica,0,212,B,1990-1995,4.3,Combinado
   Dominican Republic,0,214,B R,1990-1995,2.1,Combinado
   Grenada,0,308,B,1990-1995,5.3,Combinado
   Guadeloupe*,21.0,312,B,1990-1995,2.5,Combinado
   Haiti,0,332,B R,1990-1995,-1.0,Combinado
   Jamaica,0,388,B R,1990-1995,2.1,Combinado
   Martinique*,22.0,474,B R,1990-1995,3.7,Combinado
   Montserrat*,23.0,500,B,1990-1995,-4.4,Combinado
   Puerto Rico*,24.0,630,B,1990-1995,1.0,Combinado
   Saint Barthélemy*,0,652,0,1990-1995,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,1990-1995,5.6,Combinado
   Saint Lucia,0,662,B R,1990-1995,6.0,Combinado
   Saint Martin (French part)*,0,663,0,1990-1995,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,1990-1995,0.8,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,1990-1995,0.0,Combinado
   Trinidad and Tobago,0,780,B R,1990-1995,-1.9,Combinado
   Turks and Caicos Islands*,26.0,796,B R,1990-1995,6.6,Combinado
   United States Virgin Islands*,27.0,850,B,1990-1995,0.9,Combinado
   Belize,0,84,B R ,1990-1995,1.9,Combinado
   Costa Rica,0,188,B R,1990-1995,-2.7,Combinado
   El Salvador,0,222,B R,1990-1995,-3.6,Combinado
   Guatemala,0,320,B R,1990-1995,-10.5,Combinado
   Honduras,0,340,B R,1990-1995,-11.9,Combinado
   Mexico,0,484,B R,1990-1995,-8.3,Combinado
   Nicaragua,0,558,B R,1990-1995,-8.8,Combinado
   Panama,0,591,B R,1990-1995,2.4,Combinado
   Argentina,0,32,B R,1990-1995,-0.7,Combinado
   Bolivia (Plurinational State of),0,68,B R,1990-1995,2.5,Combinado
   Brazil,0,76,B R,1990-1995,-1.5,Combinado
   Chile,0,152,B,1990-1995,5.6,Combinado
   Colombia,0,170,B,1990-1995,0.5,Combinado
   Ecuador,0,218,B R,1990-1995,7.6,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,1990-1995,0.3,Combinado
   French Guiana*,29.0,254,B R,1990-1995,2.0,Combinado
   Guyana,0,328,B R,1990-1995,8.8,Combinado
   Paraguay,0,600,B R,1990-1995,-1.0,Combinado
   Peru,0,604,B R,1990-1995,0.0,Combinado
   Suriname,0,740,C R,1990-1995,4.2,Combinado
   Uruguay,0,858,B R,1990-1995,-1.0,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,1990-1995,-0.1,Combinado
   Bermuda*,30.0,60,B,1990-1995,1.2,Combinado
   Canada,0,124,B,1990-1995,2.3,Combinado
   Greenland*,31.0,304,B,1990-1995,-5.3,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,1990-1995,3.7,Combinado
   United States of America*,33.0,840,B,1990-1995,4.0,Combinado
   Australia*,0,36,B,1990-1995,1.0,Combinado
   New Zealand*,34.0,554,B,1990-1995,2.6,Combinado
   Fiji,0,242,B R,1990-1995,-0.4,Combinado
   New Caledonia*,0,540,B,1990-1995,3.0,Combinado
   Papua New Guinea,0,598,C R,1990-1995,-0.1,Combinado
   Solomon Islands,0,90,B R,1990-1995,-0.2,Combinado
   Vanuatu,0,548,B R,1990-1995,1.3,Combinado
   Guam*,35.0,316,B,1990-1995,0.6,Combinado
   Kiribati,0,296,B,1990-1995,0.6,Combinado
   Marshall Islands,0,584,B,1990-1995,4.9,Combinado
   Micronesia (Fed. States of),0,583,B,1990-1995,-2.0,Combinado
   Nauru,0,520,C R,1990-1995,-1.6,Combinado
   Northern Mariana Islands*,36.0,580,B,1990-1995,3.9,Combinado
   Palau,0,585,B,1990-1995,10.6,Combinado
  Polynesia*,0,957,0,1990-1995,2.1,Combinado
   American Samoa*,0,16,B,1990-1995,1.6,Combinado
   Cook Islands*,37.0,184,B R,1990-1995,0.8,Combinado
   French Polynesia*,38.0,258,B R,1990-1995,1.9,Combinado
   Niue*,39.0,570,B,1990-1995,0.8,Combinado
   Samoa,0,882,B R,1990-1995,6.7,Combinado
   Tokelau*,40.0,772,B R,1990-1995,6.8,Combinado
   Tonga,0,776,B R,1990-1995,2.4,Combinado
   Tuvalu,0,798,C,1990-1995,-3.8,Combinado
   Wallis and Futuna Islands*,41.0,876,B R,1990-1995,3.9,Combinado
   Burundi,0,108,B R,1995-2000,-14.1,Combinado
   Comoros,0,174,B,1995-2000,-0.2,Combinado
   Djibouti,0,262,B R,1995-2000,0.1,Combinado
   Eritrea,0,232,I R,1995-2000,0.9,Combinado
   Ethiopia,0,231,B R,1995-2000,-5.5,Combinado
   Kenya,0,404,B R,1995-2000,2.7,Combinado
   Madagascar,0,450,C R,1995-2000,2.1,Combinado
   Malawi,0,454,B R,1995-2000,-0.8,Combinado
   Mauritius*,0,480,C,1995-2000,14.6,Combinado
   Mayotte*,1.0,175,B R,1995-2000,10.9,Combinado
   Mozambique,0,508,B R,1995-2000,3.0,Combinado
   Réunion*,2.0,638,B,1995-2000,5.3,Combinado
   Rwanda,0,646,B R,1995-2000,9.5,Combinado
   Seychelles,0,690,B,1995-2000,4.9,Combinado
   Somalia,0,706,I R,1995-2000,0.6,Combinado
   South Sudan,0,728,B R,1995-2000,0.0,Combinado
   Uganda,0,800,B R,1995-2000,-0.8,Combinado
   United Republic of Tanzania*,0,834,B R,1995-2000,-3.1,Combinado
   Zambia,0,894,B R,1995-2000,6.8,Combinado
   Zimbabwe,0,716,B R,1995-2000,-1.0,Combinado
   Angola,0,24,B R,1995-2000,2.9,Combinado
   Cameroon,0,120,B R,1995-2000,-1.5,Combinado
   Central African Republic,0,140,C R,1995-2000,4.3,Combinado
   Chad,0,148,B R,1995-2000,3.1,Combinado
   Congo,0,178,B R,1995-2000,9.4,Combinado
   Democratic Republic of the Congo,0,180,B R,1995-2000,-17.8,Combinado
   Equatorial Guinea,0,226,C,1995-2000,4.4,Combinado
   Gabon,0,266,C R,1995-2000,4.5,Combinado
   Sao Tome and Principe,0,678,C,1995-2000,-2.5,Combinado
   Algeria,0,12,B R,1995-2000,-0.9,Combinado
   Egypt,0,818,B R,1995-2000,2.0,Combinado
   Libya,0,434,C R,1995-2000,2.2,Combinado
   Morocco,0,504,C R,1995-2000,1.0,Combinado
   Sudan,3.0,729,B R,1995-2000,-5.4,Combinado
   Tunisia,0,788,C R,1995-2000,-0.6,Combinado
   Western Sahara,0,732,I,1995-2000,1.9,Combinado
   Botswana,0,72,B R,1995-2000,12.5,Combinado
   Eswatini,0,748,B R,1995-2000,-0.6,Combinado
   Lesotho,0,426,C R,1995-2000,-3.1,Combinado
   Namibia,0,516,B R,1995-2000,3.2,Combinado
   Benin,0,204,C B R,1995-2000,4.8,Combinado
   Burkina Faso,0,854,B R,1995-2000,2.3,Combinado
   Cabo Verde,0,132,B R,1995-2000,2.0,Combinado
   Côte d'Ivoire,0,384,C B R,1995-2000,0.8,Combinado
   Gambia,0,270,B R,1995-2000,3.8,Combinado
   Ghana,0,288,B R,1995-2000,-5.5,Combinado
   Guinea,0,324,C B R,1995-2000,-6.5,Combinado
   Guinea-Bissau,0,624,B R,1995-2000,-6.3,Combinado
   Liberia,0,430,B R,1995-2000,-6.3,Combinado
   Mali,0,466,B R,1995-2000,1.5,Combinado
   Mauritania,0,478,C R,1995-2000,-8.9,Combinado
   Niger,0,562,B R,1995-2000,-3.5,Combinado
   Nigeria,0,566,C R,1995-2000,1.0,Combinado
   Saint Helena*,4.0,654,C,1995-2000,-1.6,Combinado
   Senegal,0,686,B R,1995-2000,-4.3,Combinado
   Sierra Leone,0,694,B R,1995-2000,-0.1,Combinado
   Togo,0,768,C R,1995-2000,6.1,Combinado
   Kazakhstan,0,398,B R,1995-2000,-2.5,Combinado
   Kyrgyzstan,0,417,B R,1995-2000,-5.7,Combinado
   Tajikistan,0,762,B R,1995-2000,-3.0,Combinado
   Turkmenistan,0,795,B R,1995-2000,-4.4,Combinado
   Uzbekistan,0,860,B R,1995-2000,-1.5,Combinado
   China*,0,156,C,1995-2000,2.8,Combinado
"   China, Hong Kong SAR*",0,344,B R,1995-2000,1.8,Combinado
"   China, Macao SAR*",0,446,B,1995-2000,1.4,Combinado
"   China, Taiwan Province of China*",0,158,0,1995-2000,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,1995-2000,0.6,Combinado
   Japan,0,392,C,1995-2000,4.3,Combinado
   Mongolia,0,496,C R,1995-2000,2.0,Combinado
   Republic of Korea,0,410,C R,1995-2000,13.6,Combinado
   Brunei Darussalam,0,96,B,1995-2000,2.6,Combinado
   Cambodia,0,116,B R,1995-2000,9.2,Combinado
   Indonesia,0,360,B R,1995-2000,-5.2,Combinado
   Lao People's Democratic Republic,0,418,C R,1995-2000,-1.4,Combinado
   Malaysia*,0,458,C R,1995-2000,8.9,Combinado
   Myanmar,0,104,C,1995-2000,-3.0,Combinado
   Philippines,0,608,C R,1995-2000,8.6,Combinado
   Singapore,0,702,B,1995-2000,6.2,Combinado
   Thailand,0,764,B R,1995-2000,8.8,Combinado
   Timor-Leste,0,626,B R,1995-2000,1.7,Combinado
   Viet Nam,0,704,C R,1995-2000,2.0,Combinado
   Afghanistan,0,4,B R,1995-2000,1.2,Combinado
   Bangladesh,0,50,B R,1995-2000,1.1,Combinado
   Bhutan,0,64,B,1995-2000,2.8,Combinado
   India,0,356,B R,1995-2000,-1.6,Combinado
   Iran (Islamic Republic of),0,364,C R,1995-2000,-3.4,Combinado
   Maldives,0,462,C,1995-2000,7.6,Combinado
   Nepal,0,524,B R,1995-2000,0.8,Combinado
   Pakistan,0,586,B R,1995-2000,2.6,Combinado
   Sri Lanka,0,144,B R,1995-2000,-0.4,Combinado
   Armenia,0,51,B R,1995-2000,-1.1,Combinado
   Azerbaijan*,0,31,B R,1995-2000,-1.0,Combinado
   Bahrain,0,48,C R,1995-2000,3.0,Combinado
   Cyprus*,0,196,B,1995-2000,5.1,Combinado
   Georgia*,0,268,B R,1995-2000,-13.9,Combinado
   Iraq,0,368,C R,1995-2000,1.1,Combinado
   Israel,0,376,B R,1995-2000,0.6,Combinado
   Jordan,0,400,C R,1995-2000,4.5,Combinado
   Kuwait,0,414,C R,1995-2000,4.0,Combinado
   Lebanon,0,422,B R,1995-2000,2.6,Combinado
   Oman,0,512,C R,1995-2000,2.9,Combinado
   Qatar,0,634,C,1995-2000,-0.1,Combinado
   Saudi Arabia,0,682,C R,1995-2000,0.5,Combinado
   State of Palestine*,5.0,275,B,1995-2000,-0.5,Combinado
   Syrian Arab Republic,0,760,C R,1995-2000,0.1,Combinado
   Turkey,0,792,B R,1995-2000,1.0,Combinado
   United Arab Emirates,0,784,C R,1995-2000,5.9,Combinado
   Yemen,0,887,C R,1995-2000,1.2,Combinado
   Belarus,0,112,B,1995-2000,-1.1,Combinado
   Bulgaria,0,100,B,1995-2000,5.8,Combinado
   Czechia,0,203,C,1995-2000,5.8,Combinado
   Hungary,0,348,B,1995-2000,-1.6,Combinado
   Poland,0,616,B,1995-2000,-3.1,Combinado
   Republic of Moldova*,0,498,B,1995-2000,-7.9,Combinado
   Romania,0,642,B,1995-2000,-0.1,Combinado
   Russian Federation,0,643,B,1995-2000,0.0,Combinado
   Slovakia,0,703,B,1995-2000,10.4,Combinado
   Ukraine*,0,804,B,1995-2000,-2.2,Combinado
   Channel Islands*,6.0,830,B,1995-2000,1.2,Combinado
   Denmark*,7.0,208,B,1995-2000,4.0,Combinado
   Estonia,0,233,B,1995-2000,-4.7,Combinado
   Faroe Islands*,8.0,234,B,1995-2000,4.3,Combinado
   Finland*,0,246,B,1995-2000,6.2,Combinado
   Iceland,0,352,B,1995-2000,4.4,Combinado
   Ireland,0,372,B,1995-2000,8.7,Combinado
   Isle of Man*,9.0,833,B,1995-2000,1.1,Combinado
   Latvia,0,428,B,1995-2000,-4.5,Combinado
   Lithuania,0,440,B,1995-2000,-4.9,Combinado
   Norway*,0,578,B,1995-2000,4.5,Combinado
   Sweden,0,752,B,1995-2000,1.4,Combinado
   United Kingdom*,10.0,826,B,1995-2000,2.6,Combinado
   Albania,0,8,B,1995-2000,1.4,Combinado
   Andorra,0,20,C,1995-2000,-1.0,Combinado
   Bosnia and Herzegovina,0,70,I R,1995-2000,3.5,Combinado
   Croatia,0,191,B,1995-2000,-2.8,Combinado
   Gibraltar*,11.0,292,B,1995-2000,-0.8,Combinado
   Greece,0,300,B,1995-2000,5.2,Combinado
   Holy See*,0,336,I,1995-2000,0.3,Combinado
   Italy,0,380,B,1995-2000,3.6,Combinado
   Malta,0,470,B,1995-2000,3.9,Combinado
   Montenegro,0,499,B,1995-2000,0.0,Combinado
   North Macedonia,0,807,B,1995-2000,2.8,Combinado
   Portugal,0,620,B,1995-2000,4.0,Combinado
   San Marino,0,674,C,1995-2000,2.0,Combinado
   Serbia*,0,688,B,1995-2000,2.3,Combinado
   Slovenia,0,705,B,1995-2000,4.1,Combinado
   Spain*,0,724,B,1995-2000,9.7,Combinado
   Austria,0,40,B,1995-2000,2.2,Combinado
   Belgium,0,56,B,1995-2000,-0.3,Combinado
   France*,12.0,250,B,1995-2000,0.6,Combinado
   Germany,0,276,B,1995-2000,3.7,Combinado
   Liechtenstein,0,438,B,1995-2000,3.0,Combinado
   Luxembourg,0,442,B,1995-2000,2.1,Combinado
   Monaco,0,492,B,1995-2000,0.7,Combinado
   Netherlands*,13.0,528,B,1995-2000,2.9,Combinado
   Switzerland,0,756,B,1995-2000,1.2,Combinado
   Anguilla*,14.0,660,B R,1995-2000,4.1,Combinado
   Antigua and Barbuda,0,28,B R,1995-2000,5.5,Combinado
   Aruba*,15.0,533,B R,1995-2000,6.0,Combinado
   Bahamas,0,44,B R,1995-2000,2.8,Combinado
   Barbados,0,52,B R,1995-2000,1.6,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,1995-2000,-1.0,Combinado
   British Virgin Islands*,18.0,92,B R,1995-2000,5.1,Combinado
   Cayman Islands*,19.0,136,C R,1995-2000,8.3,Combinado
   Cuba,0,192,B,1995-2000,-6.9,Combinado
   Curaçao*,20.0,531,B R,1995-2000,0.0,Combinado
   Dominica,0,212,B,1995-2000,3.5,Combinado
   Dominican Republic,0,214,B R,1995-2000,1.9,Combinado
   Grenada,0,308,B,1995-2000,4.2,Combinado
   Guadeloupe*,21.0,312,B,1995-2000,2.2,Combinado
   Haiti,0,332,B R,1995-2000,-1.0,Combinado
   Jamaica,0,388,B R,1995-2000,1.9,Combinado
   Martinique*,22.0,474,B R,1995-2000,3.1,Combinado
   Montserrat*,23.0,500,B,1995-2000,-5.7,Combinado
   Puerto Rico*,24.0,630,B,1995-2000,1.0,Combinado
   Saint Barthélemy*,0,652,0,1995-2000,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,1995-2000,6.5,Combinado
   Saint Lucia,0,662,B R,1995-2000,6.4,Combinado
   Saint Martin (French part)*,0,663,0,1995-2000,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,1995-2000,0.8,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,1995-2000,0.0,Combinado
   Trinidad and Tobago,0,780,B R,1995-2000,-1.9,Combinado
   Turks and Caicos Islands*,26.0,796,B R,1995-2000,4.9,Combinado
   United States Virgin Islands*,27.0,850,B,1995-2000,0.9,Combinado
   Belize,0,84,B R ,1995-2000,1.7,Combinado
   Costa Rica,0,188,B R,1995-2000,-3.2,Combinado
   El Salvador,0,222,B R,1995-2000,-4.4,Combinado
   Guatemala,0,320,B R,1995-2000,-23.5,Combinado
   Honduras,0,340,B R,1995-2000,-33.2,Combinado
   Mexico,0,484,B R,1995-2000,3.2,Combinado
   Nicaragua,0,558,B R,1995-2000,2.6,Combinado
   Panama,0,591,B R,1995-2000,3.3,Combinado
   Argentina,0,32,B R,1995-2000,-0.7,Combinado
   Bolivia (Plurinational State of),0,68,B R,1995-2000,2.1,Combinado
   Brazil,0,76,B R,1995-2000,-1.6,Combinado
   Chile,0,152,B,1995-2000,4.4,Combinado
   Colombia,0,170,B,1995-2000,0.5,Combinado
   Ecuador,0,218,B R,1995-2000,5.5,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,1995-2000,4.1,Combinado
   French Guiana*,29.0,254,B R,1995-2000,1.8,Combinado
   Guyana,0,328,B R,1995-2000,6.1,Combinado
   Paraguay,0,600,B R,1995-2000,-1.1,Combinado
   Peru,0,604,B R,1995-2000,3.1,Combinado
   Suriname,0,740,C R,1995-2000,4.2,Combinado
   Uruguay,0,858,B R,1995-2000,-1.0,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,1995-2000,-0.1,Combinado
   Bermuda*,30.0,60,B,1995-2000,1.2,Combinado
   Canada,0,124,B,1995-2000,2.5,Combinado
   Greenland*,31.0,304,B,1995-2000,-1.5,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,1995-2000,2.0,Combinado
   United States of America*,33.0,840,B,1995-2000,4.0,Combinado
   Australia*,0,36,B,1995-2000,1.1,Combinado
   New Zealand*,34.0,554,B,1995-2000,2.9,Combinado
   Fiji,0,242,B R,1995-2000,-0.4,Combinado
   New Caledonia*,0,540,B,1995-2000,2.6,Combinado
   Papua New Guinea,0,598,C R,1995-2000,-4.9,Combinado
   Solomon Islands,0,90,B R,1995-2000,-1.0,Combinado
   Vanuatu,0,548,B R,1995-2000,1.3,Combinado
   Guam*,35.0,316,B,1995-2000,0.6,Combinado
   Kiribati,0,296,B,1995-2000,0.5,Combinado
   Marshall Islands,0,584,B,1995-2000,4.9,Combinado
   Micronesia (Fed. States of),0,583,B,1995-2000,-1.4,Combinado
   Nauru,0,520,C R,1995-2000,-1.7,Combinado
   Northern Mariana Islands*,36.0,580,B,1995-2000,4.3,Combinado
   Palau,0,585,B,1995-2000,5.7,Combinado
  Polynesia*,0,957,0,1995-2000,1.8,Combinado
   American Samoa*,0,16,B,1995-2000,1.5,Combinado
