Region,Notes,Location code,Type of data,Year,Tasa de Cambio Anual,Género
   Uruguay,0.0,858,B R,1990-1995.1,-1.10%,Hombres
   Venezuela (Bolivarian Republic of),0.0,862,B R,1990-1995.1,-0.20%,Hombres
   Bermuda*,30.0,60,B,1990-1995.1,1.20%,Hombres
   Canada,0.0,124,B,1990-1995.1,2.20%,Hombres
   Greenland*,31.0,304,B,1990-1995.1,-5.70%,Hombres
   Saint Pierre and Miquelon*,32.0,666,B,1990-1995.1,3.90%,Hombres
   United States of America*,33.0,840,B,1990-1995.1,4.20%,Hombres
   Australia*,0.0,36,B,1990-1995.1,0.80%,Hombres
   New Zealand*,34.0,554,B,1990-1995.1,2.30%,Hombres
   Fiji,0.0,242,B R,1990-1995.1,-0.40%,Hombres
   New Caledonia*,0.0,540,B,1990-1995.1,2.70%,Hombres
   Papua New Guinea,0.0,598,C R,1990-1995.1,0.50%,Hombres
   Solomon Islands,0.0,90,B R,1990-1995.1,-0.20%,Hombres
   Vanuatu,0.0,548,B R,1990-1995.1,0.40%,Hombres
   Guam*,35.0,316,B,1990-1995.1,-0.30%,Hombres
   Kiribati,0.0,296,B,1990-1995.1,0.60%,Hombres
   Marshall Islands,0.0,584,B,1990-1995.1,4.80%,Hombres
   Micronesia (Fed. States of),0.0,583,B,1990-1995.1,0.20%,Hombres
   Nauru,0.0,520,C R,1990-1995.1,-1.50%,Hombres
   Northern Mariana Islands*,36.0,580,B,1990-1995.1,2.10%,Hombres
   Palau,0.0,585,B,1990-1995.1,8.90%,Hombres
   American Samoa*,0.0,16,B,1990-1995.1,1.50%,Hombres
   Cook Islands*,37.0,184,B R,1990-1995.1,0.70%,Hombres
   French Polynesia*,38.0,258,B R,1990-1995.1,1.60%,Hombres
   Niue*,39.0,570,B,1990-1995.1,1.00%,Hombres
   Samoa,0.0,882,B R,1990-1995.1,6.50%,Hombres
   Tokelau*,40.0,772,B R,1990-1995.1,6.30%,Hombres
   Tonga,0.0,776,B R,1990-1995.1,2.90%,Hombres
   Tuvalu,0.0,798,C,1990-1995.1,-3.90%,Hombres
   Wallis and Futuna Islands*,41.0,876,B R,1990-1995.1,3.70%,Hombres
   Burundi,0.0,108,B R,1995-2000.1,-14.20%,Hombres
   Comoros,0.0,174,B,1995-2000.1,-0.30%,Hombres
   Djibouti,0.0,262,B R,1995-2000.1,0.20%,Hombres
   Eritrea,0.0,232,I R,1995-2000.1,0.90%,Hombres
   Ethiopia,0.0,231,B R,1995-2000.1,-5.50%,Hombres
   Kenya,0.0,404,B R,1995-2000.1,1.80%,Hombres
   Madagascar,0.0,450,C R,1995-2000.1,2.20%,Hombres
   Malawi,0.0,454,B R,1995-2000.1,-0.80%,Hombres
   Mauritius*,0.0,480,C,1995-2000.1,11.40%,Hombres
   Mayotte*,1.0,175,B R,1995-2000.1,9.50%,Hombres
   Mozambique,0.0,508,B R,1995-2000.1,2.50%,Hombres
   Réunion*,2.0,638,B,1995-2000.1,5.00%,Hombres
   Rwanda,0.0,646,B R,1995-2000.1,9.40%,Hombres
   Seychelles,0.0,690,B,1995-2000.1,4.80%,Hombres
   Somalia,0.0,706,I R,1995-2000.1,0.70%,Hombres
   South Sudan,0.0,728,B R,1995-2000.1,0.00%,Hombres
   Uganda,0.0,800,B R,1995-2000.1,-1.20%,Hombres
   United Republic of Tanzania*,0.0,834,B R,1995-2000.1,-2.50%,Hombres
   Zambia,0.0,894,B R,1995-2000.1,6.70%,Hombres
   Zimbabwe,0.0,716,B R,1995-2000.1,-1.00%,Hombres
   Angola,0.0,24,B R,1995-2000.1,2.40%,Hombres
   Cameroon,0.0,120,B R,1995-2000.1,-1.50%,Hombres
   Central African Republic,0.0,140,C R,1995-2000.1,4.30%,Hombres
   Chad,0.0,148,B R,1995-2000.1,3.10%,Hombres
   Congo,0.0,178,B R,1995-2000.1,9.40%,Hombres
   Democratic Republic of the Congo,0.0,180,B R,1995-2000.1,-18.10%,Hombres
   Equatorial Guinea,0.0,226,C,1995-2000.1,4.30%,Hombres
   Gabon,0.0,266,C R,1995-2000.1,4.60%,Hombres
   Sao Tome and Principe,0.0,678,C,1995-2000.1,-2.80%,Hombres
   Algeria,0.0,12,B R,1995-2000.1,-0.90%,Hombres
   Egypt,0.0,818,B R,1995-2000.1,2.10%,Hombres
   Libya,0.0,434,C R,1995-2000.1,4.10%,Hombres
   Morocco,0.0,504,C R,1995-2000.1,0.70%,Hombres
   Sudan,3.0,729,B R,1995-2000.1,-5.20%,Hombres
   Tunisia,0.0,788,C R,1995-2000.1,-0.40%,Hombres
   Western Sahara,0.0,732,I,1995-2000.1,2.10%,Hombres
   Botswana,0.0,72,B R,1995-2000.1,12.50%,Hombres
   Eswatini,0.0,748,B R,1995-2000.1,-0.90%,Hombres
   Lesotho,0.0,426,C R,1995-2000.1,-2.80%,Hombres
   Namibia,0.0,516,B R,1995-2000.1,3.50%,Hombres
   South Africa,0.0,710,B R,1995-2000.1,-0.10%,Hombres
   Benin,0.0,204,C B R,1995-2000.1,5.00%,Hombres
   Burkina Faso,0.0,854,B R,1995-2000.1,2.30%,Hombres
   Cabo Verde,0.0,132,B R,1995-2000.1,2.40%,Hombres
   Côte d'Ivoire,0.0,384,C B R,1995-2000.1,0.80%,Hombres
   Gambia,0.0,270,B R,1995-2000.1,3.40%,Hombres
   Ghana,0.0,288,B R,1995-2000.1,-5.40%,Hombres
   Guinea,0.0,324,C B R,1995-2000.1,-6.50%,Hombres
   Guinea-Bissau,0.0,624,B R,1995-2000.1,-6.20%,Hombres
   Liberia,0.0,430,B R,1995-2000.1,-6.10%,Hombres
   Mali,0.0,466,B R,1995-2000.1,1.50%,Hombres
   Mauritania,0.0,478,C R,1995-2000.1,-8.20%,Hombres
   Niger,0.0,562,B R,1995-2000.1,-3.60%,Hombres
   Nigeria,0.0,566,C R,1995-2000.1,0.90%,Hombres
   Saint Helena*,4.0,654,C,1995-2000.1,-2.80%,Hombres
   Senegal,0.0,686,B R,1995-2000.1,-3.80%,Hombres
   Sierra Leone,0.0,694,B R,1995-2000.1,-0.60%,Hombres
   Togo,0.0,768,C R,1995-2000.1,6.20%,Hombres
   Kazakhstan,0.0,398,B R,1995-2000.1,-2.50%,Hombres
   Kyrgyzstan,0.0,417,B R,1995-2000.1,-5.70%,Hombres
   Tajikistan,0.0,762,B R,1995-2000.1,-2.90%,Hombres
   Turkmenistan,0.0,795,B R,1995-2000.1,-5.00%,Hombres
   Uzbekistan,0.0,860,B R,1995-2000.1,-1.60%,Hombres
   China*,0.0,156,C,1995-2000.1,2.60%,Hombres
"   China, Hong Kong SAR*",0.0,344,B R,1995-2000.1,0.80%,Hombres
"   China, Macao SAR*",0.0,446,B,1995-2000.1,1.10%,Hombres
   Dem. People's Republic of Korea,0.0,408,I,1995-2000.1,0.20%,Hombres
   Japan,0.0,392,C,1995-2000.1,3.20%,Hombres
   Mongolia,0.0,496,C R,1995-2000.1,2.80%,Hombres
   Republic of Korea,0.0,410,C R,1995-2000.1,14.10%,Hombres
   Brunei Darussalam,0.0,96,B,1995-2000.1,2.40%,Hombres
   Cambodia,0.0,116,B R,1995-2000.1,9.10%,Hombres
   Indonesia,0.0,360,B R,1995-2000.1,-4.50%,Hombres
   Lao People's Democratic Republic,0.0,418,C R,1995-2000.1,-1.10%,Hombres
   Malaysia*,0.0,458,C R,1995-2000.1,8.60%,Hombres
   Myanmar,0.0,104,C,1995-2000.1,-3.30%,Hombres
   Philippines,0.0,608,C R,1995-2000.1,8.20%,Hombres
   Singapore,0.0,702,B,1995-2000.1,5.50%,Hombres
   Thailand,0.0,764,B R,1995-2000.1,8.40%,Hombres
   Timor-Leste,0.0,626,B R,1995-2000.1,1.30%,Hombres
   Viet Nam,0.0,704,C R,1995-2000.1,3.00%,Hombres
   Afghanistan,0.0,4,B R,1995-2000.1,1.80%,Hombres
   Bangladesh,0.0,50,B R,1995-2000.1,1.10%,Hombres
   Bhutan,0.0,64,B,1995-2000.1,2.80%,Hombres
   India,0.0,356,B R,1995-2000.1,-1.80%,Hombres
   Iran (Islamic Republic of),0.0,364,C R,1995-2000.1,-3.30%,Hombres
   Maldives,0.0,462,C,1995-2000.1,9.60%,Hombres
   Nepal,0.0,524,B R,1995-2000.1,2.20%,Hombres
   Pakistan,0.0,586,B R,1995-2000.1,2.80%,Hombres
   Sri Lanka,0.0,144,B R,1995-2000.1,-0.60%,Hombres
   Armenia,0.0,51,B R,1995-2000.1,-1.10%,Hombres
   Azerbaijan*,0.0,31,B R,1995-2000.1,-1.10%,Hombres
   Bahrain,0.0,48,C R,1995-2000.1,2.70%,Hombres
   Cyprus*,0.0,196,B,1995-2000.1,4.60%,Hombres
   Georgia*,0.0,268,B R,1995-2000.1,-13.90%,Hombres
   Iraq,0.0,368,C R,1995-2000.1,1.00%,Hombres
   Israel,0.0,376,B R,1995-2000.1,0.60%,Hombres
   Jordan,0.0,400,C R,1995-2000.1,4.50%,Hombres
   Kuwait,0.0,414,C R,1995-2000.1,5.10%,Hombres
   Lebanon,0.0,422,B R,1995-2000.1,2.60%,Hombres
   Oman,0.0,512,C R,1995-2000.1,3.10%,Hombres
   Qatar,0.0,634,C,1995-2000.1,0.30%,Hombres
   Saudi Arabia,0.0,682,C R,1995-2000.1,0.60%,Hombres
   State of Palestine*,5.0,275,B,1995-2000.1,-0.60%,Hombres
   Syrian Arab Republic,0.0,760,C R,1995-2000.1,0.20%,Hombres
   Turkey,0.0,792,B R,1995-2000.1,0.70%,Hombres
   United Arab Emirates,0.0,784,C R,1995-2000.1,5.90%,Hombres
   Yemen,0.0,887,C R,1995-2000.1,0.70%,Hombres
   Belarus,0.0,112,B,1995-2000.1,-1.10%,Hombres
   Bulgaria,0.0,100,B,1995-2000.1,5.80%,Hombres
   Czechia,0.0,203,C,1995-2000.1,6.00%,Hombres
   Hungary,0.0,348,B,1995-2000.1,-1.30%,Hombres
   Poland,0.0,616,B,1995-2000.1,-3.60%,Hombres
   Republic of Moldova*,0.0,498,B,1995-2000.1,-8.60%,Hombres
   Romania,0.0,642,B,1995-2000.1,0.90%,Hombres
   Russian Federation,0.0,643,B,1995-2000.1,0.20%,Hombres
   Slovakia,0.0,703,B,1995-2000.1,10.40%,Hombres
   Ukraine*,0.0,804,B,1995-2000.1,-2.20%,Hombres
   Channel Islands*,6.0,830,B,1995-2000.1,1.20%,Hombres
   Denmark*,7.0,208,B,1995-2000.1,4.00%,Hombres
   Estonia,0.0,233,B,1995-2000.1,-6.00%,Hombres
   Faroe Islands*,8.0,234,B,1995-2000.1,4.00%,Hombres
   Finland*,0.0,246,B,1995-2000.1,6.20%,Hombres
   Iceland,0.0,352,B,1995-2000.1,4.60%,Hombres
   Ireland,0.0,372,B,1995-2000.1,9.40%,Hombres
   Isle of Man*,9.0,833,B,1995-2000.1,1.30%,Hombres
   Latvia,0.0,428,B,1995-2000.1,-5.50%,Hombres
   Lithuania,0.0,440,B,1995-2000.1,-4.90%,Hombres
   Norway*,0.0,578,B,1995-2000.1,4.20%,Hombres
   Sweden,0.0,752,B,1995-2000.1,1.30%,Hombres
   United Kingdom*,10.0,826,B,1995-2000.1,2.40%,Hombres
   Albania,0.0,8,B,1995-2000.1,1.60%,Hombres
   Andorra,0.0,20,C,1995-2000.1,-1.30%,Hombres
   Bosnia and Herzegovina,0.0,70,I R,1995-2000.1,3.60%,Hombres
   Croatia,0.0,191,B,1995-2000.1,-2.80%,Hombres
   Gibraltar*,11.0,292,B,1995-2000.1,-1.60%,Hombres
   Greece,0.0,300,B,1995-2000.1,4.60%,Hombres
   Holy See*,0.0,336,I,1995-2000.1,0.00%,Hombres
   Italy,0.0,380,B,1995-2000.1,3.80%,Hombres
   Malta,0.0,470,B,1995-2000.1,4.10%,Hombres
   Montenegro,0.0,499,B,1995-2000.1,0.00%,Hombres
   North Macedonia,0.0,807,B,1995-2000.1,2.80%,Hombres
   Portugal,0.0,620,B,1995-2000.1,4.20%,Hombres
   San Marino,0.0,674,C,1995-2000.1,2.30%,Hombres
   Serbia*,0.0,688,B,1995-2000.1,2.30%,Hombres
   Slovenia,0.0,705,B,1995-2000.1,4.80%,Hombres
   Spain*,0.0,724,B,1995-2000.1,10.40%,Hombres
   Austria,0.0,40,B,1995-2000.1,2.40%,Hombres
   Belgium,0.0,56,B,1995-2000.1,-0.50%,Hombres
   France*,12.0,250,B,1995-2000.1,0.30%,Hombres
   Germany,0.0,276,B,1995-2000.1,2.90%,Hombres
   Liechtenstein,0.0,438,B,1995-2000.1,2.40%,Hombres
   Luxembourg,0.0,442,B,1995-2000.1,2.10%,Hombres
   Monaco,0.0,492,B,1995-2000.1,1.00%,Hombres
   Netherlands*,13.0,528,B,1995-2000.1,2.70%,Hombres
   Switzerland,0.0,756,B,1995-2000.1,1.80%,Hombres
   Anguilla*,14.0,660,B R,1995-2000.1,3.70%,Hombres
   Antigua and Barbuda,0.0,28,B R,1995-2000.1,5.00%,Hombres
   Aruba*,15.0,533,B R,1995-2000.1,6.10%,Hombres
   Bahamas,0.0,44,B R,1995-2000.1,3.10%,Hombres
   Barbados,0.0,52,B R,1995-2000.1,2.00%,Hombres
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,1995-2000.1,0.00%,Hombres
   British Virgin Islands*,18.0,92,B R,1995-2000.1,4.80%,Hombres
   Cayman Islands*,19.0,136,C R,1995-2000.1,8.40%,Hombres
   Cuba,0.0,192,B,1995-2000.1,-8.50%,Hombres
   Curaçao*,20.0,531,B R,1995-2000.1,0.00%,Hombres
   Dominica,0.0,212,B,1995-2000.1,3.70%,Hombres
   Dominican Republic,0.0,214,B R,1995-2000.1,1.70%,Hombres
   Grenada,0.0,308,B,1995-2000.1,4.20%,Hombres
   Guadeloupe*,21.0,312,B,1995-2000.1,1.90%,Hombres
