"Region, development group, country or area",Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Côte d'Ivoire,0,384,C B R,1990C,15.2,Combinado
   Gambia,0,270,B R,1990C,12.4,Combinado
   Ghana,0,288,B R,1990C,1.1,Combinado
   Guinea,0,324,C B R,1990C,6.4,Combinado
   Guinea-Bissau,0,624,B R,1990C,1.6,Combinado
   Liberia,0,430,B R,1990C,4.6,Combinado
   Mali,0,466,B R,1990C,1.9,Combinado
   Mauritania,0,478,C R,1990C,5.5,Combinado
   Niger,0,562,B R,1990C,1.4,Combinado
   Nigeria,0,566,C R,1990C,0.5,Combinado
   Saint Helena*,4.0,654,C,1990C,2.7,Combinado
   Senegal,0,686,B R,1990C,3.6,Combinado
   Sierra Leone,0,694,B R,1990C,5.1,Combinado
   Togo,0,768,C R,1990C,2.2,Combinado
 ASIA,0,935,0,1990C,1.5,Combinado
  Central Asia,0,5500,0,1990C,13.2,Combinado
   Kazakhstan,0,398,B R,1990C,22.1,Combinado
   Kyrgyzstan,0,417,B R,1990C,14.2,Combinado
   Tajikistan,0,762,B R,1990C,8.1,Combinado
   Turkmenistan,0,795,B R,1990C,8.3,Combinado
   Uzbekistan,0,860,B R,1990C,8.1,Combinado
  Eastern Asia,0,906,0,1990C,0.3,Combinado
   China*,0,156,C,1990C,0.0,Combinado
"   China, Hong Kong SAR*",0,344,B R,1990C,38.7,Combinado
"   China, Macao SAR*",0,446,B,1990C,59.6,Combinado
"   China, Taiwan Province of China*",0,158,0,1990C,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,1990C,0.2,Combinado
   Japan,0,392,C,1990C,0.9,Combinado
   Mongolia,0,496,C R,1990C,0.3,Combinado
   Republic of Korea,0,410,C R,1990C,0.1,Combinado
  South-Eastern Asia,0,920,0,1990C,0.6,Combinado
   Brunei Darussalam,0,96,B,1990C,28.3,Combinado
   Cambodia,0,116,B R,1990C,0.4,Combinado
   Indonesia,0,360,B R,1990C,0.3,Combinado
   Lao People's Democratic Republic,0,418,C R,1990C,0.5,Combinado
   Malaysia*,0,458,C R,1990C,3.9,Combinado
   Myanmar,0,104,C,1990C,0.3,Combinado
   Philippines,0,608,C R,1990C,0.2,Combinado
   Singapore,0,702,B,1990C,24.1,Combinado
   Thailand,0,764,B R,1990C,0.9,Combinado
   Timor-Leste,0,626,B R,1990C,1.2,Combinado
   Viet Nam,0,704,C R,1990C,0.0,Combinado
  Southern Asia,0,5501,0,1990C,1.6,Combinado
   Afghanistan,0,4,B R,1990C,0.5,Combinado
   Bangladesh,0,50,B R,1990C,0.9,Combinado
   Bhutan,0,64,B,1990C,4.5,Combinado
   India,0,356,B R,1990C,0.9,Combinado
   Iran (Islamic Republic of),0,364,C R,1990C,7.6,Combinado
   Maldives,0,462,C,1990C,3.9,Combinado
   Nepal,0,524,B R,1990C,2.3,Combinado
   Pakistan,0,586,B R,1990C,5.8,Combinado
   Sri Lanka,0,144,B R,1990C,0.2,Combinado
  Western Asia,0,922,0,1990C,10.3,Combinado
   Armenia,0,51,B R,1990C,18.6,Combinado
   Azerbaijan*,0,31,B R,1990C,5.0,Combinado
   Bahrain,0,48,C R,1990C,34.9,Combinado
   Cyprus*,0,196,B,1990C,5.7,Combinado
   Georgia*,0,268,B R,1990C,5.6,Combinado
   Iraq,0,368,C R,1990C,0.5,Combinado
   Israel,0,376,B R,1990C,36.7,Combinado
   Jordan,0,400,C R,1990C,32.1,Combinado
   Kuwait,0,414,C R,1990C,51.3,Combinado
   Lebanon,0,422,B R,1990C,18.7,Combinado
   Oman,0,512,C R,1990C,16.8,Combinado
   Qatar,0,634,C,1990C,65.0,Combinado
   Saudi Arabia,0,682,C R,1990C,30.8,Combinado
   State of Palestine*,5.0,275,B,1990C,13.7,Combinado
   Syrian Arab Republic,0,760,C R,1990C,5.7,Combinado
   Turkey,0,792,B R,1990C,2.2,Combinado
   United Arab Emirates,0,784,C R,1990C,71.5,Combinado
   Yemen,0,887,C R,1990C,1.0,Combinado
 EUROPE,0,908,0,1990C,6.9,Combinado
  Eastern Europe,0,923,0,1990C,7.1,Combinado
   Belarus,0,112,B,1990C,12.3,Combinado
   Bulgaria,0,100,B,1990C,0.2,Combinado
   Czechia,0,203,C,1990C,1.1,Combinado
   Hungary,0,348,B,1990C,3.3,Combinado
   Poland,0,616,B,1990C,3.0,Combinado
   Republic of Moldova*,0,498,B,1990C,12.5,Combinado
   Romania,0,642,B,1990C,0.6,Combinado
   Russian Federation,0,643,B,1990C,7.8,Combinado
   Slovakia,0,703,B,1990C,0.8,Combinado
   Ukraine*,0,804,B,1990C,13.4,Combinado
  Northern Europe,0,924,0,1990C,7.2,Combinado
   Channel Islands*,6.0,830,B,1990C,43.8,Combinado
   Denmark*,7.0,208,B,1990C,4.6,Combinado
   Estonia,0,233,B,1990C,24.4,Combinado
   Faroe Islands*,8.0,234,B,1990C,9.1,Combinado
   Finland*,0,246,B,1990C,1.3,Combinado
   Iceland,0,352,B,1990C,3.8,Combinado
   Ireland,0,372,B,1990C,6.5,Combinado
   Isle of Man*,9.0,833,B,1990C,49.5,Combinado
   Latvia,0,428,B,1990C,24.2,Combinado
   Lithuania,0,440,B,1990C,9.4,Combinado
   Norway*,0,578,B,1990C,4.5,Combinado
   Sweden,0,752,B,1990C,9.2,Combinado
   United Kingdom*,10.0,826,B,1990C,6.4,Combinado
  Southern Europe,0,925,0,1990C,3.0,Combinado
   Albania,0,8,B,1990C,2.0,Combinado
   Andorra,0,20,C,1990C,71.3,Combinado
   Bosnia and Herzegovina,0,70,I R,1990C,1.3,Combinado
   Croatia,0,191,B,1990C,10.0,Combinado
   Gibraltar*,11.0,292,B,1990C,29.9,Combinado
   Greece,0,300,B,1990C,6.0,Combinado
   Holy See*,0,336,I,1990C,100.0,Combinado
   Italy,0,380,B,1990C,2.5,Combinado
   Malta,0,470,B,1990C,4.2,Combinado
   Montenegro,0,499,B,1990C,0.0,Combinado
   North Macedonia,0,807,B,1990C,4.8,Combinado
   Portugal,0,620,B,1990C,4.4,Combinado
   San Marino,0,674,C,1990C,13.7,Combinado
   Serbia*,0,688,B,1990C,1.0,Combinado
   Slovenia,0,705,B,1990C,8.9,Combinado
   Spain*,0,724,B,1990C,2.1,Combinado
  Western Europe,0,926,0,1990C,9.5,Combinado
   Austria,0,40,B,1990C,10.3,Combinado
   Belgium,0,56,B,1990C,12.8,Combinado
   France*,12.0,250,B,1990C,10.4,Combinado
   Germany,0,276,B,1990C,7.5,Combinado
   Liechtenstein,0,438,B,1990C,37.9,Combinado
   Luxembourg,0,442,B,1990C,29.8,Combinado
   Monaco,0,492,B,1990C,69.2,Combinado
   Netherlands*,13.0,528,B,1990C,7.9,Combinado
   Switzerland,0,756,B,1990C,20.9,Combinado
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,1990C,1.6,Combinado
  Caribbean,0,915,0,1990C,3.0,Combinado
   Anguilla*,14.0,660,B R,1990C,28.9,Combinado
   Antigua and Barbuda,0,28,B R,1990C,19.2,Combinado
   Aruba*,15.0,533,B R,1990C,23.2,Combinado
   Bahamas,0,44,B R,1990C,10.5,Combinado
   Barbados,0,52,B R,1990C,9.2,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,1990C,100.0,Combinado
   British Virgin Islands*,18.0,92,B R,1990C,45.9,Combinado
   Cayman Islands*,19.0,136,C R,1990C,36.8,Combinado
   Cuba,0,192,B,1990C,0.3,Combinado
   Curaçao*,20.0,531,B R,1990C,0.0,Combinado
   Dominica,0,212,B,1990C,3.6,Combinado
   Dominican Republic,0,214,B R,1990C,4.1,Combinado
   Grenada,0,308,B,1990C,4.4,Combinado
   Guadeloupe*,21.0,312,B,1990C,16.9,Combinado
   Haiti,0,332,B R,1990C,0.3,Combinado
   Jamaica,0,388,B R,1990C,0.8,Combinado
   Martinique*,22.0,474,B R,1990C,10.8,Combinado
   Montserrat*,23.0,500,B,1990C,19.0,Combinado
   Puerto Rico*,24.0,630,B,1990C,9.5,Combinado
   Saint Barthélemy*,0,652,0,1990C,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,1990C,8.0,Combinado
   Saint Lucia,0,662,B R,1990C,3.8,Combinado
   Saint Martin (French part)*,0,663,0,1990C,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,1990C,3.7,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,1990C,0.0,Combinado
   Trinidad and Tobago,0,780,B R,1990C,4.1,Combinado
   Turks and Caicos Islands*,26.0,796,B R,1990C,41.8,Combinado
   United States Virgin Islands*,27.0,850,B,1990C,50.1,Combinado
  Central America,0,916,0,1990C,1.6,Combinado
   Belize,0,84,B R ,1990C,16.2,Combinado
   Costa Rica,0,188,B R,1990C,13.4,Combinado
   El Salvador,0,222,B R,1990C,0.9,Combinado
   Guatemala,0,320,B R,1990C,2.9,Combinado
   Honduras,0,340,B R,1990C,5.5,Combinado
   Mexico,0,484,B R,1990C,0.8,Combinado
   Nicaragua,0,558,B R,1990C,1.0,Combinado
   Panama,0,591,B R,1990C,2.5,Combinado
  South America,0,931,0,1990C,1.4,Combinado
   Argentina,0,32,B R,1990C,5.1,Combinado
   Bolivia (Plurinational State of),0,68,B R,1990C,1.1,Combinado
   Brazil,0,76,B R,1990C,0.5,Combinado
   Chile,0,152,B,1990C,0.8,Combinado
   Colombia,0,170,B,1990C,0.3,Combinado
   Ecuador,0,218,B R,1990C,0.8,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,1990C,43.2,Combinado
   French Guiana*,29.0,254,B R,1990C,54.9,Combinado
   Guyana,0,328,B R,1990C,0.6,Combinado
   Paraguay,0,600,B R,1990C,4.6,Combinado
   Peru,0,604,B R,1990C,0.3,Combinado
   Suriname,0,740,C R,1990C,4.5,Combinado
   Uruguay,0,858,B R,1990C,3.2,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,1990C,5.2,Combinado
 NORTHERN AMERICA,0,905,0,1990C,9.9,Combinado
   Bermuda*,30.0,60,B,1990C,25.4,Combinado
   Canada,0,124,B,1990C,15.7,Combinado
   Greenland*,31.0,304,B,1990C,16.7,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,1990C,17.2,Combinado
   United States of America*,33.0,840,B,1990C,9.2,Combinado
 OCEANIA ,0,909,0,1990C,17.3,Combinado
   Australia*,0,36,B,1990C,23.3,Combinado
   New Zealand*,34.0,554,B,1990C,15.2,Combinado
  Melanesia,0,928,0,1990C,1.5,Combinado
   Fiji,0,242,B R,1990C,1.8,Combinado
   New Caledonia*,0,540,B,1990C,22.1,Combinado
   Papua New Guinea,0,598,C R,1990C,0.7,Combinado
   Solomon Islands,0,90,B R,1990C,1.4,Combinado
   Vanuatu,0,548,B R,1990C,1.6,Combinado
  Micronesia,0,954,0,1990C,26.1,Combinado
   Guam*,35.0,316,B,1990C,53.5,Combinado
   Kiribati,0,296,B,1990C,3.0,Combinado
   Marshall Islands,0,584,B,1990C,2.5,Combinado
   Micronesia (Fed. States of),0,583,B,1990C,3.8,Combinado
   Nauru,0,520,C R,1990C,29.6,Combinado
   Northern Mariana Islands*,36.0,580,B,1990C,58.1,Combinado
   Palau,0,585,B,1990C,18.6,Combinado
  Polynesia*,0,957,0,1990C,10.6,Combinado
   American Samoa*,0,16,B,1990C,44.9,Combinado
   Cook Islands*,37.0,184,B R,1990C,14.2,Combinado
   French Polynesia*,38.0,258,B R,1990C,12.9,Combinado
   Niue*,39.0,570,B,1990C,19.8,Combinado
   Samoa,0,882,B R,1990C,2.1,Combinado
   Tokelau*,40.0,772,B R,1990C,22.4,Combinado
   Tonga,0,776,B R,1990C,3.1,Combinado
   Tuvalu,0,798,C,1990C,3.6,Combinado
   Wallis and Futuna Islands*,41.0,876,B R,1990C,10.2,Combinado
   Burundi,0,108,B R,1995C,4.3,Combinado
   Comoros,0,174,B,1995C,2.9,Combinado
   Djibouti,0,262,B R,1995C,15.8,Combinado
   Eritrea,0,232,I R,1995C,0.6,Combinado
   Ethiopia,0,231,B R,1995C,1.4,Combinado
   Kenya,0,404,B R,1995C,2.2,Combinado
   Madagascar,0,450,C R,1995C,0.2,Combinado
   Malawi,0,454,B R,1995C,2.5,Combinado
   Mauritius*,0,480,C,1995C,0.7,Combinado
   Mayotte*,1.0,175,B R,1995C,21.4,Combinado
   Mozambique,0,508,B R,1995C,1.1,Combinado
   Réunion*,2.0,638,B,1995C,11.5,Combinado
   Rwanda,0,646,B R,1995C,3.7,Combinado
   Seychelles,0,690,B,1995C,6.7,Combinado
   Somalia,0,706,I R,1995C,0.3,Combinado
   South Sudan,0,728,B R,1995C,0.0,Combinado
   Uganda,0,800,B R,1995C,3.0,Combinado
   United Republic of Tanzania*,0,834,B R,1995C,3.7,Combinado
   Zambia,0,894,B R,1995C,2.7,Combinado
   Zimbabwe,0,716,B R,1995C,3.8,Combinado
  Middle Africa,0,911,0,1995C,3.2,Combinado
   Angola,0,24,B R,1995C,0.3,Combinado
   Cameroon,0,120,B R,1995C,1.8,Combinado
   Central African Republic,0,140,C R,1995C,3.1,Combinado
   Chad,0,148,B R,1995C,1.3,Combinado
   Congo,0,178,B R,1995C,7.1,Combinado
   Democratic Republic of the Congo,0,180,B R,1995C,4.4,Combinado
   Equatorial Guinea,0,226,C,1995C,0.7,Combinado
   Gabon,0,266,C R,1995C,15.8,Combinado
   Sao Tome and Principe,0,678,C,1995C,3.7,Combinado
  Northern Africa,0,912,0,1995C,1.3,Combinado
   Algeria,0,12,B R,1995C,0.9,Combinado
   Egypt,0,818,B R,1995C,0.3,Combinado
   Libya,0,434,C R,1995C,10.3,Combinado
   Morocco,0,504,C R,1995C,0.2,Combinado
   Sudan,3.0,729,B R,1995C,4.4,Combinado
   Tunisia,0,788,C R,1995C,0.4,Combinado
   Western Sahara,0,732,I,1995C,1.2,Combinado
  Southern Africa,0,913,0,1995C,2.5,Combinado
   Botswana,0,72,B R,1995C,2.7,Combinado
   Eswatini,0,748,B R,1995C,3.8,Combinado
   Lesotho,0,426,C R,1995C,0.4,Combinado
   Namibia,0,516,B R,1995C,7.1,Combinado
   South Africa,0,710,B R,1995C,2.4,Combinado
  Western Africa,0,914,0,1995C,2.6,Combinado
   Benin,0,204,C B R,1995C,1.8,Combinado
   Burkina Faso,0,854,B R,1995C,4.6,Combinado
   Cabo Verde,0,132,B R,1995C,2.6,Combinado
   Côte d'Ivoire,0,384,C B R,1995C,14.6,Combinado
   Gambia,0,270,B R,1995C,13.4,Combinado
   Ghana,0,288,B R,1995C,1.5,Combinado
   Guinea,0,324,C B R,1995C,10.7,Combinado
   Guinea-Bissau,0,624,B R,1995C,2.6,Combinado
   Liberia,0,430,B R,1995C,10.2,Combinado
   Mali,0,466,B R,1995C,1.8,Combinado
   Mauritania,0,478,C R,1995C,3.9,Combinado
   Niger,0,562,B R,1995C,1.5,Combinado
   Nigeria,0,566,C R,1995C,0.4,Combinado
   Saint Helena*,4.0,654,C,1995C,1.9,Combinado
   Senegal,0,686,B R,1995C,3.3,Combinado
   Sierra Leone,0,694,B R,1995C,2.3,Combinado
   Togo,0,768,C R,1995C,2.4,Combinado
 ASIA,0,935,0,1995C,1.3,Combinado
  Central Asia,0,5500,0,1995C,11.1,Combinado
   Kazakhstan,0,398,B R,1995C,20.5,Combinado
   Kyrgyzstan,0,417,B R,1995C,11.4,Combinado
   Tajikistan,0,762,B R,1995C,6.0,Combinado
   Turkmenistan,0,795,B R,1995C,6.5,Combinado
   Uzbekistan,0,860,B R,1995C,6.6,Combinado
  Eastern Asia,0,906,0,1995C,0.3,Combinado
   China*,0,156,C,1995C,0.0,Combinado
"   China, Hong Kong SAR*",0,344,B R,1995C,40.2,Combinado
"   China, Macao SAR*",0,446,B,1995C,58.3,Combinado
"   China, Taiwan Province of China*",0,158,0,1995C,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,1995C,0.2,Combinado
   Japan,0,392,C,1995C,1.1,Combinado
   Mongolia,0,496,C R,1995C,0.3,Combinado
   Republic of Korea,0,410,C R,1995C,0.3,Combinado
  South-Eastern Asia,0,920,0,1995C,0.8,Combinado
   Brunei Darussalam,0,96,B,1995C,28.5,Combinado
   Cambodia,0,116,B R,1995C,0.9,Combinado
   Indonesia,0,360,B R,1995C,0.2,Combinado
   Lao People's Democratic Republic,0,418,C R,1995C,0.5,Combinado
   Malaysia*,0,458,C R,1995C,4.6,Combinado
   Myanmar,0,104,C,1995C,0.3,Combinado
   Philippines,0,608,C R,1995C,0.3,Combinado
   Singapore,0,702,B,1995C,28.1,Combinado
   Thailand,0,764,B R,1995C,1.4,Combinado
   Timor-Leste,0,626,B R,1995C,1.2,Combinado
   Viet Nam,0,704,C R,1995C,0.1,Combinado
  Southern Asia,0,5501,0,1995C,1.2,Combinado
   Afghanistan,0,4,B R,1995C,0.4,Combinado
   Bangladesh,0,50,B R,1995C,0.8,Combinado
   Bhutan,0,64,B,1995C,5.2,Combinado
   India,0,356,B R,1995C,0.7,Combinado
   Iran (Islamic Republic of),0,364,C R,1995C,4.8,Combinado
   Maldives,0,462,C,1995C,7.3,Combinado
   Nepal,0,524,B R,1995C,3.2,Combinado
   Pakistan,0,586,B R,1995C,3.0,Combinado
   Sri Lanka,0,144,B R,1995C,0.2,Combinado
  Western Asia,0,922,0,1995C,10.1,Combinado
   Armenia,0,51,B R,1995C,21.6,Combinado
   Azerbaijan*,0,31,B R,1995C,4.4,Combinado
   Bahrain,0,48,C R,1995C,36.5,Combinado
   Cyprus*,0,196,B,1995C,7.2,Combinado
   Georgia*,0,268,B R,1995C,3.1,Combinado
   Iraq,0,368,C R,1995C,1.0,Combinado
   Israel,0,376,B R,1995C,34.0,Combinado
   Jordan,0,400,C R,1995C,33.5,Combinado
   Kuwait,0,414,C R,1995C,57.4,Combinado
   Lebanon,0,422,B R,1995C,17.2,Combinado
   Oman,0,512,C R,1995C,24.5,Combinado
   Qatar,0,634,C,1995C,70.4,Combinado
   Saudi Arabia,0,682,C R,1995C,27.5,Combinado
   State of Palestine*,5.0,275,B,1995C,10.8,Combinado
   Syrian Arab Republic,0,760,C R,1995C,5.8,Combinado
   Turkey,0,792,B R,1995C,2.1,Combinado
   United Arab Emirates,0,784,C R,1995C,75.5,Combinado
   Yemen,0,887,C R,1995C,0.9,Combinado
 EUROPE,0,908,0,1995C,7.4,Combinado
  Eastern Europe,0,923,0,1995C,6.9,Combinado
   Belarus,0,112,B,1995C,11.8,Combinado
   Bulgaria,0,100,B,1995C,0.4,Combinado
   Czechia,0,203,C,1995C,1.6,Combinado
   Hungary,0,348,B,1995C,3.1,Combinado
   Poland,0,616,B,1995C,2.5,Combinado
   Republic of Moldova*,0,498,B,1995C,8.5,Combinado
   Romania,0,642,B,1995C,0.6,Combinado
   Russian Federation,0,643,B,1995C,8.0,Combinado
   Slovakia,0,703,B,1995C,1.3,Combinado
   Ukraine*,0,804,B,1995C,12.1,Combinado
  Northern Europe,0,924,0,1995C,7.7,Combinado
   Channel Islands*,6.0,830,B,1995C,42.2,Combinado
   Denmark*,7.0,208,B,1995C,5.8,Combinado
   Estonia,0,233,B,1995C,22.0,Combinado
   Faroe Islands*,8.0,234,B,1995C,6.4,Combinado
   Finland*,0,246,B,1995C,1.9,Combinado
   Iceland,0,352,B,1995C,4.8,Combinado
   Ireland,0,372,B,1995C,6.3,Combinado
   Isle of Man*,9.0,833,B,1995C,51.1,Combinado
   Latvia,0,428,B,1995C,21.5,Combinado
   Lithuania,0,440,B,1995C,7.5,Combinado
   Norway*,0,578,B,1995C,5.3,Combinado
   Sweden,0,752,B,1995C,10.6,Combinado
   United Kingdom*,10.0,826,B,1995C,7.2,Combinado
  Southern Europe,0,925,0,1995C,4.3,Combinado
   Albania,0,8,B,1995C,2.3,Combinado
   Andorra,0,20,C,1995C,69.2,Combinado
   Bosnia and Herzegovina,0,70,I R,1995C,1.8,Combinado
   Croatia,0,191,B,1995C,14.6,Combinado
   Gibraltar*,11.0,292,B,1995C,29.2,Combinado
   Greece,0,300,B,1995C,8.0,Combinado
   Holy See*,0,336,I,1995C,100.0,Combinado
   Italy,0,380,B,1995C,3.1,Combinado
   Malta,0,470,B,1995C,4.7,Combinado
   Montenegro,0,499,B,1995C,0.0,Combinado
   North Macedonia,0,807,B,1995C,5.5,Combinado
   Portugal,0,620,B,1995C,5.3,Combinado
   San Marino,0,674,C,1995C,14.1,Combinado
   Serbia*,0,688,B,1995C,8.8,Combinado
   Slovenia,0,705,B,1995C,8.8,Combinado
   Spain*,0,724,B,1995C,2.6,Combinado
  Western Europe,0,926,0,1995C,10.4,Combinado
   Austria,0,40,B,1995C,11.2,Combinado
   Belgium,0,56,B,1995C,12.6,Combinado
   France*,12.0,250,B,1995C,10.5,Combinado
   Germany,0,276,B,1995C,9.2,Combinado
   Liechtenstein,0,438,B,1995C,43.1,Combinado
   Luxembourg,0,442,B,1995C,30.9,Combinado
   Monaco,0,492,B,1995C,68.5,Combinado
   Netherlands*,13.0,528,B,1995C,8.7,Combinado
   Switzerland,0,756,B,1995C,21.1,Combinado
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,1995C,1.4,Combinado
  Caribbean,0,915,0,1995C,3.1,Combinado
   Anguilla*,14.0,660,B R,1995C,33.6,Combinado
   Antigua and Barbuda,0,28,B R,1995C,25.6,Combinado
   Aruba*,15.0,533,B R,1995C,27.7,Combinado
   Bahamas,0,44,B R,1995C,11.3,Combinado
   Barbados,0,52,B R,1995C,9.9,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,1995C,100.0,Combinado
   British Virgin Islands*,18.0,92,B R,1995C,52.0,Combinado
   Cayman Islands*,19.0,136,C R,1995C,39.4,Combinado
   Cuba,0,192,B,1995C,0.2,Combinado
   Curaçao*,20.0,531,B R,1995C,0.0,Combinado
   Dominica,0,212,B,1995C,4.4,Combinado
   Dominican Republic,0,214,B R,1995C,4.1,Combinado
   Grenada,0,308,B,1995C,5.5,Combinado
   Guadeloupe*,21.0,312,B,1995C,18.5,Combinado
   Haiti,0,332,B R,1995C,0.2,Combinado
   Jamaica,0,388,B R,1995C,0.9,Combinado
   Martinique*,22.0,474,B R,1995C,12.6,Combinado
   Montserrat*,23.0,500,B,1995C,16.4,Combinado
   Puerto Rico*,24.0,630,B,1995C,9.5,Combinado
   Saint Barthélemy*,0,652,0,1995C,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,1995C,10.1,Combinado
   Saint Lucia,0,662,B R,1995C,4.9,Combinado
   Saint Martin (French part)*,0,663,0,1995C,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,1995C,3.8,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,1995C,0.0,Combinado
   Trinidad and Tobago,0,780,B R,1995C,3.7,Combinado
   Turks and Caicos Islands*,26.0,796,B R,1995C,43.4,Combinado
   United States Virgin Islands*,27.0,850,B,1995C,50.5,Combinado
  Central America,0,916,0,1995C,1.0,Combinado
   Belize,0,84,B R ,1995C,16.2,Combinado
   Costa Rica,0,188,B R,1995C,10.3,Combinado
   El Salvador,0,222,B R,1995C,0.7,Combinado
   Guatemala,0,320,B R,1995C,1.5,Combinado
   Honduras,0,340,B R,1995C,2.6,Combinado
   Mexico,0,484,B R,1995C,0.5,Combinado
   Nicaragua,0,558,B R,1995C,0.6,Combinado
   Panama,0,591,B R,1995C,2.6,Combinado
  South America,0,931,0,1995C,1.3,Combinado
   Argentina,0,32,B R,1995C,4.6,Combinado
   Bolivia (Plurinational State of),0,68,B R,1995C,1.1,Combinado
   Brazil,0,76,B R,1995C,0.5,Combinado
   Chile,0,152,B,1995C,1.0,Combinado
   Colombia,0,170,B,1995C,0.3,Combinado
   Ecuador,0,218,B R,1995C,1.0,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,1995C,34.7,Combinado
   French Guiana*,29.0,254,B R,1995C,51.0,Combinado
   Guyana,0,328,B R,1995C,0.8,Combinado
   Paraguay,0,600,B R,1995C,3.9,Combinado
   Peru,0,604,B R,1995C,0.2,Combinado
   Suriname,0,740,C R,1995C,5.1,Combinado
   Uruguay,0,858,B R,1995C,2.9,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,1995C,4.7,Combinado
 NORTHERN AMERICA,0,905,0,1995C,11.3,Combinado
   Bermuda*,30.0,60,B,1995C,26.3,Combinado
   Canada,0,124,B,1995C,16.7,Combinado
   Greenland*,31.0,304,B,1995C,12.8,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,1995C,20.7,Combinado
   United States of America*,33.0,840,B,1995C,10.7,Combinado
 OCEANIA ,0,909,0,1995C,17.1,Combinado
   Australia*,0,36,B,1995C,23.1,Combinado
   New Zealand*,34.0,554,B,1995C,16.0,Combinado
  Melanesia,0,928,0,1995C,1.4,Combinado
   Fiji,0,242,B R,1995C,1.7,Combinado
   New Caledonia*,0,540,B,1995C,22.6,Combinado
   Papua New Guinea,0,598,C R,1995C,0.6,Combinado
   Solomon Islands,0,90,B R,1995C,1.2,Combinado
   Vanuatu,0,548,B R,1995C,1.5,Combinado
  Micronesia,0,954,0,1995C,26.1,Combinado
